ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
74,Strawberry Hut,(6 p.m. - 12 midnight - closed Sundays & Mondays),600 Market St.,Parkersburg,WV,"(P),(YC),(*)",Bars/Clubs,,,1977,,4/14/2020 3:19am,7/27/2020 1:17pm
75,Playboy Book Shop,"(books, peep shows & novelties)",657 7th St.,Parkersburg,WV,,Book Store,,,1977,,4/14/2020 3:19am,7/27/2020 1:17pm
76,Playboy Theatre,,806 7th St.,Parkersburg,WV,,Theatre,,,1977,,4/14/2020 3:20am,7/27/2020 1:17pm
80,Knight Cap Lounge,,1150 Water St.,Wheeling,WV,(*),Bars/Clubs,,,1977,,4/14/2020 3:21am,7/27/2020 1:17pm
82,Sam's Place,,712 Bland,Bluefield,WV,(M),Bars/Clubs,,,1976,,4/14/2020 3:21am,7/27/2020 1:17pm
83,Downstairs Club,,617 Brooks St.,Charlestown,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1976,,4/14/2020 3:23am,7/27/2020 1:17pm
84,Tap Room,(Some RT) (downstairs at Quarrier Diner),1022 Quarrier,Charlestown,WV,"(M),(RT)",Bars/Clubs,,,1976,,4/14/2020 3:24am,7/27/2020 1:17pm
85,Tradewinds,,500 Carolina,Charlestown,WV,"(M),(D)",Bars/Clubs,,,1976,,4/14/2020 3:25am,7/27/2020 1:17pm
87,Elk Ridge Ranch & Camp,,"Box 284-C, R.I., Harpers Ferry, W. Va. 25425",Harpers Ferry,WV,"(P),(H)",Hotels,,,1976,,4/14/2020 3:25am,7/27/2020 1:17pm
88,S.J. Ranch,,"P.O. Box 301, Harpers Ferry, W. Va 25425",Harpers Ferry,WV,"(P),(H),(W),(SM)",Bars/Clubs,,,1976,,4/14/2020 3:26am,7/27/2020 1:17pm
89,Chateau Club,(out of state guest welcome. Opens 4 pm),1121 7th Ave.,Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1976,,4/14/2020 3:27am,7/27/2020 1:17pm
90,South Seas,(Some G),4th Ave. at 1st St.,Huntington,WV,"(P),(YC),(G),(D),(*)",Bars/Clubs,,,1976,,4/14/2020 3:28am,7/27/2020 1:17pm
93,Sam's Place,,712 Bland ,Bluefield,WV,(M),Bars/Clubs,,,1975,,4/14/2020 3:29am,7/27/2020 1:17pm
94,Downstairs Club,,617 Brooks St.,Charlestown,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1975,,4/14/2020 3:31am,7/27/2020 1:17pm
95,Tap Room ,(downstairs at Quarrier Diner),1022 Quarrier,Charlestown,WV,"(M),(YC)",Bars/Clubs,,,1975,,4/14/2020 3:35am,7/27/2020 1:17pm
96,Elk Ridge Ranch & Camp,,"Box 284-C, R.I., Harpers Ferry, W. Va. 25425",Harpers Ferry,WV,"(H),(P)",Hotels,,,1975,,4/14/2020 3:35am,7/27/2020 1:17pm
97,Chateau Club,(Out of state guests welcome - open 4 p.m. to 3:30 a.m.),1121 7th Ave.,Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1975,,4/14/2020 3:36am,7/27/2020 1:17pm
98,South Seas ,,4th Ave. at 1st St.,Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1975,,4/14/2020 3:42am,7/27/2020 1:17pm
101,Sam's Place,,712 Bland,Bluefield,WV,(M),Bars/Clubs,,,1974,,4/14/2020 3:44am,7/27/2020 1:17pm
102,Downstairs Club,,617 Brooks St.,Charlestown,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1974,,4/14/2020 3:44am,7/27/2020 1:17pm
103,Tap Room,(downstairs at The Quarrier Diner),1022 Quarrier,Charlestown,WV,"(M),(YC)",Bars/Clubs,,,1974,,4/14/2020 3:44am,7/27/2020 1:17pm
104,Elk Ridge Ranch ,,"Box 284-C, R.I., Harpers Ferry, W. Va 25425",Harpers Ferry,WV,(H),Hotels,,,1974,,4/14/2020 3:45am,7/27/2020 1:17pm
105,Chateau Club,(out-of-state guests welcome - open 4 pm to 3:30 am),1121 7th Ave.,Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1974,,4/14/2020 3:45am,7/27/2020 1:17pm
109,Tony's Red Cellar ,(downstairs),343 Beechurst ,Morgantown,WV,"(M),(YC),(*)",Bars/Clubs,,,1974,,4/14/2020 3:49am,7/27/2020 1:17pm
