ID,Title,description,streetaddress,city,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
32,Circus,(Disco),219 S. 2nd St,Milwaukee,"(YC),(D),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
33,Club Milwaukee Baths,(use rear entrance),704 A. W. Wisconsin Ave.,Milwaukee,"(*),(P)",Baths,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
34,Finale,(2 floors),808 E. Center St.,Milwaukee,"(D),(PT)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
35,Gay People's Union Farewell Center,,1568 N. Farwell,Milwaukee,,Organizations,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
36,Le Club Finlandia,(Baths),707 E. Knapp,Milwaukee,(OC),Baths,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
37,Lost and Found,(Disco) (Looks promising),618 N. 27th,Milwaukee,"(L),(D)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
38,M.C.C.,,2647 N. Stowell,Milwaukee,,Church,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
40,Mint,,422 W. State St.,Milwaukee,"(OC),(RT),(B)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
41,Norwood Travel Agency,,3555 S. Howell,Milwaukee,,Business,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
42,On Broadway Health Club,(Disco) (Baths & bar) (open but hurting after the 'Great Milwaukee bust'),158 N. Broadway,Milwaukee,"(P),(D)","Bars/Clubs,Baths",1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
43,Paradise Adult Books & Movies,('Wild back room'),225 N. Water St.,Milwaukee,,Book Store,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
44,Phoenix,(Disco),235 S. 2nd St.,Milwaukee,(D),Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
45,Rainbow Grille,(Sun. brunch),814 2nd St.,Milwaukee,"(R),(E),(*)",Restaurant,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
46,Sideboard,,124 Water St.,Milwaukee,(R),Restaurant,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
47,Sugar Shack,,135 E. National,Milwaukee,"(L),(D),(E),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
48,Ten Hundred East,(looking up),1000 E. North St.,Milwaukee,(D),Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
49,This is it,(Cruisy cocktain hour),418 E. Wells St.,Milwaukee,(*),"Cruising Areas,Bars/Clubs",1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
50,Wreck Room,"(Some SM, W,) (Cruisy)",266 E. Erie St.,Milwaukee,"(*),(SM),(W),(D),(PT)","Cruising Areas,Bars/Clubs",1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
51,Your Place,(Disco) (Cruisy),813 S. 1st St.,Milwaukee,"(D),(PT),(*)","Cruising Areas,Bars/Clubs",1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
62,Pure Pleasure Book Store,(Best to avoid),13 Washington Ave,Oshkosh,(AYOR),Book Store,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
69,Jo'Dee's,(Some L) (Snacks) (Beer garden),2139 Racine,Racine,"(L),(D),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
71,Douglas Tavern,,318 Tower Ave.,Superior,(M),Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
72,Molly's Paradise,(Some L),405 Tower Ave.,Superior,"(D),(L),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
74,Cleo's Brown Beam Tavern,(Unfriendly),205 W. College,Appleton,(M),Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
75,Lambda Lounge,(Some G) (Snacks),343 W. College,Appleton,"(*),(D),(PT),(G)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
78,Man Hole,"(Disco) (Wed., Fri., Sat.) (Some G, YC, SM)",207 S. Washington,Green Bay,"(*),(D),(PT),(YC),(SM),(G)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
82,Shack,,10936 Sheridan Rd.,Kenosha,"(YC),(D),(*)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
83,Red Lion,(Some G),120 3rd Sr.,La Crosse,"(D),(*)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
85,Barber's Closet,(Below Hot L Cafe),636 W. Washington,Madison,"(M),(E)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
87,Going My Way?,"(G.M.W) (Guys on main floor, M-YC-Disco-D-upstairs)) (M-YC-Disco D",111 W. Main,Madison,"(*),(M),(YC),(D)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
88,Hot L Cafe,"(Best late, 12-3am*)",636 W. Washington,Madison,"(M),(R),(C),(*)",Restaurant,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
89,People's Choice,(WE-midnight-3a.m.),111 W. Main,Madison,"(R),(WE)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
90,Pirate Ship,"(Some OC, W, SM)",116 N. Fairchild,Madison,"(OC),(W),(SM),(*)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
94,Antlers,(Top floor),616 N. 2nd St.,Milwaukee,"(M),(RT),(H)",Hotels,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
95,Ball Game,,196 S. 2nd St.,Milwaukee,"(D),(*)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
96,Baron,(Disco) (Shows promise),625 E. St Paul,Milwaukee,"(D),(YC),(R)","Restaurant,Bars/Clubs",1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
97,Beck's Books,(Some SM),753 N. Plankinton,Milwaukee,(SM),Book Store,1979,,checked,the sm is throwing me off,3/20/2020 8:09pm,3/25/2020 6:08pm
98,Beer Garden,(Sun. Brunch),3743 W. Vliet,Milwaukee,"(D),(G)",Restaurant,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
99,C'est La Vie,(Disco),231 S. 2nd St.,Milwaukee,"(YC),(D),(*)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
100,Circus,(Disco) (2 floors),219 S. 2nd St,Milwaukee,"(YC),(D),(*)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
101,Club Milwaukee Baths,(use rear entrance),704 A. W. Wisconsin Ave.,Milwaukee,"(*),(P)",Baths,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
102,Finale,(2 floors),808 E. Center St.,Milwaukee,"(D),(PT)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
103,Hideaway,,819 S. 2nd St.,Milwaukee,(D),Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
104,Kisses,(Current 'top' disco) (Some G) (2 floors),132 E. Juneay,Milwaukee,"(*),(YC),(D),(G)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
105,Leaded Shade,,157 S. 1st St.,Milwaukee,"(G),(D),(R),(PT)","Restaurant,Bars/Clubs",1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
106,Le Club Finlandia,(Baths),707 E. Knapp,Milwaukee,,Baths,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
107,M.C.C.,,2308 E. Belleview Pl.,Milwaukee,,Church,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
109,Mint,,422 W. State St.,Milwaukee,"(OC),(RT),(B)",Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
110,Mr. Ric's,(Cl.Sun.),714 N. Broadway,Milwaukee,(R),Restaurant,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
111,On Broadway Health Club,(the old 'Factory' or 'Inferno' is supposedly opening in early '78 as (P) (Baths) (Sauna) (Gym) (D) & (Liquor) (Should be a winner),158 N. Broadway,Milwaukee,"(P),(D)","Bars/Clubs,Baths",1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
112,Oregon House,,235 S. 2nd St.,Milwaukee,,Bars/Clubs,1979,,,,3/20/2020 8:09pm,3/21/2020 12:09am
113,Our Way,(C-AH),500 S. 5th Virginia,Milwaukee,"(M),(R),(C),(AH)",Restaurant,1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
114,Paradise Adult Books & Movies,,225 N. Water St.,Milwaukee,,Book Store,1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
115,Rainbow Grille,(Sun. brunch),814 S. 2nd St.,Milwaukee,"(R),(E),(*)",Restaurant,1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
116,Sugar Shack,,135 E. National,Milwaukee,(G),Bars/Clubs,1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
117,Ten Hundred East,(looking up),1000 E. North St.,Milwaukee,(D),Bars/Clubs,1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
118,This is it,,418 E. Wells St.,Milwaukee,"(*),(D)",Bars/Clubs,1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
119,Wreck Room,"(Some SM, W,) (Cruisy)",266 E. Erie St.,Milwaukee,"(*),(SM),(W),(D),(PT)","Cruising Areas,Bars/Clubs",1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
120,Your Place,,813 S. 1st St.,Milwaukee,"(D),(PT),(*)",Bars/Clubs,1979,,,,3/20/2020 11:46pm,3/21/2020 12:09am
134,Pure Pleasure Book Store,(Best to avoid),13 Washington Ave,Oshkosh,(AYOR),Book Store,1979,,,,3/21/2020 12:00am,3/21/2020 12:09am
138,Jo'Dee's,(Some G) (Snacks) (Beer garden),2139 Racine,Racine,"(D),(*),(G)",Bars/Clubs,1979,,,,3/21/2020 12:03am,3/21/2020 12:09am
140,Cleo's Brown Beam Tavern,,205 W. College,Appleton,(M),Bars/Clubs,1978,,,,3/21/2020 12:03am,3/25/2020 3:40pm
141,Doris' Super Bar,(Some G),325 W. College,Appleton,"(D),(G),(*)",Bars/Clubs,1978,,,,3/21/2020 12:03am,3/25/2020 6:17pm
142,Gail's Bar,(Some G),1101 W. Main,Green Bay,(G),Bars/Clubs,1978,,,,3/21/2020 12:03am,3/25/2020 6:17pm
143,Man Hole,"(Disco-D-Wed., Fri. & Sat.) (Some G, YC, SM)",207 S. Washington,Green Bay,"(*),(D),(PT),(YC),(SM),(G)",Bars/Clubs,1978,,,,3/21/2020 12:03am,3/25/2020 6:17pm
144,Roxy Lounge,(Some G),209 Pine St.,Green Bay,"(YC),(G),(D),(*)",Bars/Clubs,1978,,,,3/21/2020 12:03am,3/25/2020 6:17pm
148,Kenosha Steam Baths,,3504-60th St.,Kenosha,,Baths,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
149,Shack,,10936 Sheridan Rd.,Kenosha,"(YC),(D),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
150,Down Under Club,(Disco) (G-up-stairs) Under Monogan Bridge (US Hwy 16.),787 Losey Blvd.,La Crosse,"(YC),(FFA),(*),(G)",Bars/Clubs,1978,,,Desc. has details on address,3/25/2020 3:48pm,3/25/2020 6:17pm
151,Red Lion,(Some G),120 3rd Sr.,La Crosse,"(M),(G)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
153,Barber's Closet,( Looks promising-basement below Hot L Cafe),636 W. Washington,Madison,"(M),(D)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
155,Hot L Cafe,"(Best late, 12-3am*)",636 W. Washington,Madison,"(M),(R),(C),(*)",Restaurant,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
156,Kollege Klub,,529 N. Lake,Madison,"(M),(YC)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
157,Pirate Ship,(Some RT) (Late *),116 N. Fairchild,Madison,"(OC),(RT),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
158,Pure Pleasure Book Store,,116 King St.,Madison,(*),Book Store,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
161,Advent,"(Some G, B) (C-AH)",500 S. 5th Virginia,Milwaukee,"(D),(G),(B),(PT),(C),(AH)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
162,Antlers Hotel,(Top floor),616 N. 2nd St.,Milwaukee,"(M),(RT),(H)",Hotels,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
163,Ball Game,,196 S. 2nd St.,Milwaukee,"(D),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
164,Beck's Books,,753 N. Plankinton,Milwaukee,(SM),Book Store,1978,,checked,the sm is throwing me off,3/25/2020 3:48pm,3/25/2020 6:17pm
165,Beer Garden,(Many G),3743 W. Vliet,Milwaukee,"(D),(G),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:36pm
166,Black Forest,,814 S 2nd St.,Milwaukee,"(D),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
167,C'est La Vie,,231 S. 2nd St.,Milwaukee,"(D),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
168,Circus,(Disco) (2 floors),219 S. 2nd St,Milwaukee,"(YC),(D),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
169,Club Milwaukee Baths,(P-use rear entrance),704 A. W. Wisconsin Ave.,Milwaukee,"(*),(P)",Baths,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
170,Empire Lounge,,716 N Plankinton,Milwaukee,(E),Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
172,Finale,(2 floors),808 E. Center St.,Milwaukee,"(D),(PT),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
173,Hideaway,,819 S. 2nd St.,Milwaukee,(D),Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
174, Finlandia Health Spa,,707 E. Knapp,Milwaukee,,Baths,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
175,Inferno, (Some B) (Unisex) (Several bars & rooms),158 N. Broadway,Milwaukee,"(*),(YC),(B),(D),(HIP)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
176,Leaded Shade,,157 S. 1st St.,Milwaukee,"(G),(D),(R),(PT),(*)","Restaurant,Bars/Clubs",1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
177,Mint,"(Some OC, RT, B,)",422 W. State St.,Milwaukee,"(OC),(RT),(B),(D),(SM)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
179,Oregon House,,235 S. 2nd St.,Milwaukee,,Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
180,Paradise Adult Books & Movies,,225 N. Water St.,Milwaukee,,Book Store,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
181,Side Door,,212 E. St. Paul,Milwaukee,,Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
182,Sugar Shack,,135 E. National,Milwaukee,(G),Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
183,Swittel's,,1187 N. 68th St.,Milwaukee,"(M),(OC),(WE)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
184,Ten Hundred East,,1000 E. North St.,Milwaukee,(D),Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
185,Things,"(Boutique, books, gifts) ",818 E. Center St.,Milwaukee,,"Business,Book Store",1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
186,This is it,,418 E. Wells St.,Milwaukee,"(*),(D)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
187,Wreck Room,,266 E. Erie St.,Milwaukee,"(*),(SM),(W),(D),(PT)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
188,Your Place,,813 S. 1st St.,Milwaukee,"(D),(PT),(*)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
201,Pure Pleasure Book Store,(Cruisy),13 Washington Ave,Oshkosh,(*),"Book Store,Cruising Areas",1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
204,Jodee's,(Some G) ,2139 Racine,Racine,"(D),(*),(G)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
205,Shack II,(Larry & Dave's) (Some G),2201 Mead,Racine,"(G),(D)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
207,Darlyne's,,1812 Broadway,Superior,"(M),(RT)",Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
208,Douglas Tavern,,318 Tower Ave,Superior,(*),Bars/Clubs,1978,,,,3/25/2020 3:48pm,3/25/2020 6:17pm
210,Conway Hotel Bar,,128 N. Oneida,Appleton,"(M),(OC)","Bars/Clubs,Hotels",1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
211,Doris' Super Bar,(Some G),323 W. College Avenue,Appleton,"(D),(G),(*)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
212,Gail's Bar,(Some G),1101 W. Main,Green Bay,(G),Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
213,Roxy Lounge,(Some G),209 Pine St.,Green Bay,"(YC),(G),(D),(*)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
216,Kenosha Steam Baths,,3504 60th St.,Kenosha,,Baths,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
217,Shack,,10936 Sheridan Rd.,Kenosha,"(YC),(D),(*)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
218,Red Lion,(Some G),120 3rd Sr.,La Crosse,"(M),(G)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
222,Hot L Cafe,,636 W. Washington,Madison,"(R),(C),(*),(AH)",Restaurant,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
223,Pirate Ship, (Late only),116 N. Fairchild,Madison,"(M),(OC),(RT)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
224,Pure Pleasure Book Store,,116 King St.,Madison,(*),Book Store,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
227,Advent,(Some G) (also C-AH-looks promising),500 S. 5th Virginia,Milwaukee,"(D),(G),(B),(PT),(C),(AH)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
228,Antlers Hotel,"( Such ""action"" left is on the top floor)",616 N. 2nd St.,Milwaukee,"(M),(RT),(H)",Hotels,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
229,Ball Game,,196 S. 2nd St.,Milwaukee,"(D),(*)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
230,Beer Garden,(Many G),3743 W. Vliet,Milwaukee,"(D),(G),(*)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
231,C'est La Vie,,231 S. 2nd St.,Milwaukee,"(OC),(RT),(D)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
232,Club Milwaukee Baths, (rear entrance),704 A. W. Wisconsin Ave.,Milwaukee,"(*),(P)",Baths,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
233,Finale,(2 floors),808 E. Center St.,Milwaukee,"(D),(PT),(*)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
234, Finlandia Health Spa,(closes early except WE),707 E. Knapp,Milwaukee,,Baths,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
235,Inferno,"(Milwaukee's ""super bar"" with several rooms) (Disco) (some B)",158 N. Broadway,Milwaukee,"(HIP),(*),(YC),(D),(B)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
236,Leaded Shade,,157 S. 1st St.,Milwaukee,"(G),(D),(R),(PT),(*)","Restaurant,Bars/Clubs",1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
237,Lib Book Store,,601 N. 5th St,Milwaukee,,Book Store,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
238,Martin's,,1800 North Arlington Place,Milwaukee,,Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
239,Mint,,422 W. State St.,Milwaukee,"(OC),(RT),(B),(D),(SM)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
240,Mister Z's,(Some G),219 S. 2nd Street,Milwaukee,"(D),(G)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
241,Swittel's,,1187 N. 68th St.,Milwaukee,"(M),(OC),(WE)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
242,Ten Hundred East,,1000 E. North St.,Milwaukee,(D),Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
243,This is it,,418 E. Wells St.,Milwaukee,"(*),(D)",Bars/Clubs,1977,,,,3/25/2020 3:48pm,3/25/2020 7:03pm
244,Wreck Room,,266 E. Erie St.,Milwaukee,"(*),(SM),(W),(D),(PT),(YC)",Bars/Clubs,1977,,,,3/25/2020 3:49pm,3/25/2020 7:03pm
245,Your Place,,813 S. 1st St.,Milwaukee,"(D),(PT),(*)",Bars/Clubs,1977,,,,3/25/2020 3:49pm,3/25/2020 7:03pm
258,Pure Pleasure Book Store,,13 Washington Ave,Oshkosh,(*),Book Store,1977,,,,3/25/2020 3:49pm,3/25/2020 7:03pm
261,Gus',(Some G),2201 Mead,Racine,"(D),(G),(*)",Bars/Clubs,1977,,,,3/25/2020 3:49pm,3/25/2020 7:03pm
262,Jodee's,(Some G) ,2139 Racine,Racine,"(D),(*),(G)",Bars/Clubs,1977,,,,3/25/2020 3:49pm,3/25/2020 7:03pm
264,Darlyne's,,1812 Broadway,Superior,"(M),(RT)",Bars/Clubs,1977,,,,3/25/2020 3:49pm,3/25/2020 7:03pm
265,Douglas Tavern,,318 Tower Ave,Superior,(*),Bars/Clubs,1977,,,,3/25/2020 3:49pm,3/25/2020 7:03pm
267,Conway Hotel Bar,,128 N. Oneida,Appleton,(M),"Bars/Clubs,Hotels",1976,,,,3/25/2020 3:49pm,3/25/2020 7:05pm
269,Gail's Bar,,1101 W. Main,Green Bay,(*),Bars/Clubs,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
270,Kenosha Steam Baths,,3504 60th St.,Kenosha,,Baths,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
271,Shack,,10936 Sheridan Rd.,Kenosha,"(YC),(D),(*)",Bars/Clubs,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
272,Red Lion,(Some G) betw Main and Pearl,120 3rd Sr.,La Crosse,"(M),(G)",Bars/Clubs,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
276,Pirate Ship, (Late only),116 N. Fairchild,Madison,"(M),(OC),(RT)",Bars/Clubs,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
279,Antlers Hotel,"( Such ""action"" left is on the top floor)",616 N. 2nd St.,Milwaukee,"(M),(RT),(H)",Hotels,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
280,Ball Game,,196 S. 2nd St.,Milwaukee,"(D),(*)",Bars/Clubs,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
281,Beer Garden,(some G),3743 W. Vliet,Milwaukee,"(M),(D),(G)",Bars/Clubs,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
282,C'est La Vie,('teenie boppers') (could be a winner),231 S. 2nd St.,Milwaukee,(D),Bars/Clubs,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
283,Club Health Spa,(Baths) (get I.D. cards at River Queen),255 E. St. Paul,Milwaukee,,Baths,1976,,,,3/25/2020 3:49pm,3/25/2020 7:55pm
