ID,Title,description,streetaddress,state,amenityfeatures,Type,city,unclearaddress,Year,uncleartype,notes,dateadded,lastmodified
467,Diamond Lil's ,,3025 N. 24th St. E,AZ,(*),Bars/Clubs,Phoenix,,1966,,,4/21/2020 9:58am,7/27/2020 1:17pm
471,Black Door,(nr Congress Hotel),,AZ,,Bars/Clubs,Tucson,,1966,,,4/21/2020 9:58am,7/27/2020 1:17pm
473,Jim's,,23. W 3rd St.,AZ,(*),Bars/Clubs,Tucson,,1966,,,4/21/2020 9:58am,7/27/2020 1:17pm
469,Mr. Jim's,,155 W Camelback Rd,AZ,"(D),(*)",Bars/Clubs,Phoenix,,1966,,,4/21/2020 9:58am,7/27/2020 1:17pm
470,South Seas,,32 E. Monroe,AZ,,Bars/Clubs,Phoenix,,1966,,,4/21/2020 9:58am,7/27/2020 1:17pm
478,South Seas,,32 E. Monroe,AZ,(*),Bars/Clubs,Phoenix,,1965,,,4/21/2020 9:58am,7/27/2020 1:17pm
474,Captain's Table,,5538 N. 7th St. E,AZ,,Bars/Clubs,Phoenix,,1965,,,4/21/2020 9:58am,7/27/2020 1:17pm
477,Kay's Happy Landing,,4405 S. Central ,AZ,,Bars/Clubs,Phoenix,,1965,,,4/21/2020 9:58am,7/27/2020 1:17pm
222,Mickey's Lounge,Sands Motel,400 S. Haskell Ave.,AZ,(M),"Bars/Clubs,Hotels",Wilcox,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
262,Congress Hotel Bar,(Latins),311 E. Congress,AZ,(RT),"Bars/Clubs,Hotels",Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
310,Congress Hotel Bar,(Latins),311 E. Congress,AZ,(RT),"Bars/Clubs,Hotels",Tucson,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
349,Congress Hotel Bar,(Latins),311 E. Congress,AZ,(RT),"Bars/Clubs,Hotels",Tucson,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
371,Varisty Inn,,801. E. Apache,AZ,"(M),(YC)","Bars/Clubs,Hotels",Tempe,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
374,Congress Hotel Bar,,311 E. Congress,AZ,,"Bars/Clubs,Hotels",Tucson,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
391,Congress Hotel Bar,,311 E. Congress,AZ,,"Bars/Clubs,Hotels",Tucson,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
405,Congress Hotel Bar,,311 E. Congress,AZ,(M),"Bars/Clubs,Hotels",Tucson,,1972,,,4/20/2020 10:24pm,7/27/2020 1:17pm
423,Congress Hotel Bar,,311 E. Congress,AZ,(M),"Bars/Clubs,Hotels",Tucson,,1971,,,4/20/2020 10:24pm,7/27/2020 1:17pm
439,Congress Hotel Bar,,311 E. Congress,AZ,,"Bars/Clubs,Hotels",Tucson,,1970,,,4/20/2020 10:24pm,7/27/2020 1:17pm
451,Congress Hotel Bar,,311 E. Congress,AZ,,"Bars/Clubs,Hotels",Tucson,,1969,,,4/20/2020 10:24pm,7/27/2020 1:17pm
462,Congress Hotel Bar,,311 E. Congress,AZ,(M),"Bars/Clubs,Hotels",Tucson,,1968,,,4/20/2020 10:24pm,7/27/2020 1:17pm
472,Congress Hotel Bar,,311 E. Congress,AZ,,"Bars/Clubs,Hotels",Tucson,,1966,,,4/21/2020 9:58am,7/27/2020 1:17pm
481,Santa Rita Hotel Bar,,109 S Scott,AZ,(M),"Bars/Clubs,Hotels",Tucson,,1965,,,4/21/2020 9:58am,7/27/2020 1:17pm
480,Congress Hotel Bar,,311 E. Congress,AZ,,"Bars/Clubs,Hotels",Tucson,,1965,,,4/21/2020 9:58am,7/27/2020 1:17pm
414,Manny's Den,,1724 E. McDowell Rd.,AZ,"(S),(*)","Bars/Clubs,Business",Phoenix,,1971,,,4/20/2020 10:24pm,7/27/2020 1:17pm
16,Forum,(2 bars) (Disco)  (Sun. afternoon buffet),4132 E. McDowell Rd.,AZ,"(*),(YC),(D)","Bars/Clubs,Restaurant",Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
94,Forum,(2 bars) (Disco)  (Sun. afternoon buffet),4132 E. McDowell Rd.,AZ,"(*),(YC),(D)","Bars/Clubs,Restaurant",Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
165,Casa de Roma,(Sun. brunch),4331 N. 16th St.,AZ,"(*),(YC),(D)","Bars/Clubs,Restaurant",Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
172,Forum,(Disco) ,4132 E. McDowell Rd.,AZ,"(*),(YC),(D)","Bars/Clubs,Restaurant",Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
177,Nu Towne Saloon,(Sun. brunch & barbeque; Mon. night beer bust) ,5002 E. Van Buren,AZ,"(W),(YC),(D),(*)","Bars/Clubs,Restaurant",Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
208,Jekyll's & Hyde's,(Disco) (Mardi Gras carnival in Feb.),1455 N. Miracle Mile,AZ,"(*),(YC),(D),(R),(PT)","Bars/Clubs,Restaurant",Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
235,Casa de Roma,(S-WE),4331 N. 16th St.,AZ,"(YC),(D),(S),(WE),(*)","Bars/Clubs,Restaurant",Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
288,Casa de Roma,,4331 N. 16th St.,AZ,"(YC),(D),(S),(*)","Bars/Clubs,Restaurant",Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
298,Nu Towne Saloon,(Sun. brunch & barbeque),5002 E. Van Buren,AZ,"(W),(YC),(D),(*)","Bars/Clubs,Restaurant",Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
337,Nu Towne Saloon,('Flicks' also (C) after weekends & Sunday brunch),5002 E. Van Buren,AZ,"(W),(YC),(D),(*),(C)","Bars/Clubs,Restaurant",Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
340,Sportsmen Lounge,(Disco) (Also (C) (R) after hours - Enter through parking lot in rear),4622 N. 7th St.,AZ,"(*),(HIP),(YC),(D),(C),(R)","Bars/Clubs,Restaurant",Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
352,Stonewall,(Disco) May be opening patio (R) in back,2921 N. 1st Avenue,AZ,"(HIP),(YC),(D),(*),(R)","Bars/Clubs,Restaurant",Tucson,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
364,Nu Towne Saloon,"(also (C) after hours, weekends and Sunday brunch)",5002 E. Van Buren,AZ,"(W),(YC),(D),(*),(C)","Bars/Clubs,Restaurant",Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
366,Sportsmen Lounge, (Also (C) (R) after hours next door at the 'Other Side' ,4622 N. 7th St.,AZ,"(*),(HIP),(YC),(D),(C),(R)","Bars/Clubs,Restaurant",Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
475,Diamond Lil's ,,3025 N. 24th St. E,AZ,"(*),(R)","Bars/Clubs,Restaurant",Phoenix,,1965,,,4/21/2020 9:58am,7/27/2020 1:17pm
246,Nu Towne Saloon,(Sunday brunch & barbeque; Monday night 'beer bust') (cruisy) ,5002 E. Van Buren,AZ,"(W),(YC),(D),(*)","Bars/Clubs,Restaurant,Cruising Areas",Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
10,Club Phoenix Baths,,1517 S. Black Canyon Rd.,AZ,"(P),(*)",Baths,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
56,Hairy Tiz,(Picking up nicely-may be adding adj. baths) ,342 E. Toole Ave,AZ,,Baths,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
88,Club Phoenix Baths,,1517 S. Black Canyon Rd.,AZ,"(P),(*)",Baths,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
132,Hairy Tiz,(Picking up nicely-may be adding adj. baths) ,342 E. Toole Ave,AZ,,Baths,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
166,Club Phoenix Baths,,1517 So. Black Canyon Rd.,AZ,"(P),(*)",Baths,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
207,Hairy Tiz,(Looks promising),342 E. Toole Ave,AZ,,Baths,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
236,Club Phoenix Baths,,1517 So. Black Canyon Rd.,AZ,"(P),(*)",Baths,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
260,Back Door Club Baths,(Looks promising) (Adjacent to above Book Store),3309 East Michigan,AZ,,Baths,Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
290,Club Phoenix Baths,,1517 S. Black Canyon Rd.,AZ,(*),Baths,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
329,Club Phoenix Baths,,1517 S. Black Canyon Rd.,AZ,(*),Baths,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
358,Club Phoenix Baths,,1517 S. Black Canyon Rd.,AZ,,Baths,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
122,Back Door Club Baths & Book Store,(Tues*) ,3309 E. Michigan,AZ,(*),"Baths,Book Store",Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
201,Back Door ,(Bookstore & adjacent baths) (Tues*) ,3309 E. Michigan,AZ,(*),"Baths,Book Store",Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
11,Connection,"(Cruisy) (Some W, SM, FFA) (Newly enlarged) (Bare chest nights) ",4211 N. 7th St. ,AZ,"(*),(W),(SM),(FFA)","Cruising Areas,Bars/Clubs",Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
89,Connection,"(Cruisy) (Some W, SM, FFA) (Bare chest nights) ('wild john')",4211 N. 7th St. ,AZ,"(*),(W),(SM),(FFA)","Cruising Areas,Bars/Clubs",Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
167,Connection,(Cruisy) (Bare chest nights),4211 N. 7th St. ,AZ,"(W),(SM),(PT),(*),(D)","Cruising Areas,Bars/Clubs",Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
62,Toole Box,(Cruisy maze & 'wild back room') (Enter thru lobby of MacArthur Hotel) ,347 E. Toole Ave,AZ,"(P),(AH),(BYOB),(*)","Cruising Areas,Bars/Clubs,Hotels",Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
140,Toole Box,(Cruisy maze & 'wild back room') (Enter thru lobby of MacArthur Hotel) ,347 E. Toole Ave,AZ,"(P),(AH),(BYOB),(*)","Cruising Areas,Bars/Clubs,Hotels",Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
22,Nu Towne Saloon,"(Cruisy) (Some W) (Patio with Sun. buffet, 'Mon. beer bust') ",5002 E. Van Buren,AZ,"(*),(W),(PT)","Cruising Areas,Bars/Clubs,Restaurant",Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
100,Nu Towne Saloon,"(Cruisy) (Some W) (Patio with Sun. buffet, 'Mon. beer bust') ",5002 E. Van Buren,AZ,"(*),(W),(PT)","Cruising Areas,Bars/Clubs,Restaurant",Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
28,Swim & Sea Athletic Club,"(Men only, swim pool, sauna) (Cruisy) Desert Pool Motel",2922 E. Van Buren,AZ,(*),"Cruising Areas,Organizations,Hotels",Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
105,Swim & Sea Athletic Club,"(Men only, swim pool, sauna) (Cruisy) Desert Pool Motel",2922 E. Van Buren,AZ,(*),"Cruising Areas,Organizations,Hotels",Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
183,Swim & Sea Athletic Club,(Men only)Desert Pool Motel,2922 E. Van Buren,AZ,(*),"Organizations,Hotels",Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
13,Desert Pool Motel,,2922 E. Van Buren,AZ,"(M),(H)",Hotels,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
59,MacArthur Hotel ,(Don't expect the Ritz),345 E. Toole Ave,AZ,(M),Hotels,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
74,Stardust Motel Lounge,,2350 S. 4th St. ,AZ,"(M),(E)",Hotels,Yuma,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
91,Desert Pool Motel,,2922 E. Van Buren,AZ,"(M),(H),(*)",Hotels,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
128,Curve Inn Motel,(X-rated movies) ,435 W. Miracle Mile Strip,AZ,"(M),(H)",Hotels,Tucson,,1979,checked,Not sure impact of x rated movies in desc.,4/20/2020 9:17pm,7/27/2020 1:17pm
135,MacArthur Hotel ,(Don't expect the Ritz),345 E. Toole Ave,AZ,(M),Hotels,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
151,Stardust Motel Lounge,,2350 S. 4th St. ,AZ,"(M),(E)",Hotels,Yuma,,1979,,,4/20/2020 9:18pm,7/27/2020 1:17pm
169,Desert Pool Motel & Sauna,,2922 E. Van Buren,AZ,"(M),(H),(*)",Hotels,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
213,Roman Inn,,31 No. 6th Ave,AZ,(M),Hotels,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
225,Stardust Motel Lounge,,2350 S. 4th St. ,AZ,"(M),(E)",Hotels,Yuma,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
412,Hatcher Inn,,1101 W. Hatcher Rd.,AZ,,Hotels,Phoenix,,1971,,,4/20/2020 10:24pm,7/27/2020 1:17pm
432,Hatcher Inn,,1101 W. Hatcher Rd.,AZ,,Hotels,Phoenix,,1970,,,4/20/2020 10:24pm,7/27/2020 1:17pm
435,San Carlos Hotel Bar,San Carlos Hotel,202 S. Central,AZ,"(M),(RT)","Hotels,Bars/Clubs",Phoenix,,1970,,,4/20/2020 10:24pm,7/27/2020 1:17pm
479,Westward Ho Hotel Bar,,618 N Central Av,AZ,(M),"Hotels,Bars/Clubs",Phoenix,,1965,,,4/21/2020 9:58am,7/27/2020 1:17pm
279,Stardust Motel Lounge,,2350 S. 4th St. ,AZ,"(M),(E),(R)","Hotels,Restaurant",Yuma,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
324,Stardust Motel Lounge,,2350 S. 4th St. ,AZ,"(M),(E),(R)","Hotels,Restaurant",Yuma,,1976,,,4/20/2020 10:24pm,7/27/2020 1:17pm
15,Erotica Motel & Book Store,,5200 E. Van Buren,AZ,(M),"Hotels,Book Store",Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
93,Erotica Motel & Book Store,,5200 E. Van Buren,AZ,,"Hotels,Book Store",Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
171,Erotica Motel & Book Store,,5200 E. Van Buren,AZ,,"Hotels,Book Store",Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
24,Parr of Arizona,(Clothing) ,3903 N. 16th St. ,AZ,,Business,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
101,Parr of Arizona,(Clothing) ,3903 N. 16th St. ,AZ,,Business,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
247,Phil's Coffee Shop,(Hustlers),1 Central Avenue,AZ,"(M),(RT),(C),(AH)",Business,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
293,Jay's Coffee Shop,(occasionally interesting) ,1 Central Ave,AZ,"(M),(RT),(C),(AH)",Business,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
370,Glad Coffeehouse,,1414 S. McAllister,AZ,,Business,Tempe,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
12,Denny's,(AH*),5000 N. 7th St. ,AZ,"(M),(R),(C),(AH),(*)",Restaurant,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
31,Unlimited ,,2320 N. 32nd Oak,AZ,"(R),(L)",Restaurant,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
40,Dr. Munchie's,,4333 Brown ,AZ,"(M),(R)",Restaurant,Scottsdale,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
43,Dr Munchie's ,,234 W. University Dr. ,AZ,"(M),(YC),(R)",Restaurant,Tempe,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
44,Minder-Benders,,715 S. Hayden,AZ,"(M),(YC),(R)",Restaurant,Tempe,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
72,Ruth's Coffee Shop,,38 W. 2nd St.,AZ,"(M),(R)",Restaurant,Yuma,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
90,Denny's,(AH*),5000 N. 7th St. ,AZ,"(M),(R),(C),(AH),(*)",Restaurant,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
115,Dr. Munchie's,,4333 Brown ,AZ,"(M),(R)",Restaurant,Scottsdale,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
118,Dr Munchie's ,,234 W. University Dr. ,AZ,"(M),(YC),(R)",Restaurant,Tempe,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
119,Minder-Benders,,715 S. Hayden Rd.,AZ,"(M),(YC),(R)",Restaurant,Tempe,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
138,Ramada Inn,(AH*) ,404 N. Freeway,AZ,"(M),(R),(C),(AH),(*)",Restaurant,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
149,Ruth's Coffee Shop,,38 W. 2nd St.,AZ,"(M),(R)",Restaurant,Yuma,,1979,,,4/20/2020 9:18pm,7/27/2020 1:17pm
164,Brookshire,,McDowell at N. 16th ,AZ,"(M),(R),(C),(AH)",Restaurant,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
168,Denny's,,5000 N. 7th St. ,AZ,"(M),(R),(C),(AH),(*)",Restaurant,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
179,Ponderosa Steak House,,1400 N. Black Canyon Rd.,AZ,"(M),(R),(C),(AH)",Restaurant,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
192,Dr. Munchie's,,4333 Brown ,AZ,"(M),(R)",Restaurant,Scottsdale,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
197,Dr Munchie's ,,234 W. University Dr. ,AZ,"(M),(YC),(R)",Restaurant,Tempe,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
209,Jerry's ,,1201 N. Stone Ave,AZ,"(M),(R),(C),(AH)",Restaurant,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
215,Village,,1500 N. Miracle Mile,AZ,"(M),(R),(C),(AH)",Restaurant,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
224,Ruth's Coffee Shop,,38 W. 2nd St.,AZ,"(M),(R)",Restaurant,Yuma,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
231,Bali Hi,,1515 Grande Avenue,AZ,"(M),(R),(C),(AH)",Restaurant,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
238,Denny's,at Camelback,5000 N. 7th St. ,AZ,"(M),(R),(C),(AH),(*)",Restaurant,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
243,La Strada,(Italian),3509 North Central,AZ,"(M),(R)",Restaurant,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
263,Gonella's ,,1201 N. Stone Ave.,AZ,"(M),(R),(C),(AH)",Restaurant,Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
268,Village,,1500 N. Miracle Mile,AZ,"(M),(R),(C),(AH)",Restaurant,Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
277,Ruth's Coffee Shop,,38 W. 2nd St.,AZ,"(M),(R),(C),(AH)",Restaurant,Yuma,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
294,La Strada Italian,,3509 N. Central,AZ,(R),Restaurant,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
315,Village Inn,,1500 N. Miracle Mile,AZ,"(M),(R),(C),(AH)",Restaurant,Tucson,,1976,,,4/20/2020 10:24pm,7/27/2020 1:17pm
322,Ruth's Coffee Shop,,38 W. 2nd St.,AZ,"(M),(R),(C),(AH)",Restaurant,Yuma,,1976,,,4/20/2020 10:24pm,7/27/2020 1:17pm
335,Jay's Coffee Shop,,1 Central Ave,AZ,"(M),(RT),(C),(R)",Restaurant,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
350,Gonella's ,,1201 N. Stone Ave.,AZ,"(M),(R),(C),(AH)",Restaurant,Tucson,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
354,Village Inn,,1500 N. Miracle Mile,AZ,"(M),(R),(C),(AH)",Restaurant,Tucson,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
362,Jay's Coffee Shop,,1 Central Ave,AZ,"(M),(C),(R)",Restaurant,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
86,Blue Jeans ,(24 hr. R) & Cocktail Lounge,4620 E. McDowell Rd. ,AZ,(R),"Restaurant,Bars/Clubs",Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
202,Back Pocket ,(Sunday barbeque-ad- joins Joshua Tree,2921 N. 1st Ave.,AZ,"(YC),(PT),(*)","Restaurant,Bars/Clubs",Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
261,Back Pocket ,"(Game Room) (Sunday-barbeque-5-7 p.m- a ""must""- adjacent to The Stonewall)",2921 N. 1st Ave.,AZ,"(YC),(PT),(*)","Restaurant,Bars/Clubs",Tucson,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
63,Truth Chapel ,,2640 N. Dodge,AZ,M.C.C.,Church,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
136,M.C.C.,Truth Chapel,920 N. 1st Ave.,AZ,,Church,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
175,M.C.C.,,1426 E. Maricopa Fwy.,AZ,M.C.C.,Church,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
245,M.C.C.,,1426 E. Maricopa Freeway,AZ,M.C.C.,Church,Phoenix,,1977,,,4/20/2020 10:23pm,7/27/2020 1:17pm
296,M.C.C.,,1426 E. Maricopa Freeway,AZ,M.C.C.,Church,Phoenix,,1976,,,4/20/2020 10:23pm,7/27/2020 1:17pm
336,M.C.C.,,1426 E. Maricopa Freeway,AZ,M.C.C.,Church,Phoenix,,1975,,,4/20/2020 10:24pm,7/27/2020 1:17pm
363,Metropolitan Community Church,,1426 E. Maricopa Freeway,AZ,M.C.C.,Church,Phoenix,,1974,,,4/20/2020 10:24pm,7/27/2020 1:17pm
384,Metropolitan Community Church,,1426 E. Maricopa Freeway,AZ,M.C.C.,Church,Phoenix,,1973,,,4/20/2020 10:24pm,7/27/2020 1:17pm
9,Book Cellar,(Books),2103 W.  Camelback Rd.,AZ,,Book Store,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
23,Owl Book Store,,1838 Grand Ave,AZ,,Book Store,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
25,Pleasure Palace Book Store,,1524 E. Van Buren,AZ,,Book Store,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
41,Shack Book Store,,3024 N. Scottsdale Dr.,AZ,(M),Book Store,Scottsdale,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
50,Books Brothers,,3244 E. Speedway,AZ,,Book Store,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
51,Book Cellar,(Books),2205 N. Stone,AZ,(M),Book Store,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
52,Caesar's Book Store,(Wild back room best early evenings) ,2540 N. Miracle Mile,AZ,(*),Book Store,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
55,Fun Tyme Adult Books ,,349 E. Toole Ave. ,AZ,,Book Store,Tucson,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
85,Book Cellar,(Books),2103 W.  Camelback Rd.,AZ,,Book Store,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
98,Mojave Books,,1838 Grand Ave,AZ,,Book Store,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
102,Pleasure Palace Book Store,,1524 E. Van Buren,AZ,,Book Store,Phoenix,,1979,,,4/20/2020 12:47am,7/27/2020 1:17pm
116,Shack Book Store,,3024 N. Scottsdale Dr.,AZ,(M),Book Store,Scottsdale,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
124,Bookland,(Books),3244 E. Speedway,AZ,(M),Book Store,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
125,Book Cellar,(Books),2205 N. Stone,AZ,(M),Book Store,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
126,Caesar's Book Store,('Wild back room' -best early evenings) ,2540 N. Miracle Mile,AZ,(*),Book Store,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
130,Downtowner ,(Books) ,120 E. Congress,AZ,(M),Book Store,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
137,Paris Knights,(Books) ,3844 E. Grant Rd.,AZ,(*),Book Store,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
139,Speedway Adult Books,,3660 E. Speedway,AZ,(M),Book Store,Tucson,,1979,,,4/20/2020 9:17pm,7/27/2020 1:17pm
162,Barney's Book Store,,1321 E. McDowell,AZ,(M),Book Store,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
163,Book Cellar,,2103 W.  Camelback Rd.,AZ,,Book Store,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
174,Le Sex Shoppe,"(Books, etc) ",6 W.  Washington,AZ,,Book Store,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
178,Pleasure Palace Book Store,,1524 E. Van Buren,AZ,,Book Store,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
186,Uncle Ted's Bookstore,,1800 E. McDowell Rd.,AZ,,Book Store,Phoenix,,1978,,,4/20/2020 9:18pm,7/27/2020 1:17pm
193,Shack Book Store,,3024 N. Scottsdale Dr.,AZ,(M),Book Store,Scottsdale,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
196,Changing Hands,"Woman's Place (Books, etc.)",9. E. 5th St.,AZ,,Book Store,Tempe,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
203,B & M Adult Books,,1904 So. Craycroft,AZ,,Book Store,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
211,Little Caesar's Book Store,('wild back room' best early evenings) ,2500 N. Miracle Mile,AZ,(*),Book Store,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
214,Speedway Adult Books,,3660 E. Speedway,AZ,,Book Store,Tucson,,1978,,,4/20/2020 10:23pm,7/27/2020 1:17pm
