ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified
118,Tyson Place,(Can enter thru rear of Leon's),227 W. Chase St.,Baltimore,MD,"(M),(R)",Restaurant,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
119,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,"(M),(H)",Hotels,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
120,Zodiac Club,,2001 Eastern,Baltimore,MD,,Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
130,Bull Ring Lounge,(Closed Sundays) Colonial Hotel at Antietam,57 So. Potomac,Hagerstown,MD,"(YC),(*)","Bars/Clubs,Hotels",1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
135,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
138,Port of Annapolis Pub,,186 Main St.,Annapolis,MD,(M),Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
139,Barracks,(Baths) (Some W-SM),1114 Cathederal,Baltimore,MD,"(W),(SM),(*)",Baths,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
140,Club East Baths,,1105 Cathederal,Baltimore,MD,(*),Baths,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
141,Club Mitchell,,1103 E. Pratt,Baltimore,MD,"(P),(G),(D),(*)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
144,Frankie & Johnnie's,(Some G) ,2218 Boston,Baltimore,MD,"(M),(RT),(G)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
145,Gallery ,"(Some W, SM)",1735 Maryland,Baltimore,MD,"(R),(W),(SM),(*)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
146,Hippopotamus,(Unisex)(Disco) (Wednesday night is B) at Charles,1 West Eager,Baltimore,MD,"(M),(HIP),(YC),(D),(PT),(B)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
147,Horse you Came In On,,1626 Thames Street,Baltimore,MD,"(M),(YC),(D),(R)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
150,Leon's,,870 Park Avenue,Baltimore,MD,(*),Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
