ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
106,Lloyd's of Albuquerque ,,4209 Central Ave. N.E.,Albuquerque,NM,"(M),(PE),(R)",Restaurant,1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
107,Mildred's,(some G),4021 Central Ave. N.E.,Albuquerque,NM,"(D),(S),(G),(*)",Bars/Clubs,1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
108,Okie's Lounge,,1720 Central Ave. N.E. ,Albuquerque,NM,"(M),(HIP),(YC)",Bars/Clubs,1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
109,The Place,(after hours) use rear door behind 'Mildred's'-,4021 Central Ave. N.E.,Albuquerque,NM,"(R),(C)",Restaurant,1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
110,Claude's,,656 Canyon Rd.,Santa Fe,NM,"(M),(HIP),(*)",Bars/Clubs,1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
111,La Fonda Hotel Bar,,100 San Francisco,Santa Fe,NM,"(M),(*)","Bars/Clubs,Hotels",1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
112,The Forge,Inn of the Governors,234 Don Gaspar,Santa Fe,NM,"(M),(PE)","Bars/Clubs,Hotels",1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
114,Crickets Country Club,(Use rear entrance),2037 4th St. N.W.,Albuquerque,NM,"(G),(D),(P)",Bars/Clubs,1973,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
115,Height's Cocktail Lounge,,4209 Central Ave. N.E.,Albuquerque,NM,"(D),(*)",Bars/Clubs,1973,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
117,Okie's Lounge,,1720 Central Ave. S.E.,Albuquerque,NM,"(M),(HIP),(YC)",Bars/Clubs,1973,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
118,Claude's,,656 Canyon Road,Santa Fe,NM,"(M),(*)",Bars/Clubs,1973,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
119,La Fonda Hotel Bar,,100 San Francisco,Santa Fe,NM,"(M),(*)","Bars/Clubs,Hotels",1973,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
120,The Forge,Inn of the Governors,234 Don Gaspar,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1973,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
121,Height's Cocktail Lounge,,4209 Central Ave. N.E.,Albuquerque,NM,(*),Bars/Clubs,1972,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
