ID,Title,description,streetaddress,city,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
157,La Buena Mesa,,365 Calle Tetuan,San Juan,"(M),(R)",Restaurant,,,1976,,4/27/2020 11:48pm,4/28/2020 12:02am
158,La Vista Guest House,(see also Finocchio's),151 Calle Tetuan ,San Juan,"(H),(*)",Hotels,,,1976,,4/27/2020 11:48pm,4/28/2020 12:02am
159,Lion of St. Mark's Discobath,(opens 8 pm - above Rialto Theatre),152 Calle Tanca,San Juan,,Baths,,,1976,,4/27/2020 11:49pm,4/28/2020 12:02am
160,Lion's Den,($3.00 min. - nude go-go boys - 'flicks' & wild back room),205 Calle Luna betw. La Cruz & San Cristo,San Juan,,Bars/Clubs,,,1976,,4/27/2020 11:49pm,4/28/2020 12:02am
162,Little Penthouse,(upstairs FFA 'flicks' - $3.00 min - 'tops' in Condado - some natives),1019 Ashford Ave.,Condado,"(D),(*),(FFA)",Bars/Clubs,,,1976,,4/27/2020 11:50pm,4/28/2020 12:02am
163,Main Street Bar,(E in back room - opens 12 noon),257 Calle San Jose betw. Tetuan & Fortaleza,San Juan,"(OC),(*),(E)",Bars/Clubs,,,1976,,4/27/2020 11:51pm,4/28/2020 12:02am
164,Manny's,,109 Calle San Sebastian,San Juan,"(M),(R)",Restaurant,,,1976,,4/27/2020 11:52pm,4/28/2020 12:02am
165,Old San Juan Apts. ,(P.O. Box 2144),149 A Calle San Justo ,San Juan,(H),Hotels,,,1976,,4/27/2020 11:52pm,4/28/2020 12:02am
166,Oscar,(Natives) ,1708 Calle San Mateo nr. Ponce de Leon & San Jorge ,Santurce,"(RT),(D),(*)",Bars/Clubs,,,1976,,4/27/2020 11:53pm,4/28/2020 12:02am
168,Plaza Patio ,(opens 12 noon),409 Calle San Francisco,San Juan,"(M),(R),(OC),(RT)",Restaurant,,,1976,,4/27/2020 11:54pm,4/28/2020 12:02am
169,Ray's Bar ,(Some B),161 Calle San Jose,San Juan,"(B),(RT)",Bars/Clubs,,,1976,,4/27/2020 11:54pm,4/28/2020 12:02am
170,Rosemary's By The Sea,,1125 Seaview St.,Condado,(H),Hotels,,,1976,,4/27/2020 11:55pm,4/28/2020 12:02am
171,Sam's Patio (El Patio de Sam),(open until 1 am),102 Calle San Sebastian,San Juan,"(M),(R),(*)",Restaurant,,,1976,,4/27/2020 11:55pm,4/28/2020 12:02am
172,San Francisco Inn,(also bar from 5 pm),263 Calle San Francisco,San Juan,"(H),(R),(*)","Restaurant,Hotels",,,1976,,4/27/2020 11:56pm,4/28/2020 12:02am
173,Small World ,(opens 11 am - best during cocktail hour),250 Calle San Jose nr. Fortaleza,San Juan,(E),Bars/Clubs,,,1976,,4/27/2020 11:57pm,4/28/2020 12:02am
174,Stop 204 ,(also P small guest house above),204 Calle Cristo,San Juan,(P),Bars/Clubs,,,1976,,4/27/2020 11:57pm,4/28/2020 12:02am
175,Ten Twenty Club,(opens 3 pm),1020 Ashford ,Condado,"(E),(*)",Bars/Clubs,,,1976,,4/27/2020 11:58pm,4/28/2020 12:02am
176,The Jeffrey James Guest House,"(small P, H - nice guys)",3 Calle Vendig next to Da Vinci Hotel ,Condado,"(P),(H),(*)",Hotels,,,1976,,4/27/2020 11:58pm,4/28/2020 12:02am
177,Top of Aquarium ,(Natives) (upstairs),225 Calle San Justo,Condado,"(G),(YC),(D),(*)",Bars/Clubs,,,1976,,4/27/2020 11:59pm,4/28/2020 12:02am
