ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
412,Captain's Cabin ,(T-Room & Lobby) Tioga Hotel ,257 N. Broadway ,Coos Bay,OR,"(M),(OC)","Hotels,Bars/Clubs",1980,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
416,Cassady's ,(Disco) Eugene Hotel (upstairs),222 E. Broadway ,Eugene,OR,"(*),(YC),(D)","Bars/Clubs,Hotels",1980,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
192,Castaways ,(Liquor)(Disco),901 S.W. Salmon,Portland,OR,"(D),(*)",Bars/Clubs,1975,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
55,Cellar ,(Below Andy's),220 High NE,Salem,OR,(M),Bars/Clubs,1969,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
76,Cellar ,(below Andy's) ,2210 High St. ,Salem,OR,(M),Bars/Clubs,1970,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
97,Cellar ,(below Andy's),2210 High St. ,Portland,OR,(M),Bars/Clubs,1971,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
123,Cellar ,(below Andy's),2210 High St. ,Salem,OR,(M),Bars/Clubs,1972,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
151,Cellar ,(Below Andy's) ,2210 High St. ,Salem,OR,,Bars/Clubs,1973,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
38,Cellar Bar ,Marion Hotel ,200 Commerical St. SE,Salem,OR,(M),"Bars/Clubs,Hotels",1968,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
5,Chocolate Moose ,,1716 SW 11th St. ,Portland,OR,(C),Bars/Clubs,1965,,,,4/9/2020 4:08pm,7/27/2020 1:14pm
263,Chocolate Moose ,,211 S.W. Ankeny ,Portland,OR,"(M),(R)",Restaurant,1977,,,,4/14/2020 4:43pm,7/27/2020 1:14pm
220,Climax Book Store ,,60 W. 13th St. ,Eugene,OR,,Book Store,1976,,,,4/10/2020 2:35pm,7/27/2020 1:14pm
256,Climax Book Store ,,60 W. 13th Street ,Eugene,OR,,Book Store,1977,,,,4/14/2020 4:43pm,7/27/2020 1:14pm
303,Climax Book Store ,,60 W. 13th St. ,Eugene,OR,,Book Store,1978,,,,4/14/2020 4:44pm,7/27/2020 1:14pm
354,Climax Book Store ,,60 W. 13th St. ,Eugene,OR,,Book Store,1979,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
417,Climax Book Store ,,60 W. 13th St. ,Eugene,OR,,Book Store,1980,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
310,Club Continental ,(Baths for men- opening April '77- replacing Workout Baths),531 S.W. Park Ave. ,Portland,OR,"(*),(YC)",Baths,1978,,,,4/14/2020 4:44pm,7/27/2020 1:14pm
365,Club Continental ,(Baths for men- 'tops' in Oregon),531 S.W. Park Ave. ,Portland,OR,"(*),(P),(YC)",Baths,1979,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
430,Club Continental ,(Baths for men- 'tops' in Oregon'),531 S.W. Park Ave. ,Portland,OR,"(*),(P),(YC)",Bars/Clubs,1980,,,,4/16/2020 12:52pm,7/27/2020 1:14pm
107,Club Northwest ,,217 N.W. 4th Ave. ,Portland,OR,"(G),(D)",Bars/Clubs,1972,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
130,Club Northwest ,(liquor),217 N.W. 4th Ave. ,Portland,OR,"(G),(D),(*)",Bars/Clubs,1973,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
31,Dahl & Penne ,(best after 1am),2nd and Alder ,Portland,OR,"(M),(*)",Bars/Clubs,1968,,,,4/9/2020 4:09pm,7/27/2020 1:14pm
48,Dahl & Penne ,(Best after 1am),2nd & Adler ,Portland,OR,(M),Bars/Clubs,1969,,,,4/9/2020 4:42pm,7/27/2020 1:14pm
264,Dahl & Penne ,"(Liquor)(Some W, SM, G, OC- you nam eit, they have it)",604 S.W. 2nd at Alder ,Portland,OR,"(D),(*),(S),(WE),(W),(SM),(G),(OC)",Bars/Clubs,1977,,,,4/14/2020 4:43pm,7/27/2020 1:14pm
311,Dahl & Penne ,"(Liquor)(Some W, SM, G, OC, you name it, they have it)",604 S.W. 2nd at Alder ,Portland,OR,"(*),(W),(SM),(G),(OC),(D)",Bars/Clubs,1978,,,,4/14/2020 4:44pm,7/27/2020 1:14pm
