ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
608,Golden Gate,(after hours),3542 Olive St.,St. Louis,MO,"(C),(*)",Restaurant,,,1968,,3/30/2020 1:46pm,7/23/2020 7:22pm
628,Golden Gate,,3542 Olive St.,St. Louis,MO,(C),Restaurant,,,1966,,3/30/2020 1:53pm,7/23/2020 7:22pm
652,Golden Gate,(hope to regain liquor license),3542 Olive St. ,St. Louis,MO,"(C),(*)",Restaurant,,,1965,,3/30/2020 3:03pm,7/23/2020 7:22pm
127,Golden Gate Coffee House,(No booze) (Adm.),3542 Olive St.,St. Louis,MO,"(P),(YC),(C),(D),(AH)","Restaurant,Bars/Clubs",,,1979,,3/20/2020 10:55pm,7/23/2020 7:22pm
191,Golden Gate Coffee House,(No booze - Adm. chg.),3542 Olive St.,St. Louis,MO,"(P),(YC),(D),(AH),(WE),(*)",Bars/Clubs,,,1978,,3/22/2020 2:05am,7/23/2020 7:22pm
251,Golden Gate Coffee House,(No booze - $1.00 admission),3542 Olive St.,St. Louis,MO,"(P),(YC),(D),(AH),(WE),(*)","Bars/Clubs,Restaurant",,,1977,,3/23/2020 7:17pm,7/23/2020 7:22pm
310,Golden Gate Coffee House,(no booze) ($1 adm. WE),3542 Olive,St. Louis,MO,"(P),(YC),(D),(AH),(*),(WE)","Bars/Clubs,Restaurant",,,1976,,3/23/2020 8:09pm,7/23/2020 7:22pm
363,Golden Gate Coffee House,(AH - no booze),3542 Olive,St. Louis,MO,"(P),(YC),(D),(AH),(*)",Bars/Clubs,,,1975,,3/29/2020 9:47pm,7/23/2020 7:22pm
415,Golden Gate Coffee House,(after hours),3542 Olive,St. Louis,MO,"(P),(YC),(D),(*)",Bars/Clubs,,,1974,,3/29/2020 10:24pm,7/23/2020 7:22pm
467,Golden Gate Coffee House,(after hours),3542 Olive ,St. Louis,MO,"(YC),(D),(P),(*)",Bars/Clubs,,,1973,,3/29/2020 11:38pm,7/23/2020 7:22pm
505,Golden Gate Coffee House,(after hours),3542 Olive St.,St. Louis,MO,"(P),(D),(C),(*),(AH)",Restaurant,,,1972,,3/30/2020 2:55am,7/23/2020 7:22pm
3,Governor Hotel Bar,,200 Madison,Jefferson City,MO,(M),"Bars/Clubs,Hotels",,,1980,,3/20/2020 8:40pm,7/23/2020 7:22pm
80,Governor Hotel Bar,,200 Madison,Jefferson City,MO,(M),"Bars/Clubs,Hotels",,,1979,,3/20/2020 10:33pm,7/23/2020 7:22pm
148,Governor Hotel Bar,,200 Madison,Jefferson City,MO,(M),"Bars/Clubs,Hotels",,,1978,,3/21/2020 1:03am,7/23/2020 7:22pm
211,Governor Hotel Bar,,200 Madison,Jefferson City,MO,(M),"Bars/Clubs,Hotels",,,1977,,3/23/2020 6:54pm,7/23/2020 7:22pm
271,Governor Hotel Bar,,200 Madison,Jefferson City,MO,(M),"Bars/Clubs,Hotels",,,1976,,3/23/2020 7:36pm,7/23/2020 7:22pm
381,Governor Hotel Bar,,200 Madison ,Jefferson City,MO,(M),"Bars/Clubs,Hotels",,,1974,,3/29/2020 9:56pm,7/23/2020 7:22pm
329,Goverson Hotel Bar,,200 Madison,Jefferson City,MO,(M),"Bars/Clubs,Hotels",,,1975,,3/23/2020 8:16pm,7/23/2020 7:22pm
