ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified,Year
130,Aesop's Table,,519 N. Fairfax Ave. ,Hollywood,CA,(M) - Mixed Crowds - Some Straights,Restaurant,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
1168 copy,After Dark,,365 N. La Cienega,Hollywood,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy",Restaurant,,,,2/10/2020 2:21pm,2/10/2020 2:25pm,1975
66,After Dark,,8471 Beverly Blvd.,Los Angeles ,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,7/22/2019 11:31pm,7/23/2019 12:07am,1974
121,After Dark,(Disco),831 So. La Brea,Hollywood,CA,"(M) - Mixed Crowds - Some Straights,(B) - Blacks frequent,(D) - Dancing",Bars/Clubs,,,,1/26/2020 7:58pm,2/25/2020 11:51am,1978
310,After Dark,(Disco) (Back patio open from 1 p.m.) (New Monterey),214 Lighthouse,Monterey,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,2/3/2020 11:18pm,2/25/2020 11:51am,1978
317,After Dark,(Disco) (Back patio open from 1pm) (New Monterey),214 Lighthouse,Monterey,CA,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing",Bars/Clubs,,,,1/28/2020 11:01pm,2/25/2020 11:55am,1979
131,After Dark,(Disco),831 S. La Brea,Hollywood,CA,"(M) - Mixed Crowds - Some Straights,(B) - Blacks frequent,(D) - Dancing",Bars/Clubs,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
86,After Dark ,(Disco) ,8471 Beverly Blvd. ,Hollywood,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,2/7/2020 4:01pm,2/25/2020 11:45am,1976
307,After Dark ,(should be a winner) ,214 Light House ,New Monterey ,CA,(D) - Dancing,Bars/Clubs,,,,1/28/2020 5:30pm,2/25/2020 11:47am,1977
1410,After Dark ,(Disco) (Backlot open Thurs - Sun. 2pm) (New Monterey),214 Lighthouse ,Monterey,CA,"(D) - Dancing,(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,,2/2/2020 11:48pm,2/25/2020 11:56am,1980
1168,After Dark - Gazebo,(adm. weekends)(Disco),8471 Beverly Blvd.,Hollywood,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,,2/10/2020 2:21pm,2/10/2020 2:25pm,1975
67,After Midnight,Late,8477 Beverly Blvd.,Los Angeles ,CA,"""(C) - Coffee, soft drinks and sometimes snacks."",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place.""",Restaurant,,,,7/22/2019 11:31pm,7/23/2019 12:06am,1974
6,Aftermath,(Disco),1626 E. Truxtun,Bakersfield,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,1/21/2020 1:47pm,2/25/2020 11:51am,1978
122,Ah Men Clothes,,8900 Santa Monica Blvd.,Hollywood,CA,,Business,,,,1/26/2020 7:58pm,2/25/2020 11:51am,1978
108,Ah Men Clothes ,,8900 Santa Monica Blvd. ,Hollywood,CA,,Business,,,,1/25/2020 6:14pm,2/25/2020 11:47am,1977
1247,Airport,,3626 Sunset Blvd.,Los Angeles,CA,,Bars/Clubs,,,,2/23/2020 5:58pm,2/23/2020 6:48pm,1975
214,Airport Club,('Drags'),3626 Sunset Blvd,Los Angeles ,CA,(S) - Shows - impersonators or record pantomime acts - often touristy,Bars/Clubs,,,,1/26/2020 9:04pm,2/25/2020 11:51am,1978
200,Airport Club ,"(""Drags"")",3626 Sunset Blvd.,Los Angeles ,CA,(S) - Shows - impersonators or record pantomime acts - often touristy,Bars/Clubs,,,,1/27/2020 4:00pm,2/25/2020 11:47am,1977
