ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,Year,unclear type or question,notes,Last Modified
5661,Grand Ave. Pub,,716 W. Wisconsin,Milwaukee,WI,"(M),(R)","Bars/Clubs,Restaurant",,1985,,,12/10/2021 7:48pm
125,Grand Camel ,(Some L),5105 N. 43rd Ave. ,Phoenix,AZ,"(R),(L)",Restaurant,,1985,,,12/5/2021 12:17pm
856,Grand Central ,(Disco)(Closed Mon.)(Liquor),345 W. 7th St. ,San Bernardino,CA,"(YC),(D),(PT)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1606,Grand Central Cafe,,901 Progresso Dr. ,Ft. Lauderdale,FL,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
3000,Grand Central Cafe,,5 Masonic Pl. ,Provincetown,MA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
5036,Grand Crystal Palace,(May be closing),2424 Swiss Ave. ,Dallas,TX,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
902,Grand on Garnet,(Paific Beach),1200 Garnet ,San Diego,CA,,Bars/Clubs,,1985,checked,,1/26/2022 1:57pm
5580,Grand Palace,(Disco)(Occ. S)(Some L),617 Brooks St. ,Charleston,WV,"(*),(YC),(D),(P),(L),(S),(PT)",Bars/Clubs,,1985,,,12/10/2021 3:01pm
4962,Grand St. Adult Theatre & Bookstore,"(Some M,W,YC)(Glory Holes)",903 S. Grand ,Amarillo,TX,"(M),(W),(YC)","Theatre,Book Store",,1985,,,12/5/2021 12:17pm
2794,Great American Melting Pot,('Gamby's')(Sun.brunch*),904 N. Charles St.,Baltimore,MD,"(PE),(M),(R),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
5440,Great Northern Book Store,,1306 Railroad Ave. ,Bellingham,WA,,Book Store,,1985,,,12/10/2021 2:04pm
976,Great Outdoors,(Publication) (S.F. 94114),345 Diamond St.,San Francisco,CA,,Publications,,1985,,,1/29/2022 7:10am
2243,Great Showing Machine,"(Leather, clothes, etc.)",3534 N. Broadway,Chicago,IL,,Business,,1985,,,12/5/2021 12:17pm
5441,Green Apple Cinema,,1211 N. State St. ,Bellingham,WA,(M),Theatre,,1985,,,12/10/2021 2:05pm
1756,Green Parrot,(Disco)(Occ.S*),1028 E. Main St. ,Lakeland,FL,"(D),(PT),(S),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4435,Green Parrot,,2625 W. Britton Rd.,Oklahoma City,OK,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
505,Greenery Cafe,,8945 Santa Monica Blvd. ,Hollywood West,CA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
