ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
94,Gay Nineties Cabaret ,(Disco),1900 Kalakaua ,"Waikiki Beach, Oahu",HI,"(YC),(D),(*)",Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
95,Hula's ,(Disco)(opp. Kuhio Theatre),2130 Kuhio ,"Waikiki Beach, Oahu",HI,"(M),(YC),(D),(*)",Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
96,M.C.C. ,,2500 Pali Hwy.,"Waikiki Beach, Oahu",HI,,Church,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
97,Surf Baths ,"(Sun-Wed noon to 3a.m., Thur-Sat noon to 8a.m.- 'flicks' Tue & Thur. nights- take elevator to 2nd floor)",307 Lewers ,"Waikiki Beach, Oahu",HI,"(P),(YC),(*)",Baths,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
98,Tomato Cabaret ,,240 McCully at Ala Wai,"Waikiki Beach, Oahu",HI,"(YC),(R),(D),(E),(PT),(*)",Restaurant,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
172,Taro Patch ,,131 Market St. ,"Wailuku, Maui",HI,(*),Bars/Clubs,1977,,,,4/18/2020 7:59pm,7/27/2020 11:33am
175,City Tavern ,(Natives),55 Haili Street,Hilo,HI,(M),Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
176,Hilo Travelodge Bar ,,121 Banyon Drive ,Hilo,HI,"(M),(*)",Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
177,Glades ,(admission charge) ,152 N. Hotel Street ,Honolulu,HI,"(S),(M),(RT)",Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
178,Question Mark ,(Some W-SM-OC),43 S. Beretania ,Honolulu,HI,"(W),(OC),(*),(SM)",Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
183,Blowhole Cabaret ,(Cruisy),124 Kapahulu,"Waikiki Beach, Oahu",HI,"Cruisy Area,(D),(E)",Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
184,Cocktail Center ,(some G),435 Atkinson ,"Waikiki Beach, Oahu",HI,"(G),(W),(PT),(*)",Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
185,Coco's ,,Kalakaua & Kapiolani ,"Waikiki Beach, Oahu",HI,"(M),(R),(C),(AH)",Restaurant,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
186,Hula's Bar Lei Stand ,(Disco)(opp. Kuhio Theatre),2130 Kuhio Ave. ,"Waikiki Beach, Oahu",HI,"(M),(YC),(D),(*)",Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
187,Lavender Fox ,(adm.- no booze- 'flicks' & 'wild back room'),478 Ena Rd. at Kalakaua ,"Waikiki Beach, Oahu",HI,,Bars/Clubs,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
188,M.C.C.,,2500 Pali Hwy. ,"Waikiki Beach, Oahu",HI,,Church,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
189,Steam Works ,(baths- 2nd floor- use elevator),307 Lewers ,"Waikiki Beach, Oahu",HI,(*),Baths,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
190,Tomato Caberet ,,240 McCully at Ala Wai,"Waikiki Beach, Oahu",HI,"(YC),(D),(E),(R),(PT),(*)",Restaurant,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
191,Ala Moana Beach ,dressing rooms & showers ,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
192,Ala Moana Park ,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
193,Coco head Stables ,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
194,Diamond Head 'B.A.' Beach ,below lighthouse ,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
195,Kalakaua Ave. ,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
196,Kapiolani Beach Park ,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
197,Kuhio Park beach ,Waikiki Beach Center bldg. ,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
198,Queens Surf Beach ,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
199,Sheraton Waikiki Beach ,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1978,,,,4/18/2020 8:17pm,7/27/2020 11:33am
200,City Tavern ,(natives),55 Haili St. ,Hilo,HI,(M),Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
201,Hilo Travelodge Bar ,,121 Banyan Dr. ,Hilo,HI,(M),Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
202,Glades ,(adm. charge),152 N. Hotel St. ,Honolulu,HI,"(S),(M),(RT),(D)",Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
203,Loraine's ,,110 N. Hotel St. ,Honolulu,HI,"(M),(WE)",Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
204,M.C.C.,,1500 Pali Hwy. ,Honolulu,HI,,Church,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
205,Question Mark ,"(some W, SM, OC)",43 S. Beretania ,Honolulu,HI,"(W),(SM),(OC),(WE),(*)",Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
206,Risque Theatre ,(all male movies),32 N. Hotel St. ,Honolulu,HI,,Theatre,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
207,Tahiti Bar ,,111 Nuuanu ,Honolulu,HI,"(M),(WE)",Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
213,Club Jetty T-Room ,(late) nr. Kauai Surf Hotel ,,"Nawiliwili, Kauai ",HI,,Cruising Areas,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
214,E-Z Cafe ,(6 a.m. to 10 p.m.),89 Hana Hwy. ,"Paia, Maui",HI,"(M),(R),(E)",Restaurant,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
215,Blowhole ,"(Open till 4a.m., but may be dropping cabaret license)(Cruisy jacuzzi-best at end of beach day)",124 Kapahulu ,"Waikiki Beach, Oahu",HI,(*),Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
216,Cocktail Center ,(Some G),435 Atkinson ,"Waikiki Beach, Oahu",HI,"(G),(W),(PT),(*)",Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
218,Hula's Bar & Lei Stand ,"(some YC, W, G)(Disco)(Patio)(Cruisy)(Adm. charge)",2103 Kuhio Ave. ,"Waikiki Beach, Oahu",HI,"(*),(YC),(W),(G),(D)",Bars/Clubs,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
219,Red Bamboo ,"(plans S, R, Sun. brunch, etc.)(Could be a winner)",412 Lewers ,"Waikiki Beach, Oahu",HI,"(E),(D),(S),(R)",Restaurant,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
220,Roxy Baths ,(New & looks promising)(Enter thru Adult Book Store),2270 Kuhio ,"Waikiki Beach, Oahu",HI,,Baths,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
221,Screening Room ,"(Book store)(Peep shows, etc.)(Cruisy)",2162 Kalakaua ,"Waikiki Beach, Oahu",HI,"(M),Cruisy Area","Cruising Areas,Book Store",1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
222,Steam Works ,(Baths- 2nd floor-use elavator- free beer nights Tues.),307 Lewers ,"Waikiki Beach, Oahu",HI,(*),Baths,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
223,Tomato Cabaret,"(Open till 4a.m.)(Some YC,G)(Disco)(patio & game room)(adm. charge)",240 McCully at Ala Wai,"Waikiki Beach, Oahu",HI,"(*),(YC),(G),(D),(R),(E)",Restaurant,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
224,Yours 'n' Mine ,(Upstairs),1700 Ala Moana,"Waikiki Beach, Oahu",HI,(R),Restaurant,1979,,,,4/18/2020 8:17pm,7/27/2020 11:33am
