ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified
74,Pike Street Tavern ,,824 Pike St. ,Seattle,WA,(*),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
76,Silver Slipper ,,210 S. Jackson,Seattle,WA,(G),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
77,Silver Star ,,173 S. Washington,Seattle,WA,"(M),(RT)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
78,Six-Eleven Club ,,611 2nd Ave ,Seattle,WA,,Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
79,Six-Fourteen Club ,,614 1st St. ,Seattle,WA,"(YC),(D),(*)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
81,Stage Door ,,158 Washington ,Seattle,WA,"(RT),(S)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
82,Submarine Room ,(basement Smith Towers),506 2nd Ave,Seattle,WA,"(G),(D)",Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
83,Casbah,,919 W. Sprague ,Spokane,WA,(*),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
84,Saddle Tavern ,,927 1st Ave,Spokane,WA,(M),Bars/Clubs,1970,,,3/20/2020 6:15pm,5/7/2020 7:46am
85,Atlas Baths ,(fourth floor) ,1318 2nd Ave,Seattle,WA,,Baths,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
86,Caper ,"(Fri & Sat nights- after hrs.- semi private- 2nd floor, Morrison Hotel)",517 1/2 3rd Ave,Seattle,WA,"(BYOB),(D),(*)","Bars/Clubs,Hotels",1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
88,Club-One-O-Seven ,(after hours) ,107 Occidental So.,Seattle,WA,"(D),(S),(YC),(*)",Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
90,Dave's Baths,,2402 1st Ave. ,Seattle,WA,(*),Baths,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
92,Golden Horseshoe,,207 2nd Ave. So.,Seattle,WA,"(YC),(D),(*)",Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
93,Grubstake Cafe ,,608 1/2 2nd Ave ,Seattle,WA,"(R),(C)",Restaurant,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
94,Mike's Pike St. Tavern ,,824 Pike St. ,Seattle,WA,(*),Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
95,Mocambo,(only liquor bar)(after hours),203 Yessler,Seattle,WA,"(C),(R)",Restaurant,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
96,Nine-Twenty-Two Club ,,922 3rd Ave ,Seattle,WA,"(SM),(*)",Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
97,Silver Slipper ,,210 S. Jackson ,Seattle,WA,(G),Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
98,Silver Star ,,173 S. Washington ,Seattle,WA,"(M),(RT)",Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
99,Six-Eleven Club ,,611 2nd Ave. ,Seattle,WA,,Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
100,Six Fourteen Club ,,614 1st Ave.,Seattle,WA,"(YC),(D),(*)",Bars/Clubs,1971,,,3/20/2020 6:15pm,5/7/2020 7:46am
102,Sub-Marine Room,(Basement of Smith Towers),506 2nd Ave. ,Seattle,WA,"(RT),(D),(HIP)",Bars/Clubs,1971,,,3/20/2020 8:52pm,5/7/2020 7:46am
103,Dorothy Tavern ,,919 W. Sprague ,Spokane,WA,(*),Bars/Clubs,1971,,,3/20/2020 8:52pm,5/7/2020 7:46am
104,Saddle Tavern ,,927 1st Ave. ,Spokane,WA,,Bars/Clubs,1971,,,3/20/2020 8:52pm,5/7/2020 7:46am
105,Murphy's ,,938 Pacific ,Tacoma,WA,"(M),(RT)",Bars/Clubs,1971,,,3/20/2020 8:52pm,5/7/2020 7:46am
107,Iron Bull,,1316 Bay St. ,Bellingham,WA,(M),Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
108,Skipper's ,,116 1st St. ,Bremerton,WA,(M),Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
109,Adult Book Store ,,1415 1st Ave. ,Seattle,WA,,Book Store,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
110,Atlas Baths,(Fourth floor) ,1318 2nd Ave. ,Seattle,WA,,Baths,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
111,Blue Moon ,,712 N.E. 45th ,Seattle,WA,"(YC),(M)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
113,Dave's Baths ,,2402 1st Ave.,Seattle,WA,(*),Baths,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
114,Dorian Society ,(Social Club) ,320 Malden Ave. ,Seattle,WA,,Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
115,Golden Horseshoe,,207 2nd Ave. S.,Seattle,WA,"(YC),(HIP),(D),(*)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
117,Hideout Tavern ,Pike Public Market ,93 Pike St. ,Seattle,WA,"(M),(HIP)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
118,Mike's Pike St. Tavern ,,824 Pike St. ,Seattle,WA,(*),Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
119,Mocambo ,(liquor too!)(after hours),203 Yessler Way ,Seattle,WA,"(*),(C)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
120,Nine-Twenty Two Club,,922 3rd Ave.,Seattle,WA,"(W),(SM),(*)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
121,One-O-Seven Club ,(no booze- (C) after hours) ,107 Occidental S. ,Seattle,WA,"(YC),(HIP),(D),(*),(C)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
123,Silver Slipper ,,210 S. Jackson,Seattle,WA,"(G),(*)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
124,Silver Star ,,173 S. Washington,Seattle,WA,"(M),(RT)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
125,Six-Eleven Club,,611 2nd Ave.,Seattle,WA,,Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
126,Six-Fourteen Club ,,614 1st Ave.,Seattle,WA,"(YC),(S),(D),(*)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
128,Submarine Room ,(basement of Smith Tower),506 2nd Ave.,Seattle,WA,"(M),(RT),(HIP)",Bars/Clubs,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
130,Thirteen Coins,after hours,125 Boren N. ,Seattle,WA,"(M),(R),(C)",Restaurant,1972,,,3/20/2020 8:53pm,5/7/2020 7:46am
132,Victorla Tavern ,Pike Place Public Market ,91 Lower Pike St. ,Seattle,WA,(M),Bars/Clubs,1972,,,3/20/2020 9:23pm,5/7/2020 7:46am
139,Dorothy's Tavern ,,919 W. Sprague,Spokane,WA,(*),Bars/Clubs,1972,,,3/20/2020 9:23pm,5/7/2020 7:46am
140,Jack's Nite Hawk ,,330 W. Riverside ,Spokane,WA,"(M),(*)",Bars/Clubs,1972,,,3/20/2020 9:23pm,5/7/2020 7:46am
141,Matador Lounge ,Davenport Hotel ,807 W. Sprauge,Spokane,WA,"(M),(R),(PE)","Restaurant,Hotels",1972,,,3/20/2020 9:23pm,5/7/2020 7:46am
142,Sauna Baths ,,217 N. Division ,Spokane,WA,,Baths,1972,,,3/20/2020 9:23pm,5/7/2020 7:46am
145,Murphy's ,,912 Commerce ,Tacoma,WA,"(M),(RT)",Bars/Clubs,1972,,,3/20/2020 9:23pm,5/7/2020 7:46am
146,Sand Box ,,1309 Commerce ,Tacoma,WA,"(S),(*)",Bars/Clubs,1972,,,3/20/2020 9:23pm,5/7/2020 7:46am
148,Iron Bull,,1316 Bay St. ,Bellingham,WA,(M),Bars/Clubs,1973,,,3/20/2020 9:23pm,5/7/2020 7:46am
150,Skipper's ,,116 1st St. ,Bremerton,WA,(M),Bars/Clubs,1973,,,3/20/2020 9:23pm,5/7/2020 7:46am
152,Adult Book Store ,,1415 1st Ave. ,Seattle,WA,,Book Store,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
153,Atlas Baths ,(4th floor) ,1318 2nd Ave.,Seattle,WA,,Baths,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
154,Blue Moon ,,712 N.E. 45th ,Seattle,WA,"(M),(YC)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
156,Dave's Baths ,,2402 1st. Ave ,Seattle,WA,(*),Baths,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
157,Doll House ,(go go boys) ,119 Yessler Way ,Seattle,WA,"(D),(G)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
158,Dorian Society ,(social club) ,320 Malden Ave. ,Seattle,WA,,Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
160,Eleven Eleven Club ,,1111 E. Pike St. ,Seattle,WA,"(HIP),(YC),(*)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
161,Golden Horseshoe,,207 2nd Ave. S. ,Seattle,WA,"(HIP),(YC),(*)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
164,Mike's Pike St. Tavern ,,824 Pike St. ,Seattle,WA,(*),Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
165,Mocambo,(Liquor),203 Yessler Way ,Seattle,WA,(*),Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
166,Mother Morgan's Gumbo Factory,"(5-12 p.m., cl. Sun & Mon.)",431 15th Ave. E. ,Seattle,WA,(R),Restaurant,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
167,Nine Twenty Two Club ,,922 3rd Ave.,Seattle,WA,"(W),(SM),(*)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
168,One-O-Seven Club ,(No booze- (C) after hours) ,107 Occidental S. ,Seattle,WA,"(HIP),(YC),(D),(*)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
169,Silver Slipper ,,210 S. Jackson ,Seattle,WA,"(D),(G),(*)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
170,Six-Eleven Club ,,611 2nd Ave.,Seattle,WA,(*),Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
171,Six-Fourteen Club ,,614 1st Ave. ,Seattle,WA,"(YC),(S),(D),(*)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
173,Submarine Room ,(Basement of Smith Tower),506 2nd Ave. ,Seattle,WA,"(M),(HIP),(RT)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
175,Thirteen Coins,(after hrs.),125 Boren N. ,Seattle,WA,"(M),(R),(C)",Restaurant,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
176,Victorla Tavern,Pike Place Public Market ,91 Lower Pike St. ,Seattle,WA,"(HIP),(M)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
184,Dorothy's Tavern ,,919 W. Sprague ,Spokane,WA,(*),Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
185,Jack's Nite Hawk ,,330 W. Riverside ,Spokane,WA,(*),Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
186,Matador Lounge ,Davenport Hotel,807 W. Sprague ,Spokane,WA,"(M),(PE),(R)","Restaurant,Hotels",1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
189,Barbary Coast ,,1554 S. Jefferson,Tacoma,WA,,Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
