ID,title,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
124,Bank,('packed' late after Missouri bars closed),722 Southwest Boulevard,Kansas City,KS,1973,"(P),(HIP),(YC),(D),(R)","Restaurant,Bars/Clubs",,,2/15/2020 10:44pm,2/16/2020 4:13am
125,Indians,(Other Side),1610 Minnesota Ave.,Kansas City,KS,1973,"(P),(D)",Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
126,Pete's Pub,,2550 W. 47th St.,Kansas City,KS,1973,(G),Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
127,Louise's,,1017 Massachusetts,Lawrence,KS,1973,(M),Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
129,Terrace Lounge,,116 E. 7th St.,Topeka,KS,1973,"(D),(*)",Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
130,Eleven-Twenty-Three Club,(some (G)) ,1123 E. Douglas,Wichita,KS,1973,"(G),(P),(D)",Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
131,Jack's by the Tracks,,1534 Ida,Wichita,KS,1973,"(D),(*)",Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
132,Quiet Room,,1527 E. Pawnee,Wichita,KS,1973,"(P),(D),(HIP),(YC),(*)",Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
133,Third Stone,,1009 E. Douglas,Wichita,KS,1973,,Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
135,Tap Room,,514 Commerical,Emporia,KS,1972,,Bars/Clubs,,,2/15/2020 10:44pm,2/16/2020 4:13am
136,Alternate,(iopen 7 days 'till 3 am) ,2550 W. 47th St.,Kansas City,KS,1972,"(G),(D),(*)",Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
137,Hotel Besse Bar,,121 E. 4th St.,Pittsburgh,KS,1972,(M),"Bars/Clubs,Hotels",,,2/15/2020 10:54pm,2/16/2020 4:13am
138,Terrace Lounge,,116 E. 7th St.,Topeka,KS,1972,"(D),(*)",Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
139,Eleven-Twenty-Three Club,(get admission card at Red Head early),1123 E. Douglas,Wichita,KS,1972,"(P),(D),(*)",Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
140,Jack's by the Tracks,,1534 Ida,Wichita,KS,1972,"(D),(*)",Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
141,Red Head,,418 W. 2nd,Wichita,KS,1972,(G),Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
142,Tap Room,,514 Commerical,Emporia,KS,1971,,Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
143,Hotel Besse Bar,,121 E. 4th St.,Pittsburgh,KS,1971,(M),"Bars/Clubs,Hotels",,,2/15/2020 10:54pm,2/16/2020 4:13am
144,Terrace Lounge,,116 E. 7th St.,Topeka,KS,1971,"(D),(*)",Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
145,Eleven-Twenty-Three Club,(get admission card at Red Head before midnite),1123 E. Douglas,Wichita,KS,1971,"(P),(D),(*)",Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
146,Jack's by the Tracks,,1534 Ida St.,Wichita,KS,1971,(*),Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
147,Red Head,,418 W. 2nd,Wichita,KS,1971,(G),Bars/Clubs,,,2/15/2020 10:54pm,2/16/2020 4:13am
148,Hotel Besse Bar,,121 E. 4th St.,Pittsburgh,KS,1970,(M),"Bars/Clubs,Hotels",,,2/15/2020 10:54pm,2/16/2020 4:13am
149,Terrace Lounge,,116 E. 7th St.,Topeka,KS,1970,"(D),(*)",Bars/Clubs,,,2/15/2020 11:01pm,2/16/2020 4:13am
150,Eleven-Twenty-Three Club,,1123 E. Douglas,Wichita,KS,1970,"(P),(D),(*)",Bars/Clubs,,,2/15/2020 11:01pm,2/16/2020 4:13am
151,Jack's Jolly Jug No. 2,,1534 Ida St.,Wichita,KS,1970,,Bars/Clubs,,,2/15/2020 11:01pm,2/16/2020 4:13am
152,Red Flame,,1009 E. Douglas,Wichita,KS,1970,(*),Bars/Clubs,,,2/15/2020 11:01pm,2/16/2020 4:13am
153,Red Head,,418 W. 2nd,Wichita,KS,1970,(G),Bars/Clubs,,,2/15/2020 11:01pm,2/16/2020 4:13am
154,Jade Room,,116 E. 7th St.,Topeka,KS,1969,,Bars/Clubs,,,2/15/2020 11:01pm,2/16/2020 4:13am
156,Eleven-Twenty-Three Club,,1123 E. Douglas,Wichita,KS,1969,"(P),(D)",Bars/Clubs,,,2/15/2020 11:04pm,2/16/2020 4:13am
157,Jolly Jug,,418 W 2nd,Wichita,KS,1969,(*),Bars/Clubs,,,2/15/2020 11:04pm,2/16/2020 4:13am
158,Jade Room,,116 E. 7th St.,Topeka,KS,1968,,Bars/Clubs,,,2/15/2020 11:04pm,2/16/2020 4:13am
160,Eleven-Twenty-Three Club,,1123 E. Douglas,Wichita,KS,1968,"(P),(D)",Bars/Clubs,,,2/15/2020 11:04pm,2/16/2020 4:13am
162,Jolly Jug,,418 W 2nd,Wichita,KS,1968,(*),Bars/Clubs,,,2/15/2020 11:04pm,2/16/2020 4:13am
163,Jade Room,(formerly Bon Sai),116 E. 7th St.,Topeka,KS,1966,(*),Bars/Clubs,,,2/15/2020 11:04pm,2/16/2020 4:13am
164,Chances,,1123 E. Douglas,Wichita,KS,1966,(R),Restaurant,,,2/15/2020 11:04pm,2/16/2020 4:13am
165,Bon Sai,,116 E. 7th St.,Topeka,KS,1965,(*),Bars/Clubs,,,2/15/2020 11:04pm,2/16/2020 4:13am
166,Chances,,1123 E. Douglas,Wichita,KS,1965,(R),Restaurant,,,2/15/2020 11:12pm,2/16/2020 4:13am
