"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Office","","251 E. Center St.","Pocatello","ID","(M)","Bars/Clubs",1979,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1979-ID-0046"
"Office","","251 E. Center St.","Pocatello","ID","(*)","Bars/Clubs",1980,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1980-ID-0047"
"Office","","251 E. Center St.","Pocatello","ID","(M)","Bars/Clubs",1978,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1978-ID-0048"
"Office","","251 E. Center","Pocatello","ID","(M)","Bars/Clubs",1974,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1974-ID-0049"
"Office","","251 E. Center","Pocatello","ID","(M)","Bars/Clubs",1976,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1976-ID-0050"
"Office ","","251 E. Center","Pocatello","ID","(M)","Bars/Clubs",1975,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1975-ID-0051"
"Over 19 Adult Center","","4109 Chinden Ave.","Boise","ID","(*)","Business",1980,NA,-116.2501952,43.6300359,"Google Verified Location",NA,NA,NA,"1980-ID-0052"
"Pioneer Park","(HOT -WE)","5th St. at 3rd Ave.","Lewiston","ID","(WE),(AYOR),(HOT),Cruisy Area","Cruising Areas",1979,"",-117.025451,46.419486,"Verified Location",NA,NA,NA,"1979-ID-0053"
"Pioneer Park","(HOT -WE)","5th St. at 3rd Ave.","Lewiston","ID","(WE),(AYOR),Cruisy Area,(HOT)","Cruising Areas",1980,"",-117.025451,46.419486,"Verified Location",NA,NA,NA,"1980-ID-0054"
"Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1977,NA,-116.6715342,43.6515523,"Google Verified Location",NA,NA,NA,"1977-ID-0055"
"Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1975,NA,-116.6715342,43.6515523,"Google Verified Location",NA,NA,NA,"1975-ID-0056"
"Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1979,NA,-116.6715342,43.6515523,"Google Verified Location",NA,NA,NA,"1979-ID-0057"
"Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1976,NA,-116.6715342,43.6515523,"Google Verified Location",NA,NA,NA,"1976-ID-0058"
"Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1978,NA,-116.6715342,43.6515523,"Google Verified Location",NA,NA,NA,"1978-ID-0059"
"Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1974,NA,-116.6715342,43.6515523,"Google Verified Location",NA,NA,NA,"1974-ID-0060"
"Riley's Bar","(downstairs in basement of Idanho Hotel)","10 & Main Sts.","Boise","ID","(M)","Bars/Clubs,Hotel",1973,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1973-ID-0061"
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotel",1976,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1976-ID-0062"
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotel",1974,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1974-ID-0063"
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotel",1977,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1977-ID-0064"
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotel",1975,"",-116.205854,43.616794,"Verified Location",NA,NA,NA,"1975-ID-0065"
"Riverside Drive","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1978,"",-112.042787,43.500985,"Verified Location",NA,NA,NA,"1978-ID-0066"
"Riverside Drive","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1976,"",-112.042787,43.500985,"Verified Location",NA,NA,NA,"1976-ID-0067"
"Riverside Drive","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1980,"",-112.042787,43.500985,"Verified Location",NA,NA,NA,"1980-ID-0068"
"Riverside Drive","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1975,"",-112.042787,43.500985,"Verified Location",NA,NA,NA,"1975-ID-0069"
"Riverside Drive","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1979,"",-112.042787,43.500985,"Verified Location",NA,NA,NA,"1979-ID-0070"
"Riverside Drive","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1977,"",-112.042787,43.500985,"Verified Location",NA,NA,NA,"1977-ID-0071"
"Shuckey's","","223 S. 10th St.","Boise","ID","(D),(PT),(*)","Bars/Clubs",1978,NA,-116.2067467,43.6158696,"Google Verified Location",NA,NA,NA,"1978-ID-0072"
"Shuckey's","('Tops' in Idaho)(Some L)(Boutique)(Recently expanded)(Disco)(Cruisy)","233 S. 10th St.","Boise","ID","(L),(R),(YC),(D),(PT)","Cruising Areas,Bars/Clubs,Restaurant",1980,NA,-116.2068228,43.6157883,"Google Verified Location",NA,NA,NA,"1980-ID-0073"
"Shuckey's ","('Tops' in Idaho)(Some G)(Disco)(Cruisy)","233 S. 10th St.","Boise","ID","(YC),(G),(D),(PT)","Cruising Areas,Bars/Clubs",1979,NA,-116.2068228,43.6157883,"Google Verified Location",NA,NA,NA,"1979-ID-0074"
"Snake River Falls","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1976,"approximate",-112.043772,43.496607,"Verified Location",NA,NA,NA,"1976-ID-0075"
"Snake River Falls","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1975,"approximate",-112.043772,43.496607,"Verified Location",NA,NA,NA,"1975-ID-0076"
"Snake River Falls","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1980,"approximate",-112.043772,43.496607,"Verified Location",NA,NA,NA,"1980-ID-0077"
"Snake River Falls","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1979,"approximate",-112.043772,43.496607,"Verified Location",NA,NA,NA,"1979-ID-0078"
"Snake River Falls","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1978,"approximate",-112.043772,43.496607,"Verified Location",NA,NA,NA,"1978-ID-0079"
"Snake River Falls","","","Idaho Falls","ID","Cruisy Area","Cruising Areas",1977,"approximate",-112.043772,43.496607,"Verified Location",NA,NA,NA,"1977-ID-0080"
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1975,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1975-ID-0081"
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1974,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1974-ID-0082"
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1976,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-ID-0083"
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1977,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-ID-0084"
"Starlight Lounge","Bonneville Hotel","'C' Street","Idaho Falls","ID","(M)","Bars/Clubs,Hotel",1980,"",-112.039465,43.49467,"Verified Location",NA,NA,NA,"1980-ID-0085"
