"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Bank Vault ","(Disco)","200 W. State","Calumet City","IL","(YC),(D),(*)","Bars/Clubs",1977,NA,-87.5615941,41.6300658,"Google Verified Location",NA,NA,NA,"1977-IL-0095"
"Bar Next Door","","1008 N. Clark St.","Chicago","IL","","Bars/Clubs",1979,NA,-87.6315288,41.9009091,"Google Verified Location",NA,NA,NA,"1979-IL-0096"
"Barbara Bookshops","","2907 N. Broadway ","Chicago","IL","","Book Store",1977,NA,-87.6440077,41.9351577,"Google Verified Location",NA,NA,NA,"1977-IL-0097"
"Barbara Bookshops","","1434 N. Wells Street","Chicago","IL","","Book Store",1977,NA,-87.6349338,41.9084745,"Google Verified Location",NA,NA,NA,"1977-IL-0098"
"Baron","","626 N. Clark St","Chicago","IL","(M),(RT)","Bars/Clubs",1970,NA,-87.6315616,41.8931997,"Google Verified Location",NA,NA,NA,"1970-IL-0099"
"Baron","","626 N Clark St","Chicago","IL","(M),(RT)","Bars/Clubs",1969,NA,-87.6315616,41.8931997,"Google Verified Location",NA,NA,NA,"1969-IL-0100"
"Baron","","626 N. Clark St.","Chicago","IL","(M),(RT)","Bars/Clubs",1971,NA,-87.6315616,41.8931997,"Google Verified Location",NA,NA,NA,"1971-IL-0101"
"Baron ","","626 N Clark ","Chicago","IL","(M),(RT)","Bars/Clubs",1968,NA,-87.6315616,41.8931997,"Google Verified Location",NA,NA,NA,"1968-IL-0102"
"Baroque","","1510 E. 53rd St.","Chicago","IL","(B)","Bars/Clubs",1974,NA,-87.5886237,41.7997527,"Google Verified Location",NA,NA,NA,"1974-IL-0103"
"Barrack's","(Some W, SM) (Hotel type baths)","506 N. Clark St.","Chicago","IL","(W),(SM)","Baths",1979,NA,-87.6313246,41.8911544,"Google Verified Location",NA,NA,NA,"1979-IL-0104"
"Barracks","(Some W, SM) (Hotel typed baths)","506 N. Clark St.","Chicago","IL","(W),(SM),(*)","Baths",1980,NA,-87.6313246,41.8911544,"Google Verified Location",NA,NA,NA,"1980-IL-0105"
"Barracks","(Hotel type baths)","506 No. Clark St.","Chicago","IL","(W),(SM),(*)","Baths",1978,NA,-87.6313246,41.8911544,"Google Verified Location",NA,NA,NA,"1978-IL-0106"
"Baton","","Clark & Hubbard","Chicago","IL","(*)","Bars/Clubs",1971,"",-87.631079,41.890021,"Verified Location",NA,NA,NA,"1971-IL-0107"
"Baton","","430 N. Clark at Hubbard","Chicago","IL","(*)","Bars/Clubs",1972,"",-87.631272,41.890137,"Verified Location",NA,NA,NA,"1972-IL-0108"
"Baton","","436 No. Clark St.","Chicago","IL","(S),(D)","Bars/Clubs",1978,NA,-87.6314002,41.8903008,"Google Verified Location",NA,NA,NA,"1978-IL-0109"
"Baton","","436 N. Clark Street","Chicago","IL","(S),(D),(*)","Bars/Clubs",1977,NA,-87.6314002,41.8903008,"Google Verified Location",NA,NA,NA,"1977-IL-0110"
"Baton","","436 N. Clark St.","Chicago","IL","(D),(S)","Bars/Clubs",1974,NA,-87.6314002,41.8903008,"Google Verified Location",NA,NA,NA,"1974-IL-0111"
"Baton","","436 N. Clark St. ","Chicago","IL","(S),(D),(*)","Bars/Clubs",1976,NA,-87.6314002,41.8903008,"Google Verified Location",NA,NA,NA,"1976-IL-0112"
"Baton","","436 N. Clark St.","Chicago","IL","(R)","Restaurant",1975,NA,-87.6314002,41.8903008,"Google Verified Location",NA,NA,NA,"1975-IL-0113"
"Baton ","","430 N. Clark St.","Chicago","IL","(D)","Bars/Clubs",1973,NA,-87.6312725,41.8901372,"Google Verified Location",NA,NA,NA,"1973-IL-0114"
"Baton Show Lounge","","463 N. Clark St.","Chicago","IL","(S),(*)","Bars/Clubs",1980,NA,-87.6308003,41.8904734,"Google Verified Location",NA,NA,NA,"1980-IL-0115"
"Baton Show Lounge ","","463 N. Clark St.","Chicago","IL","(S),(*)","Bars/Clubs",1979,NA,-87.6308003,41.8904734,"Google Verified Location",NA,NA,NA,"1979-IL-0116"
"Belden Corned Beef","","2315 N. Clark St.","Chicago","IL","(M),(R)","Restaurant",1980,NA,-87.6391525,41.9243779,"Google Verified Location",NA,NA,NA,"1980-IL-0117"
"Belmont Rocks","","So. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",-87.631544,41.935181,"Verified Location",NA,NA,NA,"1978-IL-0118"
"Belmont Rocks","","S. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",-87.631544,41.935181,"Verified Location",NA,NA,NA,"1980-IL-0119"
"Belmont Rocks","","S. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",-87.631544,41.935181,"Verified Location",NA,NA,NA,"1976-IL-0120"
"Belmont Rocks","","S. of Belmont Ave.","Chicago","IL","Cruisy Area","Cruising Areas",1979,"",-87.631544,41.935181,"Verified Location",NA,NA,NA,"1979-IL-0121"
"Belmont Rocks","","South of Belmont Avenue","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",-87.631544,41.935181,"Verified Location",NA,NA,NA,"1977-IL-0122"
"Belmont Rocks","","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",-87.631544,41.935181,"Verified Location",NA,NA,NA,"1975-IL-0123"
"Bentley's ","","640 N. State St.","Chicago","IL","(YC)","Bars/Clubs",1972,NA,-87.6284596,41.8939448,"Google Verified Location",NA,NA,NA,"1972-IL-0124"
"Bentley's ","","640 N. State St.","Chicago","IL","","Bars/Clubs",1973,NA,-87.6284596,41.8939448,"Google Verified Location",NA,NA,NA,"1973-IL-0125"
"Bentley's ","","N. Clark St.","Chicago","IL","(YC)","Bars/Clubs",1971,NA,-87.6579379,41.9489777,"Google Verified Location",NA,NA,NA,"1971-IL-0126"
"Bi-Way Book Store","","1020 No. Clark St.","Chicago","IL","","Book Store",1978,NA,-87.6313627,41.9008205,"Google Verified Location",NA,NA,NA,"1978-IL-0127"
"Bi-Way Book Store","(Flicks, erotica, ect)","1020 N. Clark St.","Chicago","IL","","Book Store",1979,NA,-87.6313627,41.9008205,"Google Verified Location",NA,NA,NA,"1979-IL-0128"
