Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
27195,S1573,Central Park -4th & Magnolia,,,Louisville,KY,Cruisy Area,Cruising Areas,1979,,-85.762809,38.229611,Verified Location
27196,S1574,Cervantes,(Clothing),800 Douglas Rd.,Miami,FL,,Business,1980,,-80.2567011,25.7638876,Google Verified Location
27197,S1316,Cest la Guerre,,206 E. Vermilion,Lafayette,LA,"(YC),(S)",Bars/Clubs,1973,,-92.017353,30.223955,Google Verified Location
27199,S1318,Cest La Guerre ,(WE*) (Many G),609 N. University,Lafayette,LA,"(D),(S),(G)",Bars/Clubs,1979,,-92.0327213,30.237246,Google Verified Location
27198,S1317,Cest la Guerre ,(Some B) ,206 E. Vermillion ,Lafayette,LA,"(D),(S),(B)",Bars/Clubs,1977,,-92.017353,30.223955,Google Verified Location
27200,S1575,Cha Cha Palace ,(Some G) (Disco) ,719 Broad Street ,Richmond,VA,"(*),(P),(HIP),(YC),(D),(BYOB),(G)",Bars/Clubs,1977,,-77.4489449,37.5494834,Google Verified Location
27202,S1577,Cha Cha Palace ,(Some G) (Disco) (WE-only) ,719 Broad St.,Richmond,VA,"(P),(M),(D),(G),(WE)",Bars/Clubs,1979,,-77.4489449,37.5494834,Google Verified Location
27201,S1576,Cha Cha Palace ,(Some G) (Disco) (We-only) ,719 Broad St. ,Richmond,VA,"(P),(D),(BYOB),(G),(WE)",Bars/Clubs,1978,,-77.4489449,37.5494834,Google Verified Location
27204,S1578,Chances R,,1833 Peachtree Rd. N.E.,Atlanta,GA,"(D),(*)",Bars/Clubs,1975,,-84.379528,33.8396515,Google Verified Location
27203,S1579,Chances R,(Private membership club for women) (Looks promising),208 No. 23rd St. ,Birmingham,AL,,"Cruising Areas,Bars/Clubs",1978,Annoying it doesnt include women label,-86.8747419,33.4851891,Google Verified Location
27205,S1580,Chances R Lounge,,208 N. 23rd St,Birmingham,AL,(D),Bars/Clubs,1974,,-86.8025486,33.5176685,Google Verified Location
27206,S1581,Chances R Lounge,,208 N. 23rd St.,Birmingham,AL,"(D),(S)",Bars/Clubs,1975,,-86.8025486,33.5176685,Google Verified Location
27207,S1582,Chances R Lounge,"

",208 N. 23rd St. ,Birmingham,AL,"(D),(S)",Bars/Clubs,1976,,-86.8025486,33.5176685,Google Verified Location
27208,S1583,Chances R Lounge ,(Opens Sundays) ,208 North 23rd Street,Birmingham,AL,"(D),(S),(*)",Bars/Clubs,1977,,-86.8025486,33.5176685,Google Verified Location
27209,S1584,Chandelier,,,Austin,TX,"(P),(D)",Bars/Clubs,1969,,-97.743061,30.267153,Location could not be verified. General city or location coordinates used.
27210,S1585,Chantaclair,,523 E. 10th St.,Amarillo,TX,(*),Bars/Clubs,1972,,-101.8317452,35.2029584,Google Verified Location
27211,S1586,Chantaclair ,,523 E. 10th St.,Amarillo,TX,"(D),(*)",Bars/Clubs,1973,,-101.8317452,35.2029584,Google Verified Location
27212,S1587,Chapel Hill St. nr. book store,,,Durham,NC,Cruisy Area,"Book Store,Cruising Areas",1979,,-78.898619,35.994033,Location could not be verified. General city or location coordinates used.
27213,S1588,Chapel Hill St. nr. bookstore,,,Durham,NC,Cruisy Area,Cruising Areas,1980,,-78.898619,35.994033,Location could not be verified. General city or location coordinates used.
27214,S1589,Charlene's,(closed Monday),940 Elysian Fields,New Orleans,LA,"(*),(L)",Bars/Clubs,1980,,-90.0571066,29.9673788,Google Verified Location
27215,S1590,Charlene's ,(Some G) (Looks promising) ,940 Elysian Fields,New Orleans,LA,(G),Bars/Clubs,1979,,-90.0571066,29.9673788,Google Verified Location
27218,S1591,Charlie's,(Disco),206 N. Coit St.,Florence,SC,"(P),(YC),(S),(*),(D)",Bars/Clubs,1980,,-79.7703767,34.1993069,Google Verified Location
