ID,title,description,streetaddress,city,Year,notes,full.address,lat,lon,geoAddress,status
702,641 Club,"(Some W, SM)",641 Stockton,San Jose,1979,,"641 Stockton, San Jose, CA",37.3394014,-121.9123982,"641 stockton ave, san jose, ca 95126, usa",Geocoded
705,641 Club,"(Some W, SM)",641 Stockton,San Jose,1978,,"641 Stockton, San Jose, CA",37.3394014,-121.9123982,"641 stockton ave, san jose, ca 95126, usa",Geocoded
664,641 Club ,,641 Stockton Ave.,San Jose,1977,,"641 Stockton Ave., San Jose, CA",37.3394014,-121.9123982,"641 stockton ave, san jose, ca 95126, usa",Geocoded
614,660 On Broadway,(Disco),660 Broadway,San Francisco,1977,,"660 Broadway, San Francisco, CA",37.7980128,-122.4080638,"660 broadway, san francisco, ca 94133, usa",Geocoded
152,836 North, (or '1350' or whatever-was closed- may be reopening) (Disco),836 N. Highland,Hollywood,1979,,"836 N. Highland, Hollywood, CA",34.0861419,-118.3382046,"836 n highland ave, los angeles, ca 90038, usa",Geocoded
315,1001 Nights,,335 Jones St.,San Francisco,1975,,"335 Jones St., San Francisco, CA",37.784422,-122.412965,"335 jones st, san francisco, ca 94102, usa",Geocoded
510,1001 Nights ,,335 Jones St. ,San Francisco,1976,,"335 Jones St. , San Francisco, CA",37.784422,-122.412965,"335 jones st, san francisco, ca 94102, usa",Geocoded
121,1350 Club,"(looks promising) (Baths)
",1350 Locust,Long Beach,1979,,"1350 Locust, Long Beach, CA",33.78359,-118.1907078,"1350 locust ave, long beach, ca 90813, usa",Geocoded
1191,1350 Club ,,1350 Locust,Long Beach,1980,,"1350 Locust, Long Beach, CA",33.78359,-118.1907078,"1350 locust ave, long beach, ca 90813, usa",Geocoded
1396,1350 North ,,5650 Lankershim Blvd.,North Hollywood,1980,,"5650 Lankershim Blvd., North Hollywood , CA",34.1738635,-118.3797685,"5650 lankershim blvd, north hollywood, ca 91601, usa",Geocoded
1282,1654 Club ,(Health club) (Open 24 hrs) ,1654 Ivar ,Hollywood,1980,,"1654 Ivar , Hollywood, CA",34.101172,-118.3279178,"1654 ivar ave, los angeles, ca 90028, usa",Geocoded
NA,1800 Hyperion,(May be changing name) ('Wild back room'),,Los Angeles,1980,,", CA",34.052234,-118.243685,unclear_coded_by_hand,General City Coordinates Used
537,1808 Club,"('wild back room')
",1808 Market St.,San Francisco,1979,,"1808 Market St., San Francisco, CA",37.7713526,-122.4242354,"1808 market st, san francisco, ca 94102, usa",Geocoded
1656,1808 Club,('Wild back room'),1808 Market St.,San Francisco,1980,,"1808 Market St., San Francisco, CA",37.7713526,-122.4242354,"1808 market st, san francisco, ca 94102, usa",Geocoded
1342,2006 Bar,"(Mt. Washington) (Trying for SM, W)",2006 N. Figueroa,Los Angeles,1980,,"2006 N. Figueroa, Los Angeles , CA",34.0814548,-118.2251634,"2006 n figueroa st, los angeles, ca 90065, usa",Geocoded
119,3220 East Club,,3220 E. Colorado St,Pasadena ,1966,,"3220 E. Colorado St, Pasadena, CA",34.1460076,-118.0841178,"3220 e colorado blvd, pasadena, ca 91107, usa",Geocoded
143,3320 Club,,3320 E Colorado,Pasadena ,1968,,"3320 E Colorado, Pasadena, CA",34.1460166,-118.0827303,"3320 e colorado blvd, pasadena, ca 91107, usa",Geocoded
449,4441 Club,"(Cine Mattachine) ('Flicks' lockers) (Looks promising)
",4441 University,San Diego,1979,,"4441 University, San Diego , CA",32.7549989,-117.0988959,"4441 el cajon blvd #4311, san diego, ca 92115, usa",Geocoded
1106,6900 Club,,6900 Herndon,Fresno ,1975,,"6900 Herndon, Fresno, CA",36.8356899,-119.914279,"6900 w herndon ave, fresno, ca 93722, usa",Geocoded
