Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
7397,NV041,Fantasy Park,,Washington between Bruce & Las Vegas Blvd.,Las Vegas,NV,,Cruising Areas,1977,NA,-115.129069,36.182345,Verified Location
7396,NV026,Fantasy Park,,on Washington betw. Bruce & Las Vegas Blvd.,Las Vegas,NV,,Cruising Areas,1976,NA,-115.129069,36.182345,Verified Location
7398,NV060,Fantasy Park,,Washington betw. Bruce & Las Vegas Blvd.,Las Vegas,NV,,Cruising Areas,1978,NA,-115.129069,36.182345,Verified Location
7399,NV178,Fantasy Park,,Washington betw. Bruce & Las Vegas Blvd.,Las Vegas,NV,,Cruising Areas,1979,NA,-115.129069,36.182345,Verified Location
7322,NV094,Forum,(Disco)(nr. MGM Hotel),B St. at Kietzke Lane,Sparks,NV,"(YC),(D),(*)","Bars/Clubs,Hotel",1979,NA,-119.752689,39.534911,Location could not be verified. General city or location coordinates used.
7323,NV204,Forum ,(Disco)(nr. MGM Hotel)(Some L),B St. at Kietzke Lane ,Sparks,NV,"(YC),(D),(*),(L)","Bars/Clubs,Hotel",1980,NA,-119.7472097,39.5350234,Google Verified Location
7408,NV032,Four Mile Bar ,,3642 Boulder Highway,Las Vegas,NV,(M),Bars/Clubs,1977,NA,-115.0969406,36.1405432,Google Verified Location
7359,NV027,Fremont St.,McDonald's to Union Plaza,McDonald's to Union Plaza,Las Vegas,NV,,Cruising Areas,1976,NA,-115.146163,36.171248,Verified Location
7362,NV086,Fremont St.,,McDonald's to Union Plaza,Las Vegas,NV,,Cruising Areas,1979,NA,-115.146163,36.171248,Verified Location
7363,NV191,Fremont St.,,McDonald's to Union Plaza,Las Vegas,NV,,Cruising Areas,1980,NA,-115.146163,36.171248,Verified Location
7361,NV061,Fremont St.,,McDonald's to Union Plaza,Las Vegas,NV,,Cruising Areas,1978,NA,-115.146163,36.171248,Verified Location
7360,NV042,Fremont Street,,McDonalds to Union Plaza,Las Vegas,NV,,Cruising Areas,1977,NA,-115.146163,36.171248,Verified Location
7352,NV154,Gaiety Theatre ,,1304 Las Vegas Blvd. S. ,Las Vegas,NV,(M),Theatre,1975,NA,-115.1502159,36.155252,Google Verified Location
7351,NV033,Gaiety Theatre ,,1304 Las Vegas Blvd. S. ,Las Vegas,NV,(M),Theatre,1977,NA,-115.1502159,36.155252,Google Verified Location
7350,NV019,Gaiety Theatre ,,1304 Las Vegas Blvd. S. ,Las Vegas,NV,(M),Theatre,1974,NA,-115.1502159,36.155252,Google Verified Location
7353,NV166,Gaiety Theatre ,,1304 Las Vegas Blvd. S. ,Las Vegas,NV,(M),Theatre,1976,NA,-115.1502159,36.155252,Google Verified Location
7274,NV203,Idlewild Park,,,Reno,NV,,Cruising Areas,1980,NA,-119.83298,39.521841,Verified Location
7273,NV093,Idlewild Park,,,Reno,NV,,Cruising Areas,1979,NA,-119.83298,39.521841,Verified Location
7272,NV071,Idlewild Park,,,Reno,NV,,Cruising Areas,1978,NA,-119.83298,39.521841,Verified Location
7410,NV054,Italian Village,(Italian R),4000 Boulder Hwy. ,Las Vegas,NV,"(M),(R)",Restaurant,1978,NA,-115.0880683,36.1329137,Google Verified Location
7409,NV034,Italian Village ,(Italian),4000 Boulder Highway,Las Vegas,NV,"(M),(R)",Restaurant,1977,NA,-115.0880683,36.1329137,Google Verified Location
7411,NV075,Italian Village ,(Italian R),4000 Boulder Hwy. ,Las Vegas,NV,"(M),(R)",Restaurant,1979,NA,-115.0880683,36.1329137,Google Verified Location
7324,NV072,J.J.W.'s,(a 'first' for this city- looks promising),4750 Hwy. 50 E.,Carson City,NV,"(M),(W),(D),(PT)",Bars/Clubs,1979,NA,-119.713962,39.185224,Verified Location
7291,NV048,Jade Room,(Some G),214 W. Commercial Row,Reno,NV,"(G),(PT),(*)",Bars/Clubs,1977,NA,-119.8166565,39.527426,Google Verified Location
7290,NV017,Jade Room ,,214 W. Commercial Row ,Reno,NV,(*),Bars/Clubs,1973,NA,-119.8166565,39.527426,Google Verified Location
7295,NV176,Jade Room ,(Some G),214 W. Commercial Row ,Reno,NV,"(*),(G)",Bars/Clubs,1976,NA,-119.8166565,39.527426,Google Verified Location
7292,NV066,Jade Room ,(may be closing) ,214 W. Commerical Row ,Reno,NV,"(OC),(PT)",Bars/Clubs,1978,NA,-119.8166565,39.527426,Google Verified Location
7293,NV152,Jade Room ,(Some G),214 W. Commercial Row ,Reno,NV,"(*),(G)",Bars/Clubs,1974,NA,-119.8166565,39.527426,Google Verified Location
7294,NV164,Jade Room ,(Some G),214 W. Commercial Row ,Reno,NV,"(*),(G)",Bars/Clubs,1975,NA,-119.8166565,39.527426,Google Verified Location
7312,NV143,Jim's Reno Bar ,,424 E. 4th St. ,Reno,NV,,Bars/Clubs,1973,NA,-119.8082473,39.5308793,Google Verified Location
7370,NV167,King's Rest Motel ,,526 Las Vegas Blvd. S. ,Las Vegas,NV,"(H),(M)",Hotel,1976,NA,-115.1442793,36.1641822,Google Verified Location
7369,NV155,King's Rest Motel ,,526 Las Vegas Blvd. S. ,Las Vegas,NV,(H),Hotel,1975,NA,-115.1442793,36.1641822,Google Verified Location
7368,NV020,King's Rest Motel ,,526 Las Vegas Blvd. S. ,Las Vegas,NV,(H),Hotel,1974,NA,-115.1442793,36.1641822,Google Verified Location
