"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address","ID"
"Ten Twenty Club","(opens 3 pm)","1020 Ashford ","Condado","PR","(S)","Bars/Clubs",1974,NA,"1020 Ashford , Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1974-PR-0036"
"Ten Twenty Club","(Opens 3 p.m.)","1020 Ashford ","Condado","PR","(S),(*)","Bars/Clubs",1975,NA,"1020 Ashford , Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1975-PR-0037"
"Ten Twenty Club","(opens 3 pm)","1020 Ashford ","Condado","PR","(E),(*)","Bars/Clubs",1976,NA,"1020 Ashford , Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1976-PR-0038"
"Ten Twenty Club","","1020 Ashford Ave.","Condado","PR","(*)","Bars/Clubs",1972,NA,"1020 Ashford Ave., Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1972-PR-0039"
"Ten Twenty Club","(Opens 3 p.m.)","1020 Ashford Ave.","Condado","PR","(S),(*)","Bars/Clubs",1973,NA,"1020 Ashford Ave., Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1973-PR-0040"
"Michael's Thing Cabaret","","1020 Ashford Ave.","Condado","PR","(E),(*)","Bars/Clubs",1980,NA,"1020 Ashford Ave., Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1980-PR-0041"
"El Morro Guest House","","103 Calle San Sebastian","San Juan","PR","(H)","Hotels",1976,NA,"103 Calle San Sebastian, San Juan, ",-66.1178651,18.4672741,"103 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1976-PR-0042"
"El Morro Guest House","","103 Calle San Sebastian","San Juan","PR","(H)","Hotels",1977,NA,"103 Calle San Sebastian, San Juan, ",-66.1178651,18.4672741,"103 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1977-PR-0043"
"Big Spender","","104 Calle San Jose","San Juan","PR","","Bars/Clubs",1971,NA,"104 Calle San Jose, San Juan, ",-66.1174097,18.4664543,"104 calle san josé, san juan, 00901, puerto rico","Google Verified Location",NA,"1971-PR-0044"
"Big Spender","","104 Calle San Jose","San Juan","PR","(S)","Bars/Clubs",1972,NA,"104 Calle San Jose, San Juan, ",-66.1174097,18.4664543,"104 calle san josé, san juan, 00901, puerto rico","Google Verified Location",NA,"1972-PR-0045"
"Lion's Head","(best after 2 am)","105 Calle Luna","San Juan","PR","(YC),(D),(*)","Bars/Clubs",1972,NA,"105 Calle Luna, San Juan, ",-66.1177852,18.4661019,"105 calle de la luna, san juan, 00901, puerto rico","Google Verified Location",NA,"1972-PR-0046"
"Arturo's Furnished Cottages","(P.O. Box 428, tel: 832-7002)","105 Limon Rd.","Mayaguez","PR","(H)","Hotels",1973,NA,"105 Limon Rd., Mayaguez, ",-67.1408927,18.201412,"pr-105, puerto rico","Google Verified Location",NA,"1973-PR-0047"
"Arturo's Furnished Cottages ","(Mgmt. provides native entertainment for guests. P.O. Bo 428, tel: 832-7002)","105 Limon Rd.","Mayaguez","PR","(H)","Hotels",1974,NA,"105 Limon Rd., Mayaguez, ",-67.1408927,18.201412,"pr-105, puerto rico","Google Verified Location",NA,"1974-PR-0048"
"Arturo's Furnished Cottages","(Mgmt. provides native entertainment for guests. P.O. Box 428 Tel: 832-7002)","105 Limon Rd.","Mayaguez","PR","(H)","Hotels",1975,NA,"105 Limon Rd., Mayaguez, ",-67.1408927,18.201412,"pr-105, puerto rico","Google Verified Location",NA,"1975-PR-0049"
"Arturo's Limon Guest House","(if you dig native 'teenie boppers' - this is the place - P.O. Box 428 - Tel: 832-7002)","105 Limon Rd.","Mayaguez","PR","(H)","Hotels",1976,NA,"105 Limon Rd., Mayaguez, ",-67.1408927,18.201412,"pr-105, puerto rico","Google Verified Location",NA,"1976-PR-0050"
"Blanche's Place","","107 Calle San Sebastian","San Juan","PR","(M)","Bars/Clubs",1971,NA,"107 Calle San Sebastian, San Juan, ",-66.1176732,18.4673139,"107 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1971-PR-0051"
"Blanche's Place","","107 Calle San Sebastian","San Juan","PR","(M)","Bars/Clubs",1972,NA,"107 Calle San Sebastian, San Juan, ",-66.1176732,18.4673139,"107 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1972-PR-0052"
"Manny's","","109 Calle San Sebastian","San Juan","PR","(M),(R)","Restaurant",1975,NA,"109 Calle San Sebastian, San Juan, ",-66.1176249,18.4672999,"109 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1975-PR-0053"
"Manny's","","109 Calle San Sebastian","San Juan","PR","(M),(R)","Restaurant",1976,NA,"109 Calle San Sebastian, San Juan, ",-66.1176249,18.4672999,"109 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1976-PR-0054"
"Caleta Guest House","","11 Calle Caleta Las Monjas","San Juan","PR","(M),(H)","Hotels",1973,NA,"11 Calle Caleta Las Monjas, San Juan, ",-66.1193145,18.4657037,"11 caleta de las monjas, san juan, 00901, puerto rico","Google Verified Location",NA,"1973-PR-0055"
"Caleta Guest House","","11 Calle Caleta Las Monjas","San Juan","PR","(H)","Hotels",1974,NA,"11 Calle Caleta Las Monjas, San Juan, ",-66.1193145,18.4657037,"11 caleta de las monjas, san juan, 00901, puerto rico","Google Verified Location",NA,"1974-PR-0056"
"Don's Upstairs ","(looks promising - upstairs - opp. Hyatt La Concha Hotel)","1102 Ashford Ave. ","Condado","PR","(OC),(E)","Bars/Clubs",1976,NA,"1102 Ashford Ave. , Condado, ",-66.0742949,18.4568083,"1102 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1976-PR-0057"
"Bachelor Club","(Looks promising)","112 Avenida Condado","Condado","PR","(D)","Bars/Clubs",1977,NA,"112 Avenida Condado, Condado, ",-66.0731888,18.4541588,"112 condado ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1977-PR-0058"
"Bachelor Club","","112 Avenida Condado","Condado","PR","(D),(*)","Bars/Clubs",1979,NA,"112 Avenida Condado, Condado, ",-66.0731888,18.4541588,"112 condado ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1979-PR-0059"
"Bachelor Club","","112 Avenida Condado","Condado","PR","(D),(*)","Bars/Clubs",1980,NA,"112 Avenida Condado, Condado, ",-66.0731888,18.4541588,"112 condado ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1980-PR-0060"
"Napoleon Club","","112 Calle Condado ","Condado","PR","(P),(D),(PE)","Bars/Clubs",1973,NA,"112 Calle Condado , Condado, ",-66.0731888,18.4541588,"112 condado ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1973-PR-0061"
"Madrid Guest House","(rooftop bar & lounge) ","112 Calle San Jorge","Condado","PR","(H),(*)","Hotels",1972,NA,"112 Calle San Jorge, Condado, ",-66.0618816,18.4509452,"112 calle san jorge, san juan, 00911, puerto rico","Google Verified Location",NA,"1972-PR-0062"
"Casa Madrid Guest House","(Rooftop bar & lounge)","112 Calle San Jorge","San Juan","PR","(H)","Hotels",1974,NA,"112 Calle San Jorge, San Juan, ",-66.0618816,18.4509452,"112 calle san jorge, san juan, 00911, puerto rico","Google Verified Location",NA,"1974-PR-0063"
"Casa Madrid Guest House","(Rooftop bar & lounge)","112 Calle San Jorge ","Condado","PR","(H)","Hotels",1973,NA,"112 Calle San Jorge , Condado, ",-66.0618816,18.4509452,"112 calle san jorge, san juan, 00911, puerto rico","Google Verified Location",NA,"1973-PR-0064"
"Madrid Guest House","(Rooftop bar & Lounge)","112 San Jorge","Condado","PR","(H),(RT)","Hotels",1975,NA,"112 San Jorge, Condado, ",-66.0618816,18.4509452,"112 calle san jorge, san juan, 00911, puerto rico","Google Verified Location",NA,"1975-PR-0065"
"Madrid Guest House","(rooftop bar & lounge)","112 San Jorge ","Condado","PR","(H)","Hotels",1971,NA,"112 San Jorge , Condado, ",-66.0618816,18.4509452,"112 calle san jorge, san juan, 00911, puerto rico","Google Verified Location",NA,"1971-PR-0066"
"Rosemary's By The Sea","","1125 Seaview St.","Condado","PR","(H)","Hotels",1976,NA,"1125 Seaview St., Condado, ",-66.0729104,18.4572154,"1125 cll seaview, san juan, 00907, puerto rico","Google Verified Location",NA,"1976-PR-0067"
"Rosemary's By The Sea","","1125 Seaview St.","Condado","PR","(H)","Hotels",1977,NA,"1125 Seaview St., Condado, ",-66.0729104,18.4572154,"1125 cll seaview, san juan, 00907, puerto rico","Google Verified Location",NA,"1977-PR-0068"
