ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified,full.address,lon,lat,geoAddress,status
NH061,Sagamore Club,,3241 Lafayette Rd.,Portsmouth,NH,"(YC),(D),(P),(*)",Bars/Clubs,1973,NA,NA,NA,NA,"3241 Lafayette Rd., Portsmouth, NH",-70.7962246,43.0232094,"3241 lafayette rd, portsmouth, nh 03801, usa",Geocoded
NH062,3241 Club Baths,(upstairs above the Saimore),3241 Lafayette Rd.,Portsmouth,NH,(*),Baths,1973,NA,NA,NA,NA,"3241 Lafayette Rd., Portsmouth, NH",-70.7962246,43.0232094,"3241 lafayette rd, portsmouth, nh 03801, usa",Geocoded
NH063,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,"(M),(*)",Restaurant,1972,NA,NA,NA,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa",Geocoded
NH064,Del's ,,128 Maple,Manchester,NH,(G),Bars/Clubs,1972,NA,NA,NA,NA,"128 Maple, Manchester, NH",-71.4531502,42.9771698,"128 maple st, manchester, nh 03103, usa",Geocoded
NH065,Sheraton-Carpenter Hotel Lounge,,323 Franklin St.,Manchester,NH,(M),"Bars/Clubs,Hotels",1972,NA,NA,NA,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa",Geocoded
NH066,Yvette's,,657 Chestnut,Manchester,NH,"(M),(RT),(*)",Bars/Clubs,1972,NA,NA,NA,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa",Geocoded
NH067,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1972,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
NH068,Sagamore Club,(above Fran's 'Rio'),77 Daniel St. ,Portsmouth,NH,"(P),(D),(*)",Bars/Clubs,1972,NA,NA,NA,NA,"77 Daniel St. , Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa",Geocoded
NH069,Yvette's,,657 Chestnut,Manchester,NH,,Bars/Clubs,1971,NA,NA,NA,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa",Geocoded
NH070,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1971,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
NH071,Sagimore,(Above Fran's 'Rio'),77 Daniel St. ,Portsmouth,NH,"(P),(D),(*)",Bars/Clubs,1971,NA,NA,NA,NA,"77 Daniel St. , Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa",Geocoded
NH072,Three-Two-Forty-One Club,(Old Rt. 1),3241 Lafayette Rd ,Portsmouth,NH,"(YC),(D),(P),(*)",Bars/Clubs,1971,NA,NA,NA,NA,"3241 Lafayette Rd , Portsmouth, NH",-70.7962246,43.0232094,"3241 lafayette rd, portsmouth, nh 03801, usa",Geocoded
NH073,Yvette's,,657 Chestnut,Manchester,NH,,Bars/Clubs,1970,NA,NA,NA,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa",Geocoded
NH074,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,,"Bars/Clubs,Hotels",1970,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
NH075,Yvette's,,657 Chestnut,Manchester,NH,,Bars/Clubs,1969,NA,NA,NA,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa",Geocoded
NH076,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,,"Hotels,Bars/Clubs",1969,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
NH077,Yvette's,,657 Chestnut,Manchester,NH,,Bars/Clubs,1968,NA,NA,NA,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa",Geocoded
NH078,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,,"Hotels,Bars/Clubs",1968,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
NH079,'Rest Stop' on I-81,,,Charlestown,NH,Cruisy Areas,Crusing Areas,1980,checked,NA,NA,NA,", NH",-72.424512,43.238628,unclear_coded_by_hand,General Coordinates Used
NH080,Block around Carpenter Hotel,,,Manchester,NH,Cruisy Areas,Crusing Areas,1980,checked,NA,NA,NA,", NH",-71.464216,42.989677,unclear_coded_by_hand,Found
NH081,Brick Yard Mtn. Inn Rte 3 - Weiss Beach,,,Laconia,NH,,Bars/Clubs,1980,checked,NA,NA,NA,", NH",-71.470351,43.527855,unclear_coded_by_hand,General Coordinates Used
NH082,Dartmouth College - Baker Library,,,Hanover,NH,Cruisy Areas,Crusing Areas,1980,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH083,Dartmouth College - Hopkins Center,,,Hanover,NH,Cruisy Areas,Crusing Areas,1980,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH084,Hampton Beach - Summers,,,Hampton,NH,,Bars/Clubs,1980,checked,NA,NA,NA,", NH",-70.813482,42.91131,unclear_coded_by_hand,General Coordinates Used
NH085,Manchester Civic Club,(Disco) (Some L),,Manchester,NH,"(P),(D),(L),(*)",Bars/Clubs,1980,checked,NA,NA,NA,", NH",-71.454789,42.99564,unclear_coded_by_hand,General Coordinates Used
NH086,Main & W. Hollis,,,Nashua,NH,Cruisy Areas,Crusing Areas,1980,checked,NA,NA,NA,", NH",-71.463937,42.757866,unclear_coded_by_hand,Found
NH087,Hilton Park - Dover Point Rd.,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1980,checked,NA,NA,NA,", NH",-70.827825,43.121069,unclear_coded_by_hand,Found
NH088,Piece Island - Dock Area,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1980,checked,NA,NA,NA,", NH",-70.742555,43.074656,unclear_coded_by_hand,Found
NH089,Dartmouth College - Hopkins Center,,,Hanover,NH,Cruisy Areas,Crusing Areas,1979,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH090,Main & W. Hollis,,,Nashua,NH,Cruisy Areas,Crusing Areas,1979,checked,NA,NA,NA,", NH",-71.463937,42.757866,unclear_coded_by_hand,Found
NH091,Pierce Island - Dock Area,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1979,checked,NA,NA,NA,", NH",-70.742555,43.074656,unclear_coded_by_hand,Found
NH092,Dartmouth College - Hopkins Center,,,Hanover,NH,Cruisy Areas,Crusing Areas,1978,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH093,Hilton Park - Dover Point Rd.,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1979,checked,NA,NA,NA,", NH",-70.827825,43.121069,unclear_coded_by_hand,Found
NH094,Main & W. Hollis,,,Nashua,NH,Cruisy Areas,Crusing Areas,1978,checked,NA,NA,NA,", NH",-71.463937,42.757866,unclear_coded_by_hand,Found
NH095,Dartmouth College - Hopkins Center,,,Hanover,NH,Cruisy Areas,Crusing Areas,1977,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH096,Hilton Park - Dover Point Rd.,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1978,checked,NA,NA,NA,", NH",-70.827825,43.121069,unclear_coded_by_hand,Found
NH097,Pierce Island - Dock Area,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1978,checked,NA,NA,NA,", NH",-70.742555,43.074656,unclear_coded_by_hand,Found
NH098,Main & W. Hollis,,,Nashua,NH,Cruisy Areas,Crusing Areas,1977,checked,NA,NA,NA,", NH",-71.463937,42.757866,unclear_coded_by_hand,Found
NH099,Pierce Island - Dock Area,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1977,checked,NA,NA,NA,", NH",-70.742555,43.074656,unclear_coded_by_hand,Found
NH100,Goniff Inn,"Box 31, Sunapee, NH 03782",,Sunapee,NH,(H),Hotels,1977,checked,NA,NA,NA,", NH",-72.087863,43.387575,unclear_coded_by_hand,General Coordinates Used
NH101,Hilton Park - Dover Point Rd.,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1977,checked,NA,NA,NA,", NH",-70.827825,43.121069,unclear_coded_by_hand,Found
NH102,Main & W. Hollis,,,Nashua,NH,Cruisy Areas,Crusing Areas,1976,checked,NA,NA,NA,", NH",-71.463937,42.757866,unclear_coded_by_hand,Found
NH103,Hopkins Center - Dartmouth College,,,Hanover,NH,Cruisy Areas,Crusing Areas,1976,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH104,Strawberry Bank Point - Dock Area,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1976,checked,NA,NA,NA,", NH",-70.762553,43.071755,unclear_coded_by_hand,General Coordinates Used
NH105,Hilton Park - Dover Point Rd.,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1976,checked,NA,NA,NA,", NH",-70.827825,43.121069,unclear_coded_by_hand,Found
NH106,Hopkins Center - Dartmouth College,,,Hanover,NH,Cruisy Areas,Crusing Areas,1975,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH107,Main & W. Hollis,,,Nashua,NH,Cruisy Areas,Crusing Areas,1975,checked,NA,NA,NA,", NH",-71.463937,42.757866,unclear_coded_by_hand,Found
NH108,Hilton Park - Dover Point Rd.,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1975,checked,NA,NA,NA,", NH",-70.827825,43.121069,unclear_coded_by_hand,Found
NH109,Hopkins Center - Dartmouth College,,,Hanover,NH,Cruisy Areas,Crusing Areas,1974,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH110,Strawberry Bank Point - Dock Area,,,Portsmouth,NH,Cruisy Areas,Crusing Areas,1975,checked,NA,NA,NA,", NH",-70.762553,43.071755,unclear_coded_by_hand,General Coordinates Used
NH111,Main & W. Hollis St.,,,Nashua,NH,Cruisy Areas,Crusing Areas,1974,checked,NA,NA,NA,", NH",-71.463937,42.757866,unclear_coded_by_hand,Found
NH112,Hopkins Center - Dartmouth College,,,Hanover,NH,Cruisy Areas,Crusing Areas,1973,checked,NA,NA,NA,", NH",-72.288693,43.704441,unclear_coded_by_hand,Found
NH113,Goniff Inn,,"Box 31, Sunapee, N.H. 03782",Sunapee,NH,(H),Hotels,1976,checked,NA,NA,NA,"Box 31, Sunapee, N.H. 03782, NH",-72.087863,43.387575,unclear_coded_by_hand,General Coordinates Used
NH114,Arabian Lounge,,Exit 21 off I-89,West Lebanon,NH,"(M),(R)",Bars/Clubs,1980,checked,NA,NA,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,unclear_coded_by_hand,General Coordinates Used
NH115,Arabian Lounge,,Exit 21 off I-89,West Lebanon,NH,"(M),(R)",Bars/Clubs,1979,checked,NA,NA,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,unclear_coded_by_hand,General Coordinates Used
NH116,Arabian Lounge,,Exit 21 off I-89,West Lebanon,NH,"(M),(R)",Bars/Clubs,1978,checked,NA,NA,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,unclear_coded_by_hand,General Coordinates Used
NH117,Arabian Lounge,,Exit 21 off I-89,West Lebanon,NH,"(M),(R)",Bars/Clubs,1977,checked,NA,NA,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,unclear_coded_by_hand,General Coordinates Used
NH118,Wyn's Cafe,,Inquire Locally,Manchester,NH,,Restaurant,1971,checked,NA,NA,NA,"Inquire Locally, NH",-71.454789,42.99564,unclear_coded_by_hand,General Coordinates Used
NH119,Wyn's Cafe,,Inquire Locally,Manchester,NH,,Restaurant,1970,checked,NA,NA,NA,"Inquire Locally, NH",-71.454789,42.99564,unclear_coded_by_hand,General Coordinates Used
NH120,Wyn's Cafe,,Inquire Locally,Manchester,NH,,Bars/Clubs,1969,checked,NA,NA,NA,"Inquire Locally, NH",-71.454789,42.99564,unclear_coded_by_hand,General Coordinates Used
