"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Silver Dollar","","86 W. Broadway","Jackson","WY","(M)","Bars/Clubs",1968,NA,-110.7609973,43.4793793,"Google Verified Location",NA,NA,NA,"1968-WY-0073"
"Silver Dollar","","86 W. Broadway","Jackson","WY","(M)","Bars/Clubs",1969,NA,-110.7609973,43.4793793,"Google Verified Location",NA,NA,NA,"1969-WY-0074"
"Silver Dollar","","86 W. Broadway","Jackson","WY","(M)","Bars/Clubs",1972,NA,-110.7609973,43.4793793,"Google Verified Location",NA,NA,NA,"1972-WY-0075"
"Silver Dollar","","86 W. Broadway","Jackson","WY","(M)","Bars/Clubs",1973,NA,-110.7609973,43.4793793,"Google Verified Location",NA,NA,NA,"1973-WY-0076"
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY","(M),(RT)","Bars/Clubs",1974,NA,-104.8151343,41.1318963,"Google Verified Location",NA,NA,NA,"1974-WY-0077"
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY","(M),(RT)","Bars/Clubs",1976,NA,-104.8151343,41.1318963,"Google Verified Location",NA,NA,NA,"1976-WY-0078"
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY","(M),(RT)","Bars/Clubs",1973,NA,-104.8151343,41.1318963,"Google Verified Location",NA,NA,NA,"1973-WY-0079"
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY","(M),(RT)","Bars/Clubs",1975,NA,-104.8151343,41.1318963,"Google Verified Location",NA,NA,NA,"1975-WY-0080"
"Tippin","1/2 block W. of O'Neill","642 W. 20th ","Cheyenne","WY","(P),(M),(RT),(AH)","Bars/Clubs",1976,NA,-104.8231249,41.1345651,"Google Verified Location",NA,NA,NA,"1976-WY-0081"
"Tippin","1/2 block W. of O'Neill","642 W. 20th","Cheyenne","WY","(P),(M),(RT),(AH)","Bars/Clubs",1978,NA,-104.8231249,41.1345651,"Google Verified Location",NA,NA,NA,"1978-WY-0082"
"Tippin","1/2 block West of O'Neill","642 West 20th","Cheyenne","WY","(P),(M),(RT),(AH)","Bars/Clubs",1977,NA,-104.8231249,41.1345651,"Google Verified Location",NA,NA,NA,"1977-WY-0083"
"Trailways Bus Depot","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1979,"",-104.837364,41.130652,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1979-WY-0084"
"Trailways Bus Depot","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1980,"",-104.837364,41.130652,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-WY-0085"
"Trailways Bus Depot","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1978,"",-104.837364,41.130652,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1978-WY-0086"
"Vicinity of Holiday Inn","","300 W. F Street","Casper","WY","Cruisy Area","Cruising Areas,Hotel",1979,"",-106.328904,42.858143,"Verified Location",NA,NA,NA,"1979-WY-0087"
"Vicinity of Holiday Inn","","300 W. F Street","Casper","WY","Cruisy Area","Cruising Areas,Hotel",1980,"",-106.328904,42.858143,"Verified Location",NA,NA,NA,"1980-WY-0088"
"Vicinity of Holiday Inn","","300 W. F Street","Casper","WY","Cruisy Area","Cruising Areas",1978,"",-106.328904,42.858143,"Verified Location",NA,NA,NA,"1978-WY-0089"
"Vicinity of Trailways Bus Depot","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1977,"",-104.837364,41.130652,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1977-WY-0090"
"Vicinity of Trailways Bus Depot","","","Cheyenne","WY","Cruisy Area","Cruising Areas",1976,"",-104.837364,41.130652,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-WY-0091"
"Wonderbar","(Summers)","254 S. Center St.","Casper","WY","(M)","Bars/Clubs",1979,NA,-106.3255135,42.8477613,"Google Verified Location",NA,NA,NA,"1979-WY-0092"
"Wonderbar","(Summers)","254 S. Center St.","Casper","WY","(M)","Bars/Clubs",1980,NA,-106.3255135,42.8477613,"Google Verified Location",NA,NA,NA,"1980-WY-0093"
"Wonderbar","(Summers only)
","254 S. Center Street","Casper","WY","(M)","Bars/Clubs",1977,NA,-106.3255135,42.8477613,"Google Verified Location",NA,NA,NA,"1977-WY-0094"
"Wonderbar","(Summers)","254 S. Center St.","Casper","WY","(M)","Bars/Clubs",1978,NA,-106.3255135,42.8477613,"Google Verified Location",NA,NA,NA,"1978-WY-0095"
