ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified,full.address,lon,lat,geoAddress,status
MD064,Parker's,(6 a.m. to 2 a.m.),704 No. Howard,Baltimore,MD,(B),Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"704 No. Howard, Baltimore, MD",-76.6201738,39.2976088,"704 n howard st, baltimore, md 21201, usa",Geocoded
MD065,Sappho's,(Disco- WE),100 Albemarle,Baltimore,MD,"(G),(D),(WE),(*)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"100 Albemarle, Baltimore, MD",-76.6039212,39.2884704,"100 albemarle st, baltimore, md 21202, usa",Geocoded
MD066,Senator Bar,(Best Sun.),612 No. Howard St.,Baltimore,MD,"(E),(OC),(*)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"612 No. Howard St., Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa",Geocoded
MD067,Shot Tower Bar,(Some G),4 No. High St.,Baltimore,MD,(G),Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"4 No. High St., Baltimore, MD",-76.6045234,39.2904544,"4 n high st, baltimore, md 21202, usa",Geocoded
MD068,Stallion Inn,"(Some YC, RT)",2318 Fleet St.,Baltimore,MD,"(PT),(D),(YC),(RT)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2318 Fleet St., Baltimore, MD",-76.583657,39.2850985,"2318 fleet st, baltimore, md 21224, usa",Geocoded
MD069,Studio,(Some SM) (Adjoins Gallery),1735 Maryland Ave.,Baltimore,MD,"(R),(SM),(*)",Restaurant,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1735 Maryland Ave., Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa",Geocoded
MD070,Towson Books,,516 York Rd.,Baltimore,MD,,Book Store,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"516 York Rd., Baltimore, MD",-76.6017813,39.4011275,"516 york rd, towson, md 21204, usa",Geocoded
MD071,Turkish Baths,(Some B),1425 E. Baltimore,Baltimore,MD,"(OC),(B),(*)",Baths,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1425 E. Baltimore, Baltimore, MD",-76.5977944,39.2912747,"1425 e baltimore st, baltimore, md 21231, usa",Geocoded
MD072,Tyson Place,(Can enter thru rear of Leon's),227 W. Chase St.,Baltimore,MD,"(M),(R)",Restaurant,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"227 W. Chase St., Baltimore, MD",-76.6191881,39.3016308,"227 w chase st, baltimore, md 21201, usa",Geocoded
MD073,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,"(M),(H)",Hotels,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"24 W. Franklin, Baltimore, MD",-76.6165858,39.2954574,"24 w franklin st, baltimore, md 21201, usa",Geocoded
