"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"Main St. betw. 4th & 9th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Main St. betw. 4th & 9th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Main St. betw. 4th & 10th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1974,"",NA,NA,NA,NA,NA
"Main St. betw. 4th & 10th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"Main St. betw. 4th & 10th","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"Mall by downtown library","Found","","","Lawton","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Mall by downtown library","Found","","","Lawton","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Merry-Go-Round","Found","(Beer)","27th & Walker","Oklahoma City","OK","(PT)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA
"N.E. St. U. - Student Union Basement T-Room","Found","","","Talequah","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"N.E. St. U. - Student Union Basement T-Room","Found","","","Talequah","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"N.E. St. Univ - Student Union -basement T-Room","Found","","","Talequah","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"North & Keystone Ramps","General Coordinates Used","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"North & Keystone Ramps","General Coordinates Used","","","Tulsa","OK","Cruisy Areas,(AYOR)","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"North & Keystone Ramps","General Coordinates Used","","","Tulsa","OK","(AYOR),Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"O.S.U - Student Union - 2nd floor T-Rooms","Found","","","Stillwater","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"O.S.U. - Student Union - 2nd floor T-Rooms","Found","","","Stillwater","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"O.S.U. Student Union - 2nd Floor T-Room","Found","","","Stillwater","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Pete & Bob's","Found","","1st & Elwood","Tulsa","OK","(P),(D),(*)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA
"Pete & Bob's","Found","","1st & Elwood","Tulsa","OK","(D),(P),(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA
"Pete & Bob's ","Found","","1st & Elwood","Tulsa","OK","(D),(P),(*)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA
"Saddle Club","General Coordinates Used","","Inquire Locally","Lawton","OK","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA
"Saddle Club","General Coordinates Used","","Inquire Locally","Lawton","OK","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA
"Schoobee Doo","General Coordinates Used","","inquire locally","Tulsa","OK","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA
"Sheridan St. - bet. Broadway & Walker","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1972,"",NA,NA,NA,NA,NA
"Sheridan St. - betw. Walker & Broadway","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Sheridan St. - betw. Walker & Broadway","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Sheridan St. - betw. Walker & Broadway","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Sheridan St. Betw. Broadway & Walker","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"Sheridan St. betw. Walker & Broadway","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Sheridan St., bet. Broadway & Walker","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1973,"",NA,NA,NA,NA,NA
"Sheridan St., betw. Broadway & Walker","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1974,"",NA,NA,NA,NA,NA
"Sheridan St., betw. Broadway & Walker","Found","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"Taj Mahal","Found","","7th St. nr Main","Tulsa","OK","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA
"Taj Mahal","Found","","7th St. nr. Main","Tulsa","OK","","Bars/Clubs",1966,"",NA,NA,NA,NA,NA
"Taj Mahal","Found","","7th St. nr. Main","Tulsa","OK","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA
"Tiger Room","General Coordinates Used","","N. Lewis","Tulsa","OK","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA
"Tony's ","Found","(Some L) ","Wilshire & May","Oklahoma City","OK","(S)","",1980,"",NA,NA,NA,NA,NA
