"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","nr. Museum of Sciences & Industry","","Chicago","IL","Cruisy Area","Cruising Areas",1979,"approximate",NA,NA,NA,NA,NA,NA
"Found","(Cruisy arcade)","3511 No. Halsted","Chicago","IL","Cruisy Area,(*)","Book Store,Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","(some G)","W. 63rd St. & S. Harlem","Chicago","IL","(G)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","W. 63rd St. & S. Harlem","Chicago","IL","","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","","W. 63rd St. & S. Harlem","Chicago","IL","","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","","63rd St. & Harlem Ave.","Chicago","IL","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Jeffery & 71st St.","Chicago","IL","(B),(YC)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Jeffery & 71st St.","Chicago","IL","(B),(YC)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","S. Jeffery & E 73rd St.","Chicago","IL","(B),(YC)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","","S. Jeffrey & E. 73rd St.","Chicago","IL","(B),(YC)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","(May be changing name or closing)","So. Jeffrey & E. 73rd St.","Chicago","IL","(B),(YC)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","(Disco)","7041 S. Jeffrey Blvd. at 71st","Chicago","IL","(YC),(B),(D)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA
"Found","(Disco)","7041 S. Jeffrey Blvd. at 71st","Chicago","IL","(B),(YC),(D)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","the bushes along lagoon ","about 2500 N","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","'The Bushes'","along lagoon (2500 No.)","Chicago","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","'The Bushes' along lagoon","2500 No.","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","Above Fullerton ","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","""The Bushes""","along Lagoon 2500 North","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","The Bushes along lagoon ","2500 No.","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruisy Area",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","(Good Sun. afternoons)","2519 No. Halsted","Chicago","IL","(D),(*)","Bars/Clubs,Cruisy Area",1978,"",NA,NA,NA,NA,NA,NA
"Found","Basement T-Room","Marquette Hall","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","S. Cottage Grove & E. 73rd St.","Chicago","IL","","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","(go go boys)","740 W. Madison at Halsted","Chicago","IL","(E),(D),(*)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","","between W. 63rd St. & So. Harlem","Chicago","IL","","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","nr. refreshment stand at end of Division St.","","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","nr. refreshment stand at end of Division St.","","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","nr. food stand at end of Division St.","","Chicago","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","nr. food stand at end of Division St.","","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","near refreshment stand at end of Division Street","","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","(after hours)","Oak & Rush","Chicago","IL","(M),(C),(R)","Restaurant",1973,"",NA,NA,NA,NA,NA,NA
"Found","(after hours)","25 E. Oak at Rush","Chicago","IL","(M),(R),(C)","Restaurant",1974,"",NA,NA,NA,NA,NA,NA
"Found","","25 E. Oak at Rush St.","Chicago","IL","(M),(R),(C),(AH)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"Found","","25 E. Oak at Rush St.","Chicago","IL","(M),(R),(C),(AH)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"Found","(""Frankie's)","25 E. Oak Street at Rush","Chicago","IL","(M),(R),(C),(AH)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruisy Area",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","about 1600 block of N. Wells - very hip especially Sun. afternoon","","Chicago","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","1600 N. Wells ","Chicago","IL","Cruisy Area","Cruisy Area",1973,"",NA,NA,NA,NA,NA,NA
"Found","","betw. 1300 & 1600 N. Wells","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","S. Cottage Grove & E. 51st ","Chicago","IL","(B)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","E. 74th St. & S. Yates Ave.","Chicago","IL","(G)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","","1502 W. Jarvis at Ashland","Chicago","IL","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","1502 W. Jarvis at Ashland","Chicago","IL","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","1502 W. Jarvis at Ashland","Chicago","IL","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","between Surf & Oakdale","","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","betw. Surf & Oakdale","Chicago","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","bew. Surf & Oakdale","Chicago","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","betw. Surf & Oakdale","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","betw. Surf & Oakdale","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","betw. Surf & Oakdale","","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(downstairs) (see Gold Coast)","","Chicago","IL","(SM),(*)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Downstairs at the G.C)","","Chicago","IL","(SM)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","","28 Broadway at Surf","Chicago","IL","(M)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","around from entrance","","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","around front entrance ","","Chicago","IL","Cruisy Area","Cruisy Area",1973,"",NA,NA,NA,NA,NA,NA
"Found","around the front entrance","","Chicago","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","around from entrance ","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","(moving late '67)","Clark & Division","Chicago","IL","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Division Sts","Chicago","IL","(*),(RT)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Division Sts","Chicago","IL","(*)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Division","Chicago","IL","(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Divison","Chicago","IL","(*)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","","W. 63rd & So. Harlem","Chicago","IL","","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Surf ","Chicago","IL","(HIP),(YC),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Surf","Chicago","IL","(HIP),(YC),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","2910 N. Clark at Stuf","Chicago","IL","(HIP),(YC),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Surf ","Chicago","IL","(YC),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Surf","Chicago","IL","(YC),(HIP),(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","2626 N. Halsted","Chicago","IL","(D),(*)","Bars/Clubs,Cruisy Area",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Division & Clark Sts","Chicago","IL","(*)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","('Hustlers')","","Chicago","IL","(RT)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House Hotel","","Chicago","IL","(PE),(OC)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","","Palmer House Hotel State & Monroe Sts","Chicago","IL","(PE)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House Hotel","State & Monroe","Chicago","IL","(PE)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House Hotel","State & Monroe","Chicago","IL","(PE)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House Hotel","State & Monroe","Chicago","IL","(PE),(M)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House","State & Monroe","Chicago","IL","(M),(PE)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House","State & Monroe","Chicago","IL","(M),(PE)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Palmer House State & Monroe","Chicago","IL","(M),(PE)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House Hotel (HOT)","State & Monroe","Chicago","IL","(M),(PE),(HOT)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","Palmer House Hotel","State & Monroe","Chicago","IL","(M),(PE)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","Lincoln, Stevenson, & Douglas Hall","2nd floor T-Room","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","'Bughouse Square'","","Chicago","IL","Cruisy Area,(AYOR)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","('Bughouse) Square","","Chicago","IL","Cruisy Area,(AYOR)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","'Bughouse Square'","","Chicago","IL","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruisy Area",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","La Salle & Van Buren","Chicago","IL","(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Downtown)","2nd floor T-Room","Chicago","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","River Oaks Dr. & Torrance","Calumet City","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","Wentworth at 155th St.","Calumet City","IL","(G),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Wentworth at 155th St.","Calumet City","IL","(G),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Wentworth at 155th St.","Calumet City","IL","(G),(*)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","Wentworth at 155th St.","Calumet City","IL","(G),(*)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","","Wentworth at 155th St.","Calumet City","IL","(G),(*)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","(Some G) (Disco)","103 155th","Calumet City","IL","(G)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Danville","IL","(M),(PE)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","Inquire Locally","","Joliet","IL","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Rt 66 A ","Joliet","IL","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","US 34 East","Monmouth","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
