"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","37th Rd. by foot or car (HOT)","","Queens","NY","Cruisy Area,(HOT)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","37th Rd. by foot or car ","","Queens","NY","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(Cinema) 55th St. nr. 7th Ave.","","Midtown","NY","","Theatre",1979,"",NA,NA,NA,NA,NA,NA
"Found","(Cinema) 55th St nr. 7th Ave.","","Midtown","NY","","Theatre",1980,"",NA,NA,NA,NA,NA,NA
"Found","betw. Amsterdam & Columbus","","Uptown","NY","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","betw. Amsterdam & Columbus","","Uptown","NY","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","8th Ave. at 50th St.","","Midtown","NY","","Theatre",1978,"",NA,NA,NA,NA,NA,NA
"Found","8th Ave. at 50th St.","","Midtown","NY","","Theatre",1979,"",NA,NA,NA,NA,NA,NA
"Found","8th Ave. at 50th St.","","Midtown","NY","","Theatre",1980,"",NA,NA,NA,NA,NA,NA
"Found","8th Avenue at 50th St.","","Uptown","NY","","Theatre",1977,"",NA,NA,NA,NA,NA,NA
"Found","(Books) Astoria Blvd. at 90ths St.","","Jackson Heights","NY","","Theatre,Book Store",1979,"",NA,NA,NA,NA,NA,NA
"Found","(Books) Astoria Blvd. at 90th St.","(Jackson Heights)","Jackson Heights","NY","","Theatre,Book Store",1980,"",NA,NA,NA,NA,NA,NA
"Found","8th Av at 58th St.","","New York City","NY","(C)","Bars/Clubs",1968,"This year's guide doesn't distinguish between burrows or greenwich like previous years. ",NA,NA,NA,NA,NA,NA
"Found","","","Buffalo","NY","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Buffalo","NY","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Buffalo","NY","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Buffalo","NY","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Buffalo","NY","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Buffalo","NY","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Buffalo","NY","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","63rd St. nr Roosevelt Ave.","","Queens","NY","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","(Disco) 63rd St. nr. Roosevelt Ave. ","","Queens","NY","(YC),(D),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(no booze) Lake Shore Dr. W","","Dunkirk","NY","(M),(YC),(R)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Snacks) Cherry Grove","","Fire Island","NY","(R)","Restaurant",1980,"Long Island- All Fire Island under Long Island",NA,NA,NA,NA,NA,NA
"Found","8th Ave. & 125th Sts.","","Manhattan","NY","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
