"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","","","Bangor","ME","Cruisy Area,(AYOR)","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Ogunquit","ME","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","off Park Ave (HOT)","","Portland","ME","Cruisy Area,(HOT)","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","off Park Avenue (HOT)","","Portland","ME","Cruisy Area,(HOT)","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","1/2 mi. N. on Main St. Tel: (207) 646 - 5496","","Ogunquit","ME","(H),(*)","Hotels",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","U.S. Highway 1","Ogunquit","ME","(YC),(R),(D),(*)","Restaurant,Bars/Clubs",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Portland","ME","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","across street from Rolands","","Portland","ME","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Bald Head Cliff","Ogunquit","ME","","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Bald Head Cliff","Ogunquit","ME","(H),(M)","Hotels",1973,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Bald Head Cliff","Ogunquit","ME","(M),(H)","Hotels",1974,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Bald Head Cliff","Ogunquit","ME","(M),(H)","Hotels",1975,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Bald Head Cliff","Ogunquit","ME","(M),(H),(R)","Hotels",1976,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","Ogunquit","ME","","Hotels",1968,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","Ogunquit","ME","","Hotels",1969,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Weekends)","Forest Ave.","Portland","ME","","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA,NA
"Found","","","Portland","ME","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","(Downstairs lounge - cocktail hour - 4-7 pm)","Main St. at Ogunquit Beach Rd.","Ogunquit","ME","(*)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA,NA
"Found","(Downstairs lounge - cocktail hour 4 - 7 p.m.)","Main St.","Ogunquit","ME","(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Shore Rd. (U.S. Highway 1)","Ogunquit","ME","(M),(R)","Restaurant",1977,NA,NA,NA,NA,NA,NA,NA
"Found","Inquire locally","","Ogunquit","ME","","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Bangor","ME","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Bangor","ME","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Bangor","ME","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Bangor","ME","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","","Ogunquit","ME","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","","","Ogunquit","ME","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","","","Ogunquit","ME","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","","","Ogunquit","ME","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","","Ogunquit","ME","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
