"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"U. of Nebraska Library ","Found","(3rd floor)","","Lincoln","NE","Cruisy Areas","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"U. of Nebraska Library - 3rd floor T-Room","Found","","","Lincoln","NE","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"University of Nebraska - Gay Action Group ","Found","Sunday nigh ""coffee clutch"" 9-12 ","333 N. 13th Street","Lincoln","NE","Cruisy Areas","Crusing Areas,Organizations",1977,"",NA,NA,NA,NA,NA
"University of Nebraska - Library (3rd floor)","Found","","","Lincoln","NE","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Van Doren Park","Found","(T-Rooms)","","Lincoln","NE","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Van Doren Park","Found","(T-Rooms)","","Lincoln","NE","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Westroads Shopping Center Mall","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"Westroads Shopping Center Mall","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Westroads Shopping Center mall","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Westwood Shopping Center Mall","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Westwoods Shopping Center Mall","Found","","","Omaha","NE","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Your Place","Found","","North Side of Harney bet. 15th & 16th","Omaha","NE","(YC),(D),(*)","Bars/Clubs",1970,"approximate",NA,NA,NA,NA,NA
"Your Place","Found","","North Side of Harney bet. 15th & 16th","Omaha","NE","(YC),(D),(*)","Bars/Clubs",1971,"approximate",NA,NA,NA,NA,NA
