"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"Movie arcades on 4th nr. 'C' St.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA
"Oasis","General City Coordinates","Seward Hwy.","","Anchorage","AK","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA
"Oasis","General City Coordinates","Seward Hwy.","","Anchorage","AK","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA
"Park Strip at 9th & 'L' Sts.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"Park Strip at 9th & 'L' Sts.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA
"Park Strip at 9th & 'L' Sts.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA
"Park Strip at 9th & 'L' Sts.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA
"Park Strip at 9th & 'L' Sts.","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA
"Penney's","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA
"Penney's","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA
"Penney's","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA
"Penney's","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA
"Penney's","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA
"Penney's & Sears Mall","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"Penney's & Sears Mall","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA
"Rendezvous","General City Coordinates","Inquire locally","","Anchorage","AK","(M)","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA
"Sears Mall","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA
"Sears Mall","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA
"Sears Mall","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA
"Sears Mall","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA
"Sears Mall","Found","","","Anchorage","AK","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA
"State Office Bldg.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA
"State Office Bldg.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA
