"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","40 mi. S.W. nr. Westerly ","","Providence","RI","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","40 mi. S.W. nr. Westerly ","","Providence","RI","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","40 miles SW near Westerly","Providence","RI","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","right side about 5 mi. N. of Misquamicut","","Providence","RI","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","right side about 5 mi. north of Misquamicut State Beach","","Providence","RI","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Right side about 5 mi. N. of Misquamicut St. Beach","","Providence","RI","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Right side - about 5 miles north of Misquamicut State Beach","","Providence","RI","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Right side - 5 mi. N of Misquamicut Beach","","Providence","RI","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Right side - 5 mi. N. of Misquamicut Beach","","Providence","RI","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Right side - 5 mi. N. of Misquamicut Beach","","Providence","RI","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
