"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General City Coordinates Used","","Franklin Street","Evansville","IN","(S)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Franklin St.","Evansville","IN","(S)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Evansville","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Evansville","IN","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Evansville","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(Inquire Locally)","","Evansville","IN","","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","Evansville St. Univ.","","Evansville","IN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","On campus-Inquire locally","","Evansville","IN","(YC)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","Evansville State Univ,","","Evansville","IN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","Evansville State U.","","Evansville","IN","Cruisy Area","Cruising Areas,Organizations",1976,"",NA,NA,NA,NA,NA,NA
"Found","Evansville State Univ","","Evansville","IN","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","Evansville State University","","Evansville","IN","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","W. Franklin St.","Evansville","IN","","Theatre",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Vincennes","IN","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Vincennes","IN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Vincennes","IN","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Vincennes","IN","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Vincennes","IN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Vincennes","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
