"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","(Upstairs (G)(D)) Warren near Southfield","","Detroit","MI","(*),(G),(D)","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA,NA
"Found","State Fair at John R. ","","Detroit","MI","(G),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Hamilton nr. 6 Mile Road ","","Detroit","MI","(R)","Restaurant",1974,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Hamilton nr. 6 mile Rd. ","","Detroit","MI","(R)","Restaurant",1975,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Griswold & State ","","Detroit","MI","(YC),(D)","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Mack nr. Grosse. Pt. ","","Detroit","MI","","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Mack nr. Grosse Pt. ","","Detroit","MI","","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Euclid & 101st ","","Detroit","MI","(C)","Restaurant",1965,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Euclid & 101st St. ","","Detroit","MI","(C)","Restaurant",1966,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1972,NA,NA,NA,NA,NA,NA,NA
"Found","'Chicken' Fountain, Duck Pond, and Foot Paths","","Detroit","MI","(AYOR),Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1973,NA,NA,NA,NA,NA,NA,NA
"Found","'Chicken Fountain', 'Duck Pond' & 'Foot Paths'- but be careful!","","Detroit","MI","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA,NA,NA
"Found","'Chicken Fountain', 'Duck Pond', & 'Foot Paths', but be careful. Very hot!","","Detroit","MI","Cruisy Area,(HOT)","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","'Chicken Fountain', 'Duck Pond', & 'Foot Baths', but be careful! Very HOT!","","Detroit","MI","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","""Chicken"" Fountain, Duck Pond, and Foot Paths ","","Detroit","MI","(AYOR),Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","'Chicken' Fountain, Duck Pond, & Foot Paths","","Detroit","MI","(AYOR),Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","'Chicken' Fountain, Duck Pond, and Foot Paths","","Detroit","MI","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Main at 11 Mile Rd. ","","Detroit","MI","(M),(YC)","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Main at 11 mile Rd. ","","Detroit","MI","(M),(YC)","Bars/Clubs",1969,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Main at 11 Mile Rd. ","","Detroit","MI","(M),(YC)","Bars/Clubs",1970,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Main at 11 Mile Rd. ","","Detroit","MI","(YC),(M)","Bars/Clubs",1971,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Main at 11 Mile Rd. ","","Detroit","MI","(M),(YC)","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","Main at 11 Mile Rd. ","","Detroit","MI","(M),(YC)","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","Cruisy Area","Cruising Areas",1972,NA,NA,NA,NA,NA,NA,NA
"Found","(hot!)","","Detroit","MI","Cruisy Area,(HOT)","Cruising Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","(Hot)","","Detroit","MI","Cruisy Area,(HOT)","Cruising Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Detroit","MI","Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Detroit","MI","Cruisy Area,(HOT)","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","","","Detroit","MI","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Detroit Hilton Hotel, Park & Washington ","","Detroit","MI","(M),(PE)","Bars/Clubs,Hotels",1973,NA,NA,NA,NA,NA,NA,NA
"Found","Detroit Hilton Hotel, Park & Washington","","Detroit","MI","(M),(PE)","Bars/Clubs,Hotels",1974,NA,NA,NA,NA,NA,NA,NA
"Found","Detroit Hilton Hotel- Park & Washington","","Detroit","MI","(M),(PE),(OC)","Bars/Clubs,Hotels",1976,NA,NA,NA,NA,NA,NA,NA
"Found","State Fair & E. Outer Dr. ","","Detroit","MI","(G),(D),(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","hitch-hiking betw. 6 & 7 Mile Rds.","","Detroit","MI","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","hitch-hiking on Woodward betw. 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA,NA
"General City Coordinates Found","hitch-hiking on Woodward betw. 6 & 7 Mile Roads","","Detroit","MI","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Woodward & 6 Mile Rd. ","","Detroit","MI","","Bars/Clubs",1973,NA,NA,NA,NA,NA,NA,NA
"Found","Woodward & 6 Mile Rd. ","","Detroit","MI","","Theatre",1974,NA,NA,NA,NA,NA,NA,NA
"Found","Woodward & 6 Mile Rd. ","","Detroit","MI","","Theatre",1975,NA,NA,NA,NA,NA,NA,NA
"Found","Woodward & 6 mile Rd. ","","Detroit","MI","","Theatre",1976,NA,NA,NA,NA,NA,NA,NA
"Found","(Foster's) Woodward & Calvert ","","Detroit","MI","(B),(D),(*)","Bars/Clubs",1974,NA,NA,NA,NA,NA,NA,NA
