"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"Found","(Disco) (Some L) (WE*)","418 E. Wilson at Franklin","Madison","(M),(D),(L),(WE),(*)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","opposite Library just off the Square","","Madison","Cruisy Area","Cruising Areas",1977,"approximate",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Library nr. Square","","Madison","Cruisy Area","Cruising Areas",1978,"approximate",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Library nr. Square","","Madison","Cruisy Area","Cruising Areas",1979,"approximate",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Library nr. Square","","Madison","Cruisy Area","Cruising Areas",1980,"approximate",NA,NA,NA,NA,NA,NA,NA
"Found","Capitol Sq. to Park St.","","Madison","Cruisy Area","Cruising Areas",1975,"Approximate location for the middle of this several block radius. ",NA,NA,NA,NA,NA,NA,NA
"Found","Capitol Sq. to Park St.","","Madison","Cruisy Area","Cruising Areas",1976,"Approximate location for the middle of this several block radius. ",NA,NA,NA,NA,NA,NA,NA
"Found","Humanities Bldg & Student Union (HOT)","","Madison","Cruisy Area,(HOT)","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","Humanities Bldg & Student Union (HOT)","","Madison","Cruisy Area,(HOT)","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","Humanities Bldg & Student Union (HOT)","","Madison","Cruisy Area,(HOT)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","Humanities Bldg & Student Union (HOT)","","Madison","Cruisy Area,(HOT)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Humanities Bldg & Student Union","","Madison","Cruisy Area,(AYOR)","Cruising Areas,Organizations",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Humanities Bldg & Student Union (HOT)","","Madison","Cruisy Area,(HOT)","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Top floor-City Hotel)","Main Street","Manitowac","(M)","Bars/Clubs,Hotels",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Top floor-City Hotel)","Main Street","Manitowac","(M)","Bars/Clubs,Hotels",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","betw. Chicago & Milwaukee","","Milwaukee","(WE),Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","betw. Chicago & Milwaukee","","Milwaukee","(WE),Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Juneau & Kilbourne","","Milwaukee","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Juneau & Kilbourne","","Milwaukee","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Juneau & Kilbourne","","Milwaukee","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Juneau & Kilbourne","","Milwaukee","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","between Juneau & Kilbourne","","Milwaukee","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","between Juneau & Kilbourne","","Milwaukee","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","(also (C) (R) next door after hours, Royal Hotel)","435 W. Michigan at 5th","Milwaukee","(M),(RT)","Hotels,Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(See Inferno)","","Milwaukee","","",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","(open 24 hours) Royal Hotel","N. 5th St. & Michigan","Milwaukee","(R),(C)","Restaurant,Hotels",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","27th & Wells","Milwaukee","","Book Store",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","(HOT!)","","Milwaukee","Cruisy Area,(HOT)","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Milwaukee","Cruisy Area,(HOT)","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Milwaukee","Cruisy Area,(HOT)","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Milwaukee","Cruisy Area,(HOT)","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Milwaukee","Cruisy Area,(HOT)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","(HOT)","","Milwaukee","Cruisy Area,(HOT)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","(AYOR),Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","124 Water at Erie","Milwaukee","(D),(R),(*)","Restaurant",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","124 Water at Erie","Milwaukee","(D),(R),(*)","Restaurant",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","124 Water at Erie","Milwaukee","(D)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","At the factory","","Milwaukee","(S),(B)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","U. of Wisconsin (Milwaukee)","","Milwaukee","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","U. of Wisc. at Milwaukee","","Milwaukee","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","University of Wisconsin at Milwaukee","","Milwaukee","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","U. of Wisc. at Milwaukee","","Milwaukee","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","U. of Wisc. at Milwaukee","","Milwaukee","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hikers'","","Milwaukee","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hikers'","","Milwaukee","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hikers'","","Milwaukee","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hikers'","","Milwaukee","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hikers'","","Milwaukee","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hitch-hikers'","","Milwaukee","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Theatre",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Theatre",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Theatre",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Theatre",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Theatre",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Milwaukee","Cruisy Area","Cruising Areas,Theatre",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","(cocktail hour)","Cleveland at 9th St.","Milwaukee","(R)","Restaurant",1969,"",NA,NA,NA,NA,NA,NA,NA
