ID,Title,status,description,streetaddress,lat/lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1257,American Club,General City Coordinates Used,,US Hwy 422 bet Girard & Youngstown,"41.09978,-80.649519",Youngstown,OH,,Bars/Clubs,1968,checked,,,3/11/2020 1:18am,3/13/2020 7:55pm
1225,American Club,General City Coordinates Used,(bet. Girard & Youngstown),U.S. 422,"41.09978,-80.649519",Youngstown,OH,,Bars/Clubs,1969,checked,,,3/11/2020 12:06am,3/11/2020 1:17am
1181,American Club,General City Coordinates Used,(bet. Girard & Youngstown),U.S. 422,"41.09978,-80.649519",Youngstown,OH,,Bars/Clubs,1970,checked,,,3/11/2020 12:06am,3/11/2020 1:17am
1137,American Club,General City Coordinates Used,,U.S. 422 (Between Girard & Youngstown),"41.09978,-80.649519",Youngstown,OH,,Bars/Clubs,1971,checked,,,3/10/2020 10:38pm,3/13/2020 8:59pm
1,American Disco,Found,(Some L) (Disco) (2 bars) (Opens 9pm),417 Kenmore at Lakeshore," 41.049912,-81.541485",Akron,OH,"(*),(HIP),(YC),(L),(D)",Bars/Clubs,1980,checked,,,2/20/2020 11:43pm,2/21/2020 1:54am
471,Andre's,General City Coordinates Used,,N.W. Cleveland,"40.798947,-81.378447",Canton,OH,"(M),(R),(C),(AH)",Restaurant,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
1123,Aquarius,Found,,500 block of N. High St.,"39.972151,-83.001052",Columbus,OH,,Bars/Clubs,1971,checked,,,3/10/2020 10:38pm,3/11/2020 12:00am
22,Arboretum Park,Found,,,"40.839381,-81.402827",Canton,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:43pm,3/14/2020 10:22am
866,Bachelors I,General City Coordinates Used,,W. Union St.,"39.32924,-82.101255 ",Athens,OH,"(M),(YC),(*)",Bars/Clubs,1973,checked,,,3/2/2020 3:52am,3/2/2020 7:08pm
796,Bachelors I,General City Coordinates Used,,W. Union St.,"39.32924,-82.101255 ",Athens,OH,"(M),(YC),(*)",Bars/Clubs,1974,checked,,,3/2/2020 3:46am,3/2/2020 7:16pm
559,Baker's,Found,,24 Public Square,"40.739535,-84.103919",Lima,OH,"(D),(*)",Bars/Clubs,1977,checked,,,2/29/2020 6:44pm,3/13/2020 8:55pm
107,Baker's,Found,(Must be poor as they haven't paid me for their '78 books 2-10-79),24 Public Square,"40.739535,-84.103919",Lima,OH,(D),Bars/Clubs,1980,checked,,,2/20/2020 11:44pm,3/13/2020 8:48pm
416,Baker's ,Found,,24 Public Square,"40.739535,-84.103919",Lima,OH,"(D),(*)",Bars/Clubs,1978,checked,,,2/28/2020 1:49am,3/13/2020 8:53pm
463,Belden Village Mall,Found,,,"40.856962,-81.427799",Akron,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
315,Belden Village Mall,Found,,,"40.856962,-81.427799",Akron,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/27/2020 11:47pm,3/13/2020 8:53pm
158,Belden Village Mall,Found,,,"40.856962,-81.427799",Akron,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/20/2020 11:44pm,2/27/2020 10:27pm
7,Belden Village Mall,Found,,,"40.856962,-81.427799",Akron,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:43pm,2/21/2020 1:55am
582,Betsy Ross Motel,General City Coordinates Used,,Near the Outpost on Rte 5.,"41.237557,-80.818417",Warren,OH,"(M),(H)",Hotels,1977,checked,,,2/29/2020 6:44pm,2/29/2020 7:43pm
446,Betsy Ross Motel,General City Coordinates Used,,nr. Outpost on Rte 5.,"41.237557,-80.818417",Warren,OH,"(M),(H)",Hotels,1978,checked,,,2/28/2020 1:50am,2/28/2020 2:31am
693,Biff's,General City Coordinates Used,,E. Market St.," 41.081445,-81.519005",Akron,OH,"(M),(R),(C),(AH)",Restaurant,1975,checked,,,3/2/2020 2:09am,3/2/2020 3:51am
591,Biff's,General City Coordinates Used,,E. Market St.," 41.081445,-81.519005",Akron,OH,"(M),(R),(C),(AH)",Restaurant,1976,checked,,,2/29/2020 6:44pm,3/2/2020 2:13am
316,Big Apple Disco,General City Coordinates Used,(Very M),," 41.081445,-81.519005",Akron,OH,"Cruisy Area,(M)",Cruising Areas,1978,checked,,,2/27/2020 11:47pm,2/27/2020 11:56pm
159,Big Apple Disco,General City Coordinates Used,(Very M),," 41.081445,-81.519005",Akron,OH,"Cruisy Area,(M)",Cruising Areas,1979,checked,,,2/20/2020 11:44pm,2/27/2020 10:27pm
8,Big Apple Disco,General City Coordinates Used,(Very M),," 41.081445,-81.519005",Akron,OH,"(M),Cruisy Area",Cruising Areas,1980,checked,,,2/20/2020 11:43pm,2/21/2020 1:55am
197,Bill Jones Leather Shop,Found,(Lakewood),1862 Coventry,"41.224837,-81.821004",Lakewood,OH,,Business,1979,checked,,,2/27/2020 11:55am,2/27/2020 10:27pm
197 copy,Bill Jones Leather Shop,Found,(Lakewood),15510 Detroit Ave,"41.485374,-81.80541",Lakewood,OH,,Business,1979,checked,,,2/27/2020 11:55am,2/27/2020 10:27pm
41,Bill Jones Leather Shops,Found,(Lakewood),1862 Coventry,"41.224837,-81.821004",Lakewood,OH,,Business,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
41 copy,Bill Jones Leather Shops,Found,(Lakewood),15510 Detroit Ave,"41.485374,-81.80541",Lakewood,OH,,Business,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
612,Block around Greyhound & Trailway bus Depots,General City Coordinates Used,,,"39.103118,-84.51202",Cincinnati,OH,Cruisy Area,Cruising Areas,1976,checked,,,3/2/2020 12:58am,3/2/2020 2:13am
487,Block around Greyhound & Trailways Bus Depots,General City Coordinates Used,,,"39.103118,-84.51202",Cincinnati,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
343,Block around Greyhound & Trailways Bus Depots,General City Coordinates Used,,,"39.103118,-84.51202",Cincinnati,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/27/2020 11:47pm,2/28/2020 2:31am
541,Burger Chef,General City Coordinates Used,Downtown Plaza,,"40.272015,-81.859576",Coshocton,OH,Cruisy Area,"Cruising Areas,Restaurant",1977,checked,,,2/29/2020 6:44pm,3/13/2020 9:37pm
400,Burger Chef,General City Coordinates Used,,,"40.272015,-81.859576",Coshocton,OH,Cruisy Area,"Cruising Areas,Restaurant",1978,checked,,,2/28/2020 1:33am,3/13/2020 9:30pm
88,Burger Chef,General City Coordinates Used,Downtown Plaza,,"40.272015,-81.859576",Coshocton,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
246,Burger Cheg,General City Coordinates Used,Downtown Plaza,,"40.272015,-81.859576",Coshocton,OH,Cruisy Area,"Cruising Areas,Restaurant",1979,checked,,,2/27/2020 2:34pm,3/13/2020 9:22pm
1044,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1972,checked,,,3/2/2020 9:16pm,3/2/2020 11:10pm
879,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1973,checked,,,3/2/2020 3:52am,3/2/2020 7:08pm
809,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1974,checked,,,3/2/2020 3:52am,3/2/2020 8:07pm
758,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1975,checked,,,3/2/2020 3:04am,3/2/2020 3:51am
613,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1976,checked,,,3/2/2020 12:58am,3/2/2020 2:13am
488,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
344,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/27/2020 11:47pm,2/28/2020 2:31am
187,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/27/2020 11:55am,2/27/2020 10:27pm
32,Burnet Woods,Found,,,"39.1394,-84.517631",Cincinnati,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
16,Bus Station ,General City Coordinates Used,,,"39.32924,-82.101255 ",Athens,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:43pm,2/25/2020 10:45pm
