ID,Title,description,streetaddress,amenityfeatures,type,city,state,Year,unclearaddress,uncleartype,notes,lat,lon,status,dateadded,lastmodified
282,Lake Fayetteville,take second left after the mall on your right check the woods,,"Cruisy Area,(AYOR)",Cruisy Areas,Fayetteville,AR,2001,checked,,,36.136507,-94.129628,General Coordinates Used,,3/25/2024 2:36pm
286,Degray Lake,Lakeside area afternoon in the woods,,"Cruisy Area,(AYOR)",Cruisy Areas,Hot Springs,AR,2001,checked,,,34.239636,-93.19303,General Coordinates Used,,3/25/2024 2:36pm
287,Desota Park,just out of town (off Central Ave) check out road across from the park,,"Cruisy Area,(AYOR)",Cruisy Areas,Hot Springs,AR,2001,checked,,,34.53582,-93.02977,Found,,3/25/2024 2:37pm
288,Ribbon Ridge Farm,"RR 5 Box 2025 501/665-4151 deluxe 2-rm cabin, jacuzzi",,"(MW),(WC)",Accommodations,Huntsville,AR,2001,checked,,,36.087412,-93.73497,General Coordinates Used,,3/25/2024 2:37pm
289,Craighead Forest Park,seasonal,,"Cruisy Area,(AYOR)",Cruisy Areas,Jonesboro,AR,2001,checked,,,35.778498,-90.702406,Found,,3/25/2024 2:37pm
290,A1 Gay Real Estate Services,"www.RainbowReferrals.com Online Realtor Database, Photo Classified & Moving Resources. Renters Welcome!",,,Info Lines & Services,Little Rock,AR,2001,checked,,,34.746481,-92.289595,General Coordinates Used,,3/25/2024 2:37pm
291,AA Gay/ Lesbian,"501/224-6769 (private home) Wed 8pm & Sun 6pm, call for more info",,,Info Lines & Services,Little Rock,AR,2001,checked,,,34.746481,-92.289595,General Coordinates Used,,3/25/2024 2:37pm
292,Community Real Estate Referrals,"gay realtor at your service, no rentals",,,Info Lines & Services,Little Rock,AR,2001,checked,,,34.746481,-92.289595,General Coordinates Used,,3/25/2024 2:37pm
303,Megaphone Little Rock,"800/289-1489 Call for the local # nearest you! Hot men waiting to meet you! FREE to Record, Browse & Respond to voice ads, Use code 5050.",,,Men's Clubs,Little Rock,AR,2001,checked,,,34.746481,-92.289595,General Coordinates Used,,3/25/2024 2:37pm
304,Burns Park,"Hwy 365 (just outside of town), Northern Little Rock early evenings",,"Cruisy Area,(AYOR)",Cruisy Areas,Little Rock,AR,2001,checked,,,34.797696,-92.309918,Found,,3/25/2024 2:37pm
