"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"Found","'Hustlers'","","San Juan","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","'Hustlers'","","San Juan","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Hustlers)","","San Juan","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","San Juan","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","San Juan","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Inquire locally)","","San Juan","","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Cristo ","San Juan","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Luna","San Juan","","Baths",1969,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","San Juan","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","San Juan","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
