"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","(Sauna & Massage) 467-6565","","Baltimore","MD","","Baths",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Sauna & massage) 267-6565","","Baltimore","MD","","Baths",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Sauna & massage- 467-6565","","Baltimore","MD","","Baths",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Monument & Castle","Baltimore","MD","","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Broadway & Thames","Baltimore","MD","(HIP),(M),(YC)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Broadway & Thames","Baltimore","MD","(HIP),(M),(YC)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"Found","","Broadway and Thames","Baltimore","MD","(HIP),(M),(YC)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","Broadway & Thames","Baltimore","MD","(HIP),(M),(YC)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Broadway & Thames","Baltimore","MD","(M),(HIP),(YC)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Franklin & Paca","Baltimore","MD","(B)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","Franklin & Paca","Baltimore","MD","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","(""Drags"") ","1700 block on S. Charles","Baltimore","MD","(S),(RT)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA
"Found","Lord Baltimore Hotel","","Baltimore","MD","(M),(PE)","Bars/Clubs,Hotels",1966,"",NA,NA,NA,NA,NA,NA
"Found","(artsy) ","Tyson & Mulberry","Baltimore","MD","(M)","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"Found","","Tyson & Mulberry","Baltimore","MD","(M)","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","(arty)","Tyson & Mulberry","Baltimore","MD","(M)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","1400 blk Maryland Ave.","","Baltimore","MD","(YC),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","'Meat Rack'","","Baltimore","MD","Cruisy Area,(AYOR)","Cruisy Areas",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","'Meat Rack'","","Baltimore","MD","(AYOR),Cruisy Area","Cruisy Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","'Meat Rack'","","Baltimore","MD","Cruisy Area,(AYOR)","Cruisy Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(Sign says Nelson Baker's)","Maryland & Lafayette","Baltimore","MD","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","","Maryland & LaFayette","Baltimore","MD","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
