"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Sam's Place"," Plains Hotel","1600 Central Avenue","Cheyenne","WY",1976,"(M),(W),(RT),(*)","Bars/Clubs,Hotels",NA,"1600 Central Avenue, Cheyenne, WY",-104.8145914,41.1333759,"1600 central ave, cheyenne, wy 82001, usa","Geocoded",NA
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY",1976,"(M),(RT)","Bars/Clubs",NA,"1504 Capitol, Cheyenne, WY",-104.8151343,41.1318963,"1504 capitol ave, cheyenne, wy 82001, usa","Geocoded",NA
"Tippin","1/2 block W. of O'Neill","642 W. 20th ","Cheyenne","WY",1976,"(P),(M),(RT),(AH)","Bars/Clubs",NA,"642 W. 20th , Cheyenne, WY",-104.8231249,41.1345651,"642 w 20th st, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1976,"(M),(W)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Green Door","(entrance behind Al's Liquors)","301 E. 16th","Cheyenne","WY",1975,"(M)","Bars/Clubs",NA,"301 E. 16th, Cheyenne, WY",-104.8115169,41.1339185,"301 e 16th st, cheyenne, wy 82001, usa","Geocoded",NA
"Mayflower","(Back bar only)","112 W. 17th","Cheyenne","WY",1975,"(M),(W)","Bars/Clubs",NA,"112 W. 17th, Cheyenne, WY",-104.8154317,41.1341035,"112 w 17th st, cheyenne, wy 82001, usa","Geocoded",NA
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY",1975,"(M),(RT)","Bars/Clubs",NA,"1504 Capitol, Cheyenne, WY",-104.8151343,41.1318963,"1504 capitol ave, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1975,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Green Door","(entrance behind Al's Liquors)","301 E. 16th","Cheyenne","WY",1974,"(M)","Bars/Clubs",NA,"301 E. 16th, Cheyenne, WY",-104.8115169,41.1339185,"301 e 16th st, cheyenne, wy 82001, usa","Geocoded",NA
"Mayflower","(Back bar only)","112 W. 17th","Cheyenne","WY",1974,"(M),(W)","Bars/Clubs",NA,"112 W. 17th, Cheyenne, WY",-104.8154317,41.1341035,"112 w 17th st, cheyenne, wy 82001, usa","Geocoded",NA
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY",1974,"(M),(RT)","Bars/Clubs",NA,"1504 Capitol, Cheyenne, WY",-104.8151343,41.1318963,"1504 capitol ave, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1974,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Green Door","(entrance behind Al's Liquors)","301 E. 16th","Cheyenne","WY",1973,"(M)","Bars/Clubs",NA,"301 E. 16th, Cheyenne, WY",-104.8115169,41.1339185,"301 e 16th st, cheyenne, wy 82001, usa","Geocoded",NA
"Mayflower","(Back bar only)","112 W. 17th","Cheyenne","WY",1973,"(M),(W)","Bars/Clubs",NA,"112 W. 17th, Cheyenne, WY",-104.8154317,41.1341035,"112 w 17th st, cheyenne, wy 82001, usa","Geocoded",NA
"Stockman's Bar","(next to Albany Hotel)","1504 Capitol","Cheyenne","WY",1973,"(M),(RT)","Bars/Clubs",NA,"1504 Capitol, Cheyenne, WY",-104.8151343,41.1318963,"1504 capitol ave, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1973,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1972,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1971,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1970,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Plains Hotel Bar","","1600 Central Ave","Cheyenne","WY",1969,"(M)","Bars/Clubs,Hotels",NA,"1600 Central Ave, Cheyenne, WY",-104.8145914,41.1333759,"1600 central ave, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1969,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Plains Hotel Bar","","1600 Central Ave","Cheyenne","WY",1968,"(M)","Bars/Clubs,Hotels",NA,"1600 Central Ave, Cheyenne, WY",-104.8145914,41.1333759,"1600 central ave, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1968,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Plains Hotel Bar","","1600 Central Ave","Cheyenne","WY",1966,"(M)","Bars/Clubs,Hotels",NA,"1600 Central Ave, Cheyenne, WY",-104.8145914,41.1333759,"1600 central ave, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1966,"(M)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Plains Hotel Bar","","1600 Central Ave","Cheyenne","WY",1965,"(M)","Bars/Clubs",NA,"1600 Central Ave, Cheyenne, WY",-104.8145914,41.1333759,"1600 central ave, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1965,"(SM)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"","","","","",NA,"","",NA,", , ",NA,NA,NA,"Geocoded",NA
"Airport","","","Cheyenne","WY",1980,"Cruisy Area","Cruising Areas","",", WY",-104.81098,41.153163,"unclear_coded_by_hand","Found",NA
"Airport","","","Cheyenne","WY",1979,"Cruisy Area","Cruising Areas","",", WY",-104.81098,41.153163,"unclear_coded_by_hand","Found",NA
"Airport","","","Cheyenne","WY",1978,"Cruisy Area","Cruising Areas","",", WY",-104.81098,41.153163,"unclear_coded_by_hand","Found",NA
"Airport","","","Cheyenne","WY",1977,"Cruisy Area","Cruising Areas","",", WY",-104.81098,41.153163,"unclear_coded_by_hand","Found",NA
"Al's","","E. 16th","Cheyenne","WY",1971,"(M)","Bars/Clubs","","E. 16th, WY",-104.800342,41.137341,"unclear_coded_by_hand","General Coordinates Used",NA
"Al's","","E. 16th","Cheyenne","WY",1972,"(M)","Bars/Clubs","","E. 16th, WY",-104.800342,41.137341,"unclear_coded_by_hand","General Coordinates Used",NA
"Albany Hotel Bar","","15th & Capital","Cheyenne","WY",1972,"(M),(RT)","Bars/Clubs,Hotels","","15th & Capital, WY",-104.814734,41.131862,"unclear_coded_by_hand","Found",NA
"Albany Hotel Bar","","15th & Capital","Cheyenne","WY",1971,"(M),(RT)","Bars/Clubs,Hotels","","15th & Capital, WY",-104.814734,41.131862,"unclear_coded_by_hand","Found",NA
"Albany Hotel Bar","","15th & Capital","Cheyenne","WY",1970,"(M),(RT)","Bars/Clubs,Hotels","","15th & Capital, WY",-104.814734,41.131862,"unclear_coded_by_hand","Found",NA
"Area Around Holiday Inn","","300 W. F Street","Casper","WY",1977,"Cruisy Area","Hotels,Cruising Areas","","300 W. F Street, WY",-106.328904,42.858143,"unclear_coded_by_hand","Found",NA
"Conwell Park","(Summers)","","Casper","WY",1980,"Cruisy Area","Cruising Areas","",", WY",-106.308105,42.849432,"unclear_coded_by_hand","Found",NA
"Conwell Park","(Summers)","","Casper","WY",1979,"Cruisy Area","Cruising Areas","",", WY",-106.308105,42.849432,"unclear_coded_by_hand","Found",NA
"Conwell Park","(Summers)","","Casper","WY",1978,"Cruisy Area","Cruising Areas","",", WY",-106.308105,42.849432,"unclear_coded_by_hand","Found",NA
"Cowboy Bar","(Very M) (Try front bar area) On the Square","","Jackson","WY",1980,"(M),(W),(YC),(PT)","Bars/Clubs","coordinates for Jackson Sq",", WY",-110.761779,43.479956,"unclear_coded_by_hand","General Coordinates Used",NA
"Cowboy Bar","(Very M) (Try front bar area) On the Square","","Jackson","WY",1979,"(M),(W),(YC),(PT)","Bars/Clubs","coordinates for Jackson Sq",", WY",-110.761779,43.479956,"unclear_coded_by_hand","General Coordinates Used",NA
"Cowboy Bar","On the square. Best at bar near front door","","Jackson","WY",1978,"(M),(W),(YC),(R),(PT),(*)","Bars/Clubs,Restaurant","coordinates for Jackson Sq",", WY",-110.761779,43.479956,"unclear_coded_by_hand","General Coordinates Used",NA
