"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(3 floors 'super bar'-ground flood 'Lodge') (Cruisy) & 'Chase' upstairs (Disco)","107 S. Pennsylvania","Indianapolis","IN","(W),(YC),(D),(PT),(*)","Bars/Clubs,Cruising Areas",1980,NA,"107 S. Pennsylvania, Indianapolis, IN","-86.1559797",39.7653892,"107 s pennsylvania st, indianapolis, in 46204, usa","Geocoded",NA,NA
"","148 E. Market St. ","Indianapolis","IN","(M),(R)","Restaurant",1980,NA,"148 E. Market St. , Indianapolis, IN","-86.1549456",39.7687109,"148 e market st, indianapolis, in 46204, usa","Geocoded",NA,NA
"(May be moving)","1940 N. Delaware","Indianapolis","IN","","Church",1980,NA,"1940 N. Delaware, Indianapolis, IN","-86.1540915",39.793713,"1940 n delaware st, indianapolis, in 46202, usa","Geocoded",NA,NA
"('Darlo's) ","508 S. Alabama","Indianapolis","IN","(RT),(L),(PT),(B)","Bars/Clubs",1980,NA,"508 S. Alabama, Indianapolis, IN","-86.1535342",39.7598684,"508 s alabama st, indianapolis, in 46225, usa","Geocoded",NA,NA
"(Cruisy) (Enter thru 'active' parking lot in rear) ","1218 N. Pennsylvania","Indianapolis","IN","(R),(D),(*)","Restaurant,Bars/Clubs,Cruising Areas",1980,NA,"1218 N. Pennsylvania, Indianapolis, IN","-86.1560592",39.7837148,"1218 n pennsylvania st, indianapolis, in 46202, usa","Geocoded",NA,NA
"(R-days) (Some OC) (Nights*)","","Indianapolis","IN","(*),(M),(R),(OC)","Restaurant,Bars/Clubs",1980,NA,", Indianapolis, IN","-86.158068",39.768403,"indianapolis, in, usa","Geocoded",NA,NA
"5th St. betw Main & Columbia (W. Lafayette)","","Lafayette","IN","(M),(YC)","Bars/Clubs",1980,NA,", Lafayette, IN","-86.8752869",40.4167022,"lafayette, in, usa","Geocoded",NA,NA
"","247 Kilgore","Muncie","IN","(M),(R)","Restaurant",1980,NA,"247 Kilgore, Muncie, IN","-85.3982715",40.1903556,"247 w kilgore ave, muncie, in 47305, usa","Geocoded",NA,NA
"(Disco)","107 E. Main St.","Muncie","IN","(YC),(D)","Bars/Clubs",1980,NA,"107 E. Main St., Muncie, IN","-85.3861737",40.1934037,"107 e main st, muncie, in 47305, usa","Geocoded",NA,NA
"","3002 Western Ave","South Bend","IN","(*)","Book Store",1980,NA,"3002 Western Ave, South Bend, IN","-86.2913515",41.6717862,"3002 w western ave, south bend, in 46619, usa","Geocoded",NA,NA
"('Wild back room')","1316 S. Michigan","South Bend","IN","","Theatre,Book Store",1980,NA,"1316 S. Michigan, South Bend, IN","-86.2496374",41.6603865,"1316 s michigan st, south bend, in 46601, usa","Geocoded",NA,NA
"(Many L) (No sign-opp. A & P)","1902 Western Ave.","South Bend","IN","(L),(D),(S)","Bars/Clubs",1980,NA,"1902 Western Ave., South Bend, IN","-86.2779495",41.6718207,"1902 w western ave, south bend, in 46619, usa","Geocoded",NA,NA
"(Disco) (basement cruise bar)","411 E. Jefferson","South Bend","IN","(YC),(R),(PT),(D)","Restaurant,Bars/Clubs",1980,NA,"411 E. Jefferson, South Bend, IN","-86.2445568",41.6750826,"411 e jefferson blvd, south bend, in 46617, usa","Geocoded",NA,NA
"(Some B, RT)","1430 Poplar ","Terre Haute","IN","(M),(B),(RT)","Bars/Clubs",1980,NA,"1430 Poplar , Terre Haute, IN","-87.3943971",39.4631858,"1430 poplar st, terre haute, in 47807, usa","Geocoded",NA,NA
"(Some L)","635 N. 10th St.","Terre Haute","IN","(L)","Bars/Clubs",1980,NA,"635 N. 10th St., Terre Haute, IN","-87.4020716",39.475181,"635 n 10th st, terre haute, in 47807, usa","Geocoded",NA,NA
"","1316 E. 3rd St.","Bloomington","IN","(M),(HIP),(YC)","Bars/Clubs",1979,NA,"1316 E. 3rd St., Bloomington, IN","-86.5168064",39.1640878,"1316 e 3rd st, bloomington, in 47401, usa","Geocoded",NA,NA
"(Some G)","212 Kirkwood Ave.","Bloomington","IN","(M),(G),(RT),(D)","Bars/Clubs",1979,NA,"212 Kirkwood Ave., Bloomington, IN","-86.5355502",39.1668773,"212 w kirkwood ave, bloomington, in 47404, usa","Geocoded",NA,NA
"","201 S. Fulton Ave.","Evansville","IN","","Book Store",1979,NA,"201 S. Fulton Ave., Evansville, IN","-87.581077",37.975675,"201 s fulton ave, evansville, in 47708, usa","Geocoded",NA,NA
"(Sleazy) (G in back room)","1814 W. Main","Ft. Wayne","IN","(M),(G)","Bars/Clubs",1979,NA,"1814 W. Main, Ft. Wayne, IN","-85.1659973",41.0787496,"1814 w main st, fort wayne, in 46808, usa","Geocoded",NA,NA
"(Book store)","930 Broadway","Ft. Wayne","IN","","Book Store",1979,NA,"930 Broadway, Ft. Wayne, IN","-85.148301",41.0760096,"930 broadway, fort wayne, in 46802, usa","Geocoded",NA,NA
