"ID","Title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
58,"David's ","","28 Prospect Hill off Thames St.","Newport","RI","(YC),(D),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 1:42am","7/27/2020 1:16pm","28 Prospect Hill off Thames St., Newport, RI","-71.3139778","41.4853787","28 prospect hill st, newport, ri 02840, usa","Geocoded"
59,"Franklin Spa Drug Store","(Brunch & lunch)","229 Spring at Franklin","Newport","RI","(M)","Restaurant",NA,NA,1978,NA,"4/20/2020 1:42am","7/27/2020 1:16pm","229 Spring at Franklin, Newport, RI","-71.313379","41.4848546","229 spring st, newport, ri 02840, usa","Geocoded"
60,"Gov. Collins Inn Guest House","(Looks promising)","113 Tours St.","Newport","RI","(M),(H)","Hotels",NA,NA,1978,NA,"4/20/2020 1:43am","7/27/2020 1:16pm","113 Tours St., Newport, RI","-71.3128285","41.4901024","newport, ri, usa","Geocoded"
61,"Venetian Room","","3 Farewell St.","Newport","RI","(M),(RT)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 1:43am","7/27/2020 1:16pm","3 Farewell St., Newport, RI","-71.3132894","41.490839","3 farewell st, newport, ri 02840, usa","Geocoded"
63,"Buttery ","","68 Dorrence at Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",NA,NA,1978,NA,"4/20/2020 1:44am","7/27/2020 1:16pm","68 Dorrence at Weybosset, Providence, RI","-71.4111205","41.8233223","68 dorrance st, providence, ri 02903, usa","Geocoded"
64,"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 1:44am","7/27/2020 1:16pm","681 Valley, Providence, RI","-71.4288774","41.8309289","681 valley st, providence, ri 02908, usa","Geocoded"
65,"Clemence St. Book Store","","35 Clemence St.","Providence","RI","","Book Store",NA,NA,1978,NA,"4/20/2020 2:28am","7/27/2020 1:16pm","35 Clemence St., Providence, RI","-71.4143073","41.8232912","35 clemence st, providence, ri 02903, usa","Geocoded"
66,"College Pub","(Opens 11:30 a.m. closes 1 a.m. weekdays, 2 a.m. WE)","109 Eddy St.","Providence","RI","(D),(E),(R),(*),(WE)","Restaurant,Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:28am","7/27/2020 1:16pm","109 Eddy St., Providence, RI","-71.4116268","41.8226411","109 eddy st, providence, ri 02903, usa","Geocoded"
67,"Fife & Drum","(Upstairs) (Disco)","123 Weybosset","Providence","RI","(YC),(D),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:29am","7/27/2020 1:16pm","123 Weybosset, Providence, RI","-71.4114172","41.8230957","123 weybosset st, providence, ri 02903, usa","Geocoded"
68,"Gallery","(Unisex) (Disco)","194 Richmond","Providence","RI","(HIP),(YC),(S),(D),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:33am","7/27/2020 1:16pm","194 Richmond, Providence, RI","-71.409122","41.8194591","194 richmond st, providence, ri 02903, usa","Geocoded"
