"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(use back entrance)","Rt. 25 ","Newtown","CT","","Bars/Clubs",1974,NA,"Rt. 25 , Newtown, CT",-73.3079652,41.412262,"ct-25, connecticut, usa","Geocoded",NA,NA
"","1388 Thomaston Ave. at Chase","Waterbury","CT","(M),(*)","Restaurant",1974,NA,"1388 Thomaston Ave. at Chase, Waterbury, CT",-73.0551009,41.5617313,"95 thomaston ave # 2, waterbury, ct 06702, usa","Geocoded",NA,NA
"","919 E. State St. ","Westport","CT","(G)","Bars/Clubs",1974,NA,"919 E. State St. , Westport, CT",-73.3379802,41.1379196,"919 state st e, westport, ct 06880, usa","Geocoded",NA,NA
"","1277 N. Main St. ","Bridgeport","CT","(M)","Bars/Clubs",1975,NA,"1277 N. Main St. , Bridgeport, CT",-73.1808077,41.1920675,"1277 e main st, bridgeport, ct 06608, usa","Geocoded",NA,NA
"(Some G)","54 E. Washington ","Bridgeport","CT","(YC),(D),(G),(*)","Bars/Clubs",1975,NA,"54 E. Washington , Bridgeport, CT",-73.1917933,41.1853398,"54 e washington ave, bridgeport, ct 06604, usa","Geocoded",NA,NA
"","141 Main St. ","Danbury","CT","(*)","Bars/Clubs",1975,NA,"141 Main St. , Danbury, CT",-73.449955,41.3926826,"141 main st, danbury, ct 06810, usa","Geocoded",NA,NA
"(Springdale)","44 Poplar Rd. ","Glenbrook","CT","(M)","Bars/Clubs",1975,NA,"44 Poplar Rd. , Glenbrook, CT",-73.518478,41.07925,"44 poplar st, stamford, ct 06907, usa","Geocoded",NA,NA
"","44 Field Pt. Rd. ","Greenwich","CT","(M),(R),(H)","Restaurant,Hotels",1975,NA,"44 Field Pt. Rd. , Greenwich, CT",-73.628584,41.0265386,"44 field point rd, greenwich, ct 06830, usa","Geocoded",NA,NA
"","132 New Park Ave. ","Hartford","CT","(G)","Bars/Clubs",1975,NA,"132 New Park Ave. , Hartford, CT",-72.7084785,41.7529835,"132 new park ave, hartford, ct 06106, usa","Geocoded",NA,NA
"(Unisex)","495 1/2 Farmington Ave. ","Hartford","CT","(C),(R),(YC),(HIP),(B),(D),(*),(S)","Restaurant",1975,NA,"495 1/2 Farmington Ave. , Hartford, CT",-72.6876004,41.7680811,"1 farmington ave #495, hartford, ct 06105, usa","Geocoded",NA,NA
"(Adm. charge back room weekends)","1943 Broad St. ","Hartford","CT","(YC),(D),(*)","Bars/Clubs",1975,NA,"1943 Broad St. , Hartford, CT",-72.6875938,41.7392804,"1943 broad st, hartford, ct 06114, usa","Geocoded",NA,NA
"(some G)","1615 Park St. ","Hartford","CT","(D),(G),(*)","Bars/Clubs",1975,NA,"1615 Park St. , Hartford, CT",-72.7052738,41.7572817,"1615 park st, hartford, ct 06106, usa","Geocoded",NA,NA
"","238 Colombus Blvd. ","Hartford","CT","","Bars/Clubs",1975,NA,"238 Colombus Blvd. , Hartford, CT",-72.6694693,41.7642353,"238 columbus blvd, hartford, ct 06103, usa","Geocoded",NA,NA
"(Some G) ","61 Woodbine at Capitol Ave. ","Hartford","CT","(YC),(D),(*),(G)","Bars/Clubs",1975,NA,"61 Woodbine at Capitol Ave. , Hartford, CT",-72.6957851,41.762816,"capitol ave, hartford, ct, usa","Geocoded",NA,NA
"","300 York ","New Haven","CT","(HIP),(M),(YC),(R)","Restaurant",1975,NA,"300 York , New Haven, CT",-72.9301386,41.3117776,"300 york st, new haven, ct 06511, usa","Geocoded",NA,NA
"","1166 Chapel St. ","New Haven","CT","(M),(YC)","Bars/Clubs",1975,NA,"1166 Chapel St. , New Haven, CT",-72.9332069,41.3085692,"1166 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"","255 Church St. ","New Haven","CT","(YC),(*),(HIP),(D)","Bars/Clubs",1975,NA,"255 Church St. , New Haven, CT",-72.9223759,41.309945,"255 church st, new haven, ct 06510, usa","Geocoded",NA,NA
"($2 min on weekends)","1574 Chapel St. ","New Haven","CT","(HIP),(YC),(D),(*)","Bars/Clubs",1975,NA,"1574 Chapel St. , New Haven, CT",-72.9490555,41.3120663,"1574 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"","204 Crown St. ","New Haven","CT","(M),(PE)","Bars/Clubs",1975,NA,"204 Crown St. , New Haven, CT",-72.9285928,41.3052765,"204 crown st, new haven, ct 06510, usa","Geocoded",NA,NA
"","1132 Chapel ","New Haven","CT","(*)","Restaurant",1975,NA,"1132 Chapel , New Haven, CT",-72.9319417,41.3083277,"1132 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"(Some B)","1239 Chapel St. ","New Haven","CT","(YC),(D),(HIP),(B),(*)","Bars/Clubs",1975,NA,"1239 Chapel St. , New Haven, CT",-72.9355536,41.3095322,"1239 chapel st, new haven, ct 06511, usa","Geocoded",NA,NA
"","727 Bank St. ","New London","CT","(YC),(D),(*)","Bars/Clubs",1975,NA,"727 Bank St. , New London, CT",-72.1052812,41.349469,"727 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","157 Bank St. ","New London","CT","(M)","Bars/Clubs",1975,NA,"157 Bank St. , New London, CT",-72.0958423,41.3524759,"157 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","79 Bank St. ","New London","CT","","Bars/Clubs",1975,NA,"79 Bank St. , New London, CT",-72.0947047,41.3531069,"79 bank st, new london, ct 06320, usa","Geocoded",NA,NA
"","1388 Thomaston Ave. at Chase","Waterbury","CT","(M),(*)","Restaurant",1975,NA,"1388 Thomaston Ave. at Chase, Waterbury, CT",-73.0551009,41.5617313,"95 thomaston ave # 2, waterbury, ct 06702, usa","Geocoded",NA,NA
