"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","922 3rd St. ","Seattle","WA","(SM),(*)","Bars/Clubs",1970,NA,"922 3rd St. , Seattle, WA",-122.204578,47.4798076,"922 s 3rd st, renton, wa 98057, usa","Geocoded",NA,NA
"","824 Pike St. ","Seattle","WA","(*)","Bars/Clubs",1970,NA,"824 Pike St. , Seattle, WA",-122.331423,47.612477,"824 pike st, seattle, wa 98101, usa","Geocoded",NA,NA
"","210 S. Jackson","Seattle","WA","(G)","Bars/Clubs",1970,NA,"210 S. Jackson, Seattle, WA",-122.3310265,47.5994175,"210 s jackson st, seattle, wa 98104, usa","Geocoded",NA,NA
"","173 S. Washington","Seattle","WA","(M),(RT)","Bars/Clubs",1970,NA,"173 S. Washington, Seattle, WA",-122.3318191,47.6007134,"173 s washington st, seattle, wa 98104, usa","Geocoded",NA,NA
"","611 2nd Ave ","Seattle","WA","","Bars/Clubs",1970,NA,"611 2nd Ave , Seattle, WA",-122.3329967,47.6025555,"611 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","614 1st St. ","Seattle","WA","(YC),(D),(*)","Bars/Clubs",1970,NA,"614 1st St. , Seattle, WA",-122.3336804,47.6023525,"614 1st ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","158 Washington ","Seattle","WA","(RT),(S)","Bars/Clubs",1970,NA,"158 Washington , Seattle, WA",-122.3129866,47.7436269,"ne 158th st, washington 98155, usa","Geocoded",NA,NA
"(basement Smith Towers)","506 2nd Ave","Seattle","WA","(G),(D)","Bars/Clubs",1970,NA,"506 2nd Ave, Seattle, WA",-122.3317164,47.6019789,"506 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","919 W. Sprague ","Spokane","WA","(*)","Bars/Clubs",1970,NA,"919 W. Sprague , Spokane, WA",-117.4260106,47.6570103,"919 w sprague ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","927 1st Ave","Spokane","WA","(M)","Bars/Clubs",1970,NA,"927 1st Ave, Spokane, WA",-117.426278,47.656235,"927 w 1st ave, spokane, wa 99201, usa","Geocoded",NA,NA
"(fourth floor) ","1318 2nd Ave","Seattle","WA","","Baths",1971,NA,"1318 2nd Ave, Seattle, WA",-122.337261,47.6074858,"1318 2nd ave, seattle, wa 98101, usa","Geocoded",NA,NA
"(Fri & Sat nights- after hrs.- semi private- 2nd floor, Morrison Hotel)","517 1/2 3rd Ave","Seattle","WA","(BYOB),(D),(*)","Bars/Clubs,Hotels",1971,NA,"517 1/2 3rd Ave, Seattle, WA",-122.3482766,47.6168581,"2606 1/2 3rd ave #517, seattle, wa 98121, usa","Geocoded",NA,NA
"(after hours) ","107 Occidental So.","Seattle","WA","(D),(S),(YC),(*)","Bars/Clubs",1971,NA,"107 Occidental So., Seattle, WA",-122.3332349,47.6014249,"107 occidental ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"","2402 1st Ave. ","Seattle","WA","(*)","Baths",1971,NA,"2402 1st Ave. , Seattle, WA",-122.3478391,47.6144167,"2402 1st ave, seattle, wa 98121, usa","Geocoded",NA,NA
"","207 2nd Ave. So.","Seattle","WA","(YC),(D),(*)","Bars/Clubs",1971,NA,"207 2nd Ave. So., Seattle, WA",-122.3319532,47.6005855,"207 2nd ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"","608 1/2 2nd Ave ","Seattle","WA","(R),(C)","Restaurant",1971,NA,"608 1/2 2nd Ave , Seattle, WA",-122.360153,47.638926,"2217-1/2 2nd ave w #608, seattle, wa 98119, usa","Geocoded",NA,NA
"","824 Pike St. ","Seattle","WA","(*)","Bars/Clubs",1971,NA,"824 Pike St. , Seattle, WA",-122.331423,47.612477,"824 pike st, seattle, wa 98101, usa","Geocoded",NA,NA
"(only liquor bar)(after hours)","203 Yessler","Seattle","WA","(C),(R)","Restaurant",1971,NA,"203 Yessler, Seattle, WA",-122.33113,47.6015853,"203 yesler way, seattle, wa 98104, usa","Geocoded",NA,NA
"","922 3rd Ave ","Seattle","WA","(SM),(*)","Bars/Clubs",1971,NA,"922 3rd Ave , Seattle, WA",-122.3335175,47.6050736,"922 3rd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","210 S. Jackson ","Seattle","WA","(G)","Bars/Clubs",1971,NA,"210 S. Jackson , Seattle, WA",-122.3310265,47.5994175,"210 s jackson st, seattle, wa 98104, usa","Geocoded",NA,NA
"","173 S. Washington ","Seattle","WA","(M),(RT)","Bars/Clubs",1971,NA,"173 S. Washington , Seattle, WA",-122.3318191,47.6007134,"173 s washington st, seattle, wa 98104, usa","Geocoded",NA,NA
"","611 2nd Ave. ","Seattle","WA","","Bars/Clubs",1971,NA,"611 2nd Ave. , Seattle, WA",-122.3329967,47.6025555,"611 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","614 1st Ave.","Seattle","WA","(YC),(D),(*)","Bars/Clubs",1971,NA,"614 1st Ave., Seattle, WA",-122.3336804,47.6023525,"614 1st ave, seattle, wa 98104, usa","Geocoded",NA,NA
"(Basement of Smith Towers)","506 2nd Ave. ","Seattle","WA","(RT),(D),(HIP)","Bars/Clubs",1971,NA,"506 2nd Ave. , Seattle, WA",-122.3317164,47.6019789,"506 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","919 W. Sprague ","Spokane","WA","(*)","Bars/Clubs",1971,NA,"919 W. Sprague , Spokane, WA",-117.4260106,47.6570103,"919 w sprague ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","927 1st Ave. ","Spokane","WA","","Bars/Clubs",1971,NA,"927 1st Ave. , Spokane, WA",-117.426278,47.656235,"927 w 1st ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","938 Pacific ","Tacoma","WA","(M),(RT)","Bars/Clubs",1971,NA,"938 Pacific , Tacoma, WA",-122.43915,47.2540515,"938 pacific ave, tacoma, wa 98402, usa","Geocoded",NA,NA
"","1316 Bay St. ","Bellingham","WA","(M)","Bars/Clubs",1972,NA,"1316 Bay St. , Bellingham, WA",-122.480248,48.751494,"1316 bay st, bellingham, wa 98225, usa","Geocoded",NA,NA
"","116 1st St. ","Bremerton","WA","(M)","Bars/Clubs",1972,NA,"116 1st St. , Bremerton, WA",-122.625686,47.563693,"116 1st st, bremerton, wa 98337, usa","Geocoded",NA,NA
"","1415 1st Ave. ","Seattle","WA","","Book Store",1972,NA,"1415 1st Ave. , Seattle, WA",-122.3397798,47.6082134,"1415 1st ave, seattle, wa 98101, usa","Geocoded",NA,NA
