"title","description","streetaddress","city","state","amenityfeatures","type","notes","Year","lon","lat","status","unclear_address","full.address","geoAddress"
"Hamlet ","(Coconut Grove)","3416 Main Hwy.","Miami","FL","(R),(*)","Restaurant","",1973,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet ","(Coconut Grove) ","3416 Main Highway ","Miami","FL","(R),(*)","Bars/Clubs","",1977,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet ","(Liquor) (Coconut Grove)  ","3416 Main Hwy. ","Miami","FL","(R),(*)","Restaurant","",1978,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlets Hideaway ","","841 N.E. 1st Ave. ","Miami","FL","","Bars/Clubs","",1978,-80.1919704,25.7823485,"Geocoded",NA,NA,NA
"Hanes Mall","","","Winston-Salem","NC","Cruisy Area","Cruising Areas","",1979,-80.301057,36.069938,"Found",NA,NA,NA
"Hanes Mall","","","Winston-Salem","NC","Cruisy Area","Cruising Areas","",1980,-80.244216,36.0998596,"Geocoded",NA,NA,NA
"Hank & Jerry's","","1006 Peachtree","Atlanta","GA","(M)","Bars/Clubs","",1965,-84.3839148,33.7827788,"Geocoded",NA,NA,NA
"Hank's Place","","2825 N. Orange Blossom Trail","Orlando","FL","(W),(SM),(*)","Bars/Clubs","",1980,-81.4069753,28.5773292,"Geocoded",NA,NA,NA
"Happy Chef","","","Waco","TX","(M),(R),(C)","Restaurant","",1974,-97.139111,31.55039,"Found",NA,NA,NA
"Happy Chef","","13th & Austin","Waco","TX","(M),(C),(R)","Restaurant","",1975,-97.139111,31.55039,"Found",NA,NA,NA
"Happy Chef","","13th & Austin","Waco","TX","(M),(R),(C)","Restaurant","",1976,-97.139111,31.55039,"Found",NA,NA,NA
"Happy Chef","","13th & Austin","Waco","TX","(M),(R),(C)","Restaurant","",1977,-97.139111,31.55039,"Found",NA,NA,NA
"Happy Nights ","(Many G) (Disco) ","2312 E. Bessemer St. ","Greensboro","NC","(D),(*),(G)","Bars/Clubs","",1978,-79.7562412,36.0847443,"Geocoded",NA,NA,NA
"Happy Nights ","(Many G) (Disco) ","2312 E. Bessemer St. ","Greensboro","NC","(D),(G)","Bars/Clubs","",1979,-79.7562412,36.0847443,"Geocoded",NA,NA,NA
"Harborside","","401 E. River","Savannah","GA","(M),(PE)","Bars/Clubs","",1974,-81.0864434,32.0804374,"Geocoded",NA,NA,NA
"Harborside","","401 E. River","Savannah","GA","(M),(PE)","Bars/Clubs","",1975,-81.0864434,32.0804374,"Geocoded",NA,NA,NA
