"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(Some OC) (Good Sundays)","612 N. Howard","Baltimore","MD","(*),(E),(OC)","Bars/Clubs",1979,NA,"612 N. Howard, Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some G)","4 N. High St.","Baltimore","MD","(G)","Bars/Clubs",1979,NA,"4 N. High St., Baltimore, MD",-76.6045234,39.2904544,"4 n high st, baltimore, md 21202, usa","Geocoded",NA,NA
"(Some SM, W) (Adjoins Gallery)","1735 Maryland Ave.","Baltimore","MD","(*),(R),(SM),(W)","Restaurant",1979,NA,"1735 Maryland Ave., Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some OC, B)","1425 E. Baltimore","Baltimore","MD","(OC),(B),(*)","Baths",1979,NA,"1425 E. Baltimore, Baltimore, MD",-76.5977944,39.2912747,"1425 e baltimore st, baltimore, md 21231, usa","Geocoded",NA,NA
"(Can enter thru rear of Leon's)","227 W. Chase St.","Baltimore","MD","(M),(R)","Restaurant",1979,NA,"227 W. Chase St., Baltimore, MD",-76.6191881,39.3016308,"227 w chase st, baltimore, md 21201, usa","Geocoded",NA,NA
"","24 W. Franklin","Baltimore","MD","(M),(H)","Hotels",1979,NA,"24 W. Franklin, Baltimore, MD",-76.6165858,39.2954574,"24 w franklin st, baltimore, md 21201, usa","Geocoded",NA,NA
"(May be changing name)","2001 Eastern","Baltimore","MD","","Bars/Clubs",1979,NA,"2001 Eastern, Baltimore, MD",-76.5886125,39.2856009,"2001 eastern ave, baltimore, md 21231, usa","Geocoded",NA,NA
"(Cl. Sun.) Colonial Hotel at Antietam","57 S. Potomac","Hagerstown","MD","(YC),(*)","Bars/Clubs,Hotels",1979,NA,"57 S. Potomac, Hagerstown, MD",-77.721462,39.6409329,"57 s potomac st, hagerstown, md 21740, usa","Geocoded",NA,NA
"","516 York Rd.","Towson","MD","(*)","Book Store",1979,NA,"516 York Rd., Towson, MD",-76.6017813,39.4011275,"516 york rd, towson, md 21204, usa","Geocoded",NA,NA
"","63 Maryland","Annapolis","MD","(M)","Bars/Clubs",1978,NA,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa","Geocoded",NA,NA
"(Baths) (Health Club)","1114 Cathedral","Baltimore","MD","(P),(*)","Baths",1978,NA,"1114 Cathedral, Baltimore, MD",-76.6183009,39.3020316,"1114 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1105 Cathedral","Baltimore","MD","(P),(*)","Baths",1978,NA,"1105 Cathedral, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
