"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"(Closes 3 a.m.)","607 Ponce de Leon Ave.","Miramar","(OC)","Bars/Clubs",1979,NA,"607 Ponce de Leon Ave., Miramar, ",-66.0855432,18.4571143,"607 av. juan ponce de león, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","1 Atlantic Pl. off McLeary ","Condado","(*)","Bars/Clubs",1979,NA,"1 Atlantic Pl. off McLeary , Condado, ",-66.0578831,18.4540659,"1 calle atlantic pl, san juan, 00911, puerto rico","Geocoded",NA,NA,NA
"(E in back room) (Opens 12 noon)","257 Calle San Jose betw. Tetuan & Fortaleza","San Juan","(E),(*),(OC)","Bars/Clubs",1979,NA,"257 Calle San Jose betw. Tetuan & Fortaleza, San Juan, ",-66.1057355,18.4655394,"san juan, puerto rico","Geocoded",NA,NA,NA
"(Mexican R) (Bar & Patio)","204 Calle Cristo","San Juan","(M),(R)","Restaurant",1979,NA,"204 Calle Cristo, San Juan, ",-66.1179593,18.4648842,"204 calle del cristo, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"($3. adm.) (Some locals - FFA 'flicks')","1019 Ashford Ave.","Condado","(*),(D),(FFA)","Bars/Clubs",1979,NA,"1019 Ashford Ave., Condado, ",-66.0794032,18.4605432,"1019 ashford ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"(Some B, RT) (Disco)","161 Calle San Jose","San Juan","(B),(RT),(D)","Bars/Clubs",1979,NA,"161 Calle San Jose, San Juan, ",-66.1170763,18.4654846,"161 calle san josé, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Open 'til 1 a.m.)","102 Calle San Sebastian","San Juan","(M),(R),(E),(*)","Restaurant",1979,NA,"102 Calle San Sebastian, San Juan, ",-66.1181682,18.4671463,"102 calle san sebastián, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Bar - Some SM)","263 Calle San Francisco","San Juan","(H),(R),(*),(SM)","Restaurant,Hotels",1979,NA,"263 Calle San Francisco, San Juan, ",-66.1146751,18.4660618,"263 c. de san francisco, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Opens 11 a.m. - best at cocktail hour)","250 Calle San Jose","San Juan","(E)","Bars/Clubs",1979,NA,"250 Calle San Jose, San Juan, ",-66.1170468,18.4643413,"250 calle san josé, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Opens 3 p.m.) (Some W, SM, levis)","1020 A Ashford Ave.","Condado","(W),(*),(SM)","Bars/Clubs",1979,NA,"1020 A Ashford Ave., Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"(Disco) (Nude go go boys, 'flicks' & wild back room)","254 Calle San Justo nr. Fortaleza","San Juan","(D),(*)","Bars/Clubs",1979,NA,"254 Calle San Justo nr. Fortaleza, San Juan, ",-66.1155889,18.4661692,"152 calle san justo, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","905 Ponce de Leon","San Juan","(M),(H)","Hotels",1978,NA,"905 Ponce de Leon, San Juan, ",-66.0801215,18.4545643,"905 av. juan ponce de león, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"(Some G) (Locally popular WE)","15 mi. S. of San Juan","Aguas Buenas","(D),(G)","Bars/Clubs",1977,NA,"15 mi. S. of San Juan, Aguas Buenas, ",-66.1029442,18.2568989,"aguas buenas, puerto rico","Geocoded",NA,NA,NA
"","43 Calle Luna","Ponce","(M)","Bars/Clubs",1977,NA,"43 Calle Luna, Ponce, ",-66.6151379,18.0102754,"43 calle luna, ponce, 00730, puerto rico","Geocoded",NA,NA,NA
"(Some G) (Disco) (Upstairs $3.00 minimum) ","251 Calle Cruz nr. Calle Fortaleza","San Juan","(YC),(G),(D),(*)","Bars/Clubs",1977,NA,"251 Calle Cruz nr. Calle Fortaleza, San Juan, ",-66.1160016,18.4647393,"251 calle de la cruz, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Bar & patio)","204 Calle Cristo","San Juan","(M),(R)","Restaurant",1977,NA,"204 Calle Cristo, San Juan, ",-66.1179593,18.4648842,"204 calle del cristo, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","10 Carrion Court","Condado","(M),(H)","Hotels",1977,NA,"10 Carrion Court, Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Geocoded",NA,NA,NA
"(Looks promising)","112 Avenida Condado","Condado","(D)","Bars/Clubs",1977,NA,"112 Avenida Condado, Condado, ",-66.0731888,18.4541588,"112 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","253 Calle San Jose","San Juan","(S)","Bars/Clubs",1977,NA,"253 Calle San Jose, San Juan, ",-66.1168755,18.4642625,"253 calle san josé, san juan, 00925, puerto rico","Geocoded",NA,NA,NA
"","3 Elena St. nr. Condado","Condado","(H),(*)","Hotels",1977,NA,"3 Elena St. nr. Condado, Condado, ",-66.0558816,18.4544127,"3 calle elena, san juan, 00911, puerto rico","Geocoded",NA,NA,NA
"","6 Condado Ave.","Condado","(H)","Hotels",1977,NA,"6 Condado Ave., Condado, ",-66.0714191,18.4567496,"6 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","101 Calle Tetuan ","San Juan","(M),(RT),(AYOR)","Bars/Clubs",1977,NA,"101 Calle Tetuan , San Juan, ",-66.1174348,18.4639499,"101 calle de tetuan, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Rooftop bar) ","1 Calle Clemenceau","Condado","(H)","Hotels",1977,NA,"1 Calle Clemenceau, Condado, ",-66.0753342,18.4568079,"cll clemenceau, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","103 Calle San Sebastian","San Juan","(H)","Hotels",1977,NA,"103 Calle San Sebastian, San Juan, ",-66.1178651,18.4672741,"103 calle san sebastián, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Rooftop bar R above La Vista Guest House)","151 Calle Tetuan nr. San Jose","San Juan","(R)","Restaurant",1977,NA,"151 Calle Tetuan nr. San Jose, San Juan, ",-66.1170393,18.4640813,"107 calle tetuan esq, calle san josé, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","4 Condado Ave.","Condado","(M),(H),(OC)","Hotels",1977,NA,"4 Condado Ave., Condado, ",-66.0713763,18.4567631,"4 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","320 Calle Sol","San Juan","(H),(AYOR)","Hotels",1977,NA,"320 Calle Sol, San Juan, ",-66.1136764,18.4672888,"320 calle sol, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","365 Calle Tetuan","San Juan","(M),(R)","Restaurant",1977,NA,"365 Calle Tetuan, San Juan, ",-66.1123986,18.4653944,"365 calle de tetuan, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(see also Finocchio's)","151 Calle Tetuan","San Juan","(H),(*)","Hotels",1977,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
