"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress"
"Oasis- Albuquerque Baths","","244 Wyoming N.E.","Albuquerque","NM","(*)","Baths",1976,NA,-106.550029,35.077668,"Geocoded",NA,NA,NA
"Okie's Lounge","","1720 Central Ave. N.E.","Albuquerque","NM","(M),(HIP),(RT),(YC)","Bars/Clubs",1976,NA,-106.6271386,35.0812064,"Geocoded",NA,NA,NA
"Pump Room No. 1","(looks promising- adjoins Oasis)","242 Wyoming N.E.","Albuquerque","NM","(P)","Bars/Clubs",1976,NA,-106.5499844,35.0776663,"Geocoded",NA,NA,NA
"Wellington Lounge","(Disco)","3900 Central Ave. S.E.","Albuquerque","NM","(R),(D),(*)","Restaurant",1976,NA,-106.6008025,35.0790322,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 San Francisco","Santa Fe","NM","(M),(*)","Bars/Clubs,Hotels",1976,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"The Forge","Inn of the Governors","234 Don Gaspar","Santa Fe","NM","(M),(PE)","Bars/Clubs,Hotels",1976,NA,-105.9403374,35.6853861,"Geocoded",NA,NA,NA
"Finishing School","(Some G) (use rear door behind Mildred's)","4021 Central Ave. N.E.","Albuquerque","NM","(D),(G)","Bars/Clubs",1975,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Height's Cocktail Lounge","","4207 Central Ave. N.E.","Albuquerque","NM","(YC),(D),(S),(R),(*)","Bars/Clubs,Restaurant",1975,NA,-106.5971025,35.0791551,"Geocoded",NA,NA,NA
"Kap's Coffee Shop","","4500 Central Ave. N.E.","Albuquerque","NM","(M),(R),(C),(AH)","Restaurant",1975,NA,-106.6057974,35.0798915,"Geocoded",NA,NA,NA
"Mildred's","(some G)","4021 Central Ave. N.E.","Albuquerque","NM","(D),(S),(G),(*)","Bars/Clubs",1975,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Okie's Lounge","","1720 Central Ave. N.E.","Albuquerque","NM","(M),(HIP),(YC)","Bars/Clubs",1975,NA,-106.6271386,35.0812064,"Geocoded",NA,NA,NA
"Claude's","(was closed, but may be reopening)","656 Canyon Rd.","Santa Fe","NM","(M),(HIP),(*)","Bars/Clubs",1975,NA,-105.9268908,35.6810064,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 San Francisco","Santa Fe","NM","(M),(*)","Bars/Clubs,Hotels",1975,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"The Forge","Inn of the Governors","234 Don Gaspar","Santa Fe","NM","(M),(PE)","Bars/Clubs",1975,NA,-105.9403374,35.6853861,"Geocoded",NA,NA,NA
"Height's Cocktail Lounge","","4201 Central Ave. N.E.","Albuquerque","NM","(D),(*)","Bars/Clubs",1974,NA,-106.5973656,35.0791926,"Geocoded",NA,NA,NA
"Lloyd's of Albuquerque ","","4209 Central Ave. N.E.","Albuquerque","NM","(M),(PE),(R)","Restaurant",1974,NA,-106.5969714,35.0791739,"Geocoded",NA,NA,NA
"Mildred's","(some G)","4021 Central Ave. N.E.","Albuquerque","NM","(D),(S),(G),(*)","Bars/Clubs",1974,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Okie's Lounge","","1720 Central Ave. N.E. ","Albuquerque","NM","(M),(HIP),(YC)","Bars/Clubs",1974,NA,-106.6271386,35.0812064,"Geocoded",NA,NA,NA
"The Place","(after hours) use rear door behind 'Mildred's'-","4021 Central Ave. N.E.","Albuquerque","NM","(R),(C)","Restaurant",1974,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Claude's","","656 Canyon Rd.","Santa Fe","NM","(M),(HIP),(*)","Bars/Clubs",1974,NA,-105.9268908,35.6810064,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 San Francisco","Santa Fe","NM","(M),(*)","Bars/Clubs,Hotels",1974,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"The Forge","Inn of the Governors","234 Don Gaspar","Santa Fe","NM","(M),(PE)","Bars/Clubs,Hotels",1974,NA,-105.9403374,35.6853861,"Geocoded",NA,NA,NA
"Crickets Country Club","(Use rear entrance)","2037 4th St. N.W.","Albuquerque","NM","(G),(D),(P)","Bars/Clubs",1973,NA,-106.6480138,35.1052496,"Geocoded",NA,NA,NA
"Height's Cocktail Lounge","","4209 Central Ave. N.E.","Albuquerque","NM","(D),(*)","Bars/Clubs",1973,NA,-106.5969714,35.0791739,"Geocoded",NA,NA,NA
"Okie's Lounge","","1720 Central Ave. S.E.","Albuquerque","NM","(M),(HIP),(YC)","Bars/Clubs",1973,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"Claude's","","656 Canyon Road","Santa Fe","NM","(M),(*)","Bars/Clubs",1973,NA,-105.9268908,35.6810064,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 San Francisco","Santa Fe","NM","(M),(*)","Bars/Clubs,Hotels",1973,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"The Forge","Inn of the Governors","234 Don Gaspar","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1973,NA,-105.9403374,35.6853861,"Geocoded",NA,NA,NA
"Height's Cocktail Lounge","","4209 Central Ave. N.E.","Albuquerque","NM","(*)","Bars/Clubs",1972,NA,-106.5969714,35.0791739,"Geocoded",NA,NA,NA
"Okie's Lounge","","1720 Central Ave. S.E.","Albuquerque","NM","(M),(HIP),(YC)","Bars/Clubs",1972,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"Upstairs Club","","2933 Monte Vista Blvd.","Albuquerque","NM","(P),(YC),(D),(*)","Bars/Clubs",1972,NA,-106.6124834,35.0818319,"Geocoded",NA,NA,NA
"The Forge","Inn of the Governors","234 Don Gaspar","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1972,NA,-105.9403374,35.6853861,"Geocoded",NA,NA,NA
