"ID","title","description","streetaddress","city","state","Year","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
64,"Clarence Parker Hotel Bar","","14 S.E. 1st","Minot","ND",1970,"(M)","Bars/Clubs,Hotels",NA,NA,"2/15/2020 6:29pm","2/15/2020 6:42pm","14 S.E. 1st, Minot, ND","-101.291994","48.2218862","1st st se & 14th ave se, minot, nd 58701, usa","Geocoded"
67,"Five Spot","(bar area only)","205 Broadway","Fargo","ND",1969,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:30pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
70,"Five Spot","(bar area only)","205 Broadway","Fargo","ND",1968,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:31pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
71,"","","","","",NA,"","",NA,NA,"2/15/2020 6:31pm","2/15/2020 6:32pm",", , ",NA,NA,"NA","Geocoded"
6,"Broadway","(nights)","","Fargo","ND",1980,"Cruisy Area","Cruising Areas","checked","General coordinates used for Broadway N","2/14/2020 5:08pm","3/28/2020 4:43pm",", ND","-96.787519","46.901696","unclear_coded_by_hand","General Coordinates Used"
13,"Broadway","(nights)","","Fargo","ND",1979,"Cruisy Area","Cruising Areas","checked","General coordinates used for Broadway N","2/14/2020 5:08pm","3/28/2020 4:43pm",", ND","-96.787519","46.901696","unclear_coded_by_hand","General Coordinates Used"
22,"Broadway","(nights)","","Fargo","ND",1978,"Cruisy Area","Cruising Areas","checked","General coordinates used for Broadway N","2/14/2020 5:20pm","3/28/2020 4:43pm",", ND","-96.787519","46.901696","unclear_coded_by_hand","General Coordinates Used"
24,"Chateau Guest Ranch","(May to Sept. only) Box 177-A, Leonard, N.D. 58052","","Leonard","ND",1978,"(H)","Hotels","checked","","2/14/2020 5:24pm","3/28/2020 4:43pm",", ND","-97.245647","46.651915","unclear_coded_by_hand","General Coordinates Used"
31,"Chateau Guest Ranch","(Looks promising - open May - Spet. only) Write: Box 177-A Leonard, N.D. 58052","","Leonard","ND",1977,"(H)","Hotels","checked","","2/15/2020 6:00pm","3/28/2020 4:43pm",", ND","-97.245647","46.651915","unclear_coded_by_hand","General Coordinates Used"
1,"Embers Lounge","Town House Motor Inn","","Bismarck","ND",1980,"(M)","Bars/Clubs,Hotels","checked","","2/14/2020 5:08pm","3/28/2020 4:45pm",", ND","-100.774521","46.824754","unclear_coded_by_hand","Found"
9,"Embers Lounge","Town House Motor Inn","","Bismarck","ND",1979,"(M)","Bars/Clubs,Hotels","checked","","2/14/2020 5:08pm","3/28/2020 4:45pm",", ND","-100.774521","46.824754","unclear_coded_by_hand","Found"
16,"Embers Lounge","Town House Motor Inn","","Bismarck","ND",1978,"(M)","Bars/Clubs,Hotels","checked","","2/14/2020 5:08pm","3/28/2020 4:45pm",", ND","-100.774521","46.824754","unclear_coded_by_hand","Found"
26,"Embers Lounge","Town House Motor Inn","","Bismarck","ND",1977,"(M)","Bars/Clubs","checked","","2/14/2020 5:24pm","3/28/2020 4:45pm",", ND","-100.774521","46.824754","unclear_coded_by_hand","Found"
21,"Red Ram","","Broadway & 2nd Ave","Fargo","ND",1978,"(M)","Bars/Clubs","checked","","2/14/2020 5:20pm","3/28/2020 4:45pm","Broadway & 2nd Ave, ND","-96.787487","46.878049","unclear_coded_by_hand","Found"
34,"Spur","","13th & Villard","Dickenson","ND",1976,"","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
39,"Spur","","13th & Villard","Dickenson","ND",1975,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
44,"Spur","","13th & Villard","Dickenson","ND",1974,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
49,"Spur","","13th & Villard","Dickenson","ND",1973,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
