"ID","title","streetaddress","description","city","state","amenityfeatures","Year","type","unclear_address","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
27,"Point Mallard Park-Swimmin' Hole","","(Summers)","Decatur","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:27pm",", AL",-86.93589,34.57121,"unclear_coded_by_hand","Found"
25,"Beltline Mall","","","Decatur","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:25pm",", AL",-87.017448,34.572401,"unclear_coded_by_hand","Found"
24,"Amtrak & Greyhound Depots","","","Decatur","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:25pm",", AL",-86.983342,34.605925,"unclear_coded_by_hand","General Coordinates Used"
30,"Wilson Park","","(Nights)","Florence","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:38pm",", AL",-87.675219,34.80322,"unclear_coded_by_hand","Found"
29,"Veterans Park","","(Days)","Florence","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:36pm",", AL",-87.625245,34.811018,"unclear_coded_by_hand","Found"
37,"Observation Point","","On Governer Dr. (The Overlook)","Huntsville","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:41pm",", AL",-86.586104,34.730369,"unclear_coded_by_hand","General Coordinates Used"
33,"Pink Triangle Alliance","P.O. Box 784, 35804","539-4235 resource & info line until 10pm","Huntsville","AL","",1990,"Info Lines & Services","checked",NA,"(205) area code","6/12/2023 12:42pm","P.O. Box 784, 35804, AL",-86.59007,34.729901,"unclear_coded_by_hand","General Coordinates Used"
32,"Gay Helpline","","539-3424 24hrs and AIDS referral service","Huntsville","AL","",1990,"Info Lines & Services","checked",NA,"(205) area code","6/12/2023 12:40pm",", AL",-86.586104,34.730369,"unclear_coded_by_hand","General Coordinates Used"
36,"MCC","P.O Box 10021, 35801","533-6220 worship 11am Sun","Huntsville","AL","(MCC)",1990,"Religious Organizations","checked",NA,"(205) area code","6/12/2023 12:41pm","P.O Box 10021, 35801, AL",-86.597645,34.711624,"unclear_coded_by_hand","Found"
40,"Jacksonville State U.","","Ayer Hall 2nd floor","Jacksonville","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:48pm",", AL",-85.765878,33.824104,"unclear_coded_by_hand","Found"
38,"Germania Springs","","","Jacksonville","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:47pm",", AL",-85.757482,33.8478,"unclear_coded_by_hand","Found"
39,"Jacksonville State U.","","Bibb Graves Hall","Jacksonville","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:48pm",", AL",-85.765343,33.822939,"unclear_coded_by_hand","Found"
