"ID2","title","description","streetaddress","type","amenityfeatures","city","state","Year","unclear_address","unclear.type.or.question","notes","Last.Modified","full.address","lon","lat","geoAddress"
45,"Matty's Spartan Theatre","","139 S. Broadway","Theatre","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","139 S. Broadway, Denver, CO",-104.9875392,39.713895,"139 s broadway, denver, co 80209, usa"
46,"M.C.C.","","1400 Lafayette","Religious Institution","MCC","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","1400 Lafayette, Denver, CO",-104.9703734,39.7387375,"1400 lafayette st, denver, co 80218, usa"
47,"1942 Club","(Some W, SM, YC, PT in front -Disco - D in back - 3 bars)(Cruisy)(C-AH-Fri & Sat)","1942 Broadway","Bars/Clubs,Cruising Areas","(*),(D),(W),(SM),(YC),(PT),(C),(AH)","Denver","CO",1981,NA,"","","3/21/2022 7:27am","1942 Broadway, Denver, CO",-104.9872836,39.7469595,"1942 n broadway, denver, co 80202, usa"
49,"Southtown Lumber Co.","(Cruisy)(Snacks)","255 S. Broadway","Restaurant,Cruising Areas","(R),(YC),(W)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","255 S. Broadway, Denver, CO",-104.9878313,39.7119216,"255 s broadway, denver, co 80223, usa"
51,"Three Sisters","(Disco)","3358 Mariposa","Bars/Clubs","(D),(L),(*)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","3358 Mariposa, Denver, CO",-105.0027349,39.7642829,"3358 mariposa st, denver, co 80211, usa"
52,"Triangle","(Cruisy john)(D on's Alley - 'wild' downstairs room)(AH, Fri & Sat)","2036 Broadway","Bars/Clubs,Cruising Areas","(C),(*),(D),(SM),(W),(FFA),(PT),(AH)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","2036 Broadway, Denver, CO",-104.9871495,39.7498648,"2036 n broadway, denver, co 80205, usa"
53,"Trilogy Book Store","","630 E. 6th Ave .","Book Store","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","630 E. 6th Ave ., Denver, CO",-104.9789994,39.7254332,"630 e 6th ave, denver, co 80203, usa"
54,"White Spot","","740 W. Colfax","Restaurant","(M),(R),(C)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","740 W. Colfax, Denver, CO",-104.9974398,39.7397837,"740 w colfax ave, denver, co 80204, usa"
55,"Zuni  Club Baths","","2935 Zuni","Bathhouses","(*)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","2935 Zuni, Denver, CO",-105.0160648,39.7592192,"2935 zuni st, denver, co 80211, usa"
60,"Diamond Belle Bar","","699 Main St.","Bars/Clubs","(M)","Durango","CO",1981,NA,"","","3/17/2022 3:10pm","699 Main St., Durango, CO",-104.7384372,38.7551154,"699 main st, colorado springs, co 80911, usa"
68,"Turquoise Club","(Disco)(WE*)(Opens 6am)","707 N. Main","Bars/Clubs","(WE),(D),(*)","Pueblo","CO",1981,NA,"","","3/22/2022 8:00am","707 N. Main, Pueblo, CO",-104.6089405,38.2737417,"707 n main st, pueblo, co 81003, usa"
72,"San Juan-Paris Guest House","","206 E. Colorado Ave.","Hotel","(M),(H)","Telluride","CO",1981,NA,"","","3/17/2022 3:10pm","206 E. Colorado Ave., Telluride, CO",-107.8096609,37.9366255,"206 e colorado ave, telluride, co 81435, usa"
74,"Black Rock","","2931 Fairfield Ave.","Restaurant","(L),(OC),(R)","Bridgeport","CT",1981,NA,"","","3/17/2022 3:10pm","2931 Fairfield Ave., Bridgeport, CT",-73.2275664,41.156396,"2931 fairfield ave, bridgeport, ct 06605, usa"
75,"Casbah","('Drags')","1277 N. Main St.","Bars/Clubs","(M),(RT),(B)","Bridgeport","CT",1981,NA,"","","3/17/2022 3:10pm","1277 N. Main St., Bridgeport, CT",-73.1807912,41.1920696,"1277 e main st, bridgeport, ct 06608, usa"
77,"Darien Dinner Theatre","(Very M)","65 Tokeneke Rd.","Theatre","(M)","Darien","CT",1981,NA,"","","3/17/2022 3:10pm","65 Tokeneke Rd., Darien, CT",-73.4672397,41.0765733,"65 tokeneke rd, darien, ct 06820, usa"
79,"Homestead Inn","","44 Field Pt. Rd.","Restaurant,Hotel","(M),(R),(H)","Greenwich","CT",1981,NA,"","","3/17/2022 3:10pm","44 Field Pt. Rd., Greenwich, CT",-73.6290325,41.0277124,"44 field point rd, greenwich, ct 06830, usa"
80,"Chez Est","(Some OC)(Cruisy)(Good cocktail hour)","238 Columbus Blvd.","Bars/Clubs,Cruising Areas","(*),(OC)","Hartford","CT",1981,NA,"","","3/17/2022 3:10pm","238 Columbus Blvd., Hartford, CT",-72.6694493,41.7642335,"238 columbus blvd, hartford, ct 06103, usa"
81,"Club Hartford Baths","(E. Hartford)","1169 Main St.","Bathhouses","(*)","Hartford","CT",1981,NA,"","","3/17/2022 3:10pm","1169 Main St., Hartford, CT",-72.674813,41.7707536,"1169 main st, hartford, ct 06103, usa"
82,"Collectables","(Disco)(Should be a winner)","145 Service Rd.","Bars/Clubs","(YC),(D)","Hartford","CT",1981,NA,"","","3/17/2022 3:10pm","145 Service Rd., Hartford, CT",-72.6574036,41.7902321,"145 w service rd, hartford, ct 06120, usa"
