"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","155 Queen St. ","Lancaster","PA","(M)","Bars/Clubs",1966,NA,"155 Queen St. , Lancaster, PA",-76.3058155,40.0409891,"155 n queen st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","155 Queen St. ","Lancaster","PA","(M)","Bars/Clubs",1968,NA,"155 Queen St. , Lancaster, PA",-76.3058155,40.0409891,"155 n queen st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","10 S. Point","Lancaster","PA","","Bars/Clubs",1976,NA,"10 S. Point, Lancaster, PA",-76.3015848,40.07041,"10 n pointe blvd, lancaster, pa 17601, usa","Geocoded",NA,NA
"(disco)(Some G)","10 S. Prince St. nr. King ","Lancaster","PA","(M),(D),(G),(*)","Bars/Clubs",1977,NA,"10 S. Prince St. nr. King , Lancaster, PA",-76.3078716,40.0373868,"10 s prince st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(Disco)(Some G)","10 S. Prince St. nr. King","Lancaster","PA","(M),(D),(G),(*)","Bars/Clubs",1979,NA,"10 S. Prince St. nr. King, Lancaster, PA",-76.3078716,40.0373868,"10 s prince st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(Disco)(Some G)","10 So. Prince St. nr. King","Lancaster","PA","(M),(D),(G),(*)","Bars/Clubs",1978,NA,"10 So. Prince St. nr. King, Lancaster, PA",-76.3078716,40.0373868,"10 s prince st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","429 N. Mulberry St. ","Lancaster","PA","(L),(D),(PT),(*)","Bars/Clubs",1980,NA,"429 N. Mulberry St. , Lancaster, PA",-76.3114652,40.0447542,"429 n mulberry st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(YC),(D),(*)","Bars/Clubs",1974,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(some YC, G)(Disco","201 W. Orange","Lancaster","PA","(YC),(G),(D),(*)","Bars/Clubs",1979,NA,"201 W. Orange, Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(YC),(D),(*)","Bars/Clubs",1973,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(D),(*)","Bars/Clubs",1975,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"","201 W. Orange St. ","Lancaster","PA","(D),(*)","Bars/Clubs",1976,NA,"201 W. Orange St. , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(disco)(Some G)","201 W. Orange ","Lancaster","PA","(YC),(D),(G),(*)","Bars/Clubs",1977,NA,"201 W. Orange , Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(Some YC, G)(Disco)","201 W. Orange","Lancaster","PA","(YC),(G),(D),(*)","Bars/Clubs",1978,NA,"201 W. Orange, Lancaster, PA",-76.3089318,40.0393767,"201 w orange st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(downstairs bar) ","28 E. Chestnut ","Lancaster","PA","","Bars/Clubs",1965,NA,"28 E. Chestnut , Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
"(downstairs) ","28 E Chestnut","Lancaster","PA","","Bars/Clubs",1966,NA,"28 E Chestnut, Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
"(downstairs) ","28 E Chestnut ","Lancaster","PA","","Bars/Clubs",1968,NA,"28 E Chestnut , Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
"(downstairs) ","28 E. Chestnut ","Lancaster","PA","","Bars/Clubs",1969,NA,"28 E. Chestnut , Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
"(downstairs) ","28 E. Chestnut ","Lancaster","PA","","Bars/Clubs",1970,NA,"28 E. Chestnut , Lancaster, PA",-76.3052082,40.0412347,"28 e chestnut st, lancaster, pa 17602, usa","Geocoded",NA,NA
"","227 N. Prince St. ","Lancaster","PA","(M),(AH),(WE),(BYOB),(YC)","Bars/Clubs",1980,NA,"227 N. Prince St. , Lancaster, PA",-76.3083211,40.0418402,"227 n prince st, lancaster, pa 17603, usa","Geocoded",NA,NA
"(Some G)(Disco)(2 bars)2 mi. So. just off Rte. 232","218 Acquetong Rd. ","New Hope","PA","(HIP),(M),(YC),(G),(D)","Bars/Clubs",1978,NA,"218 Acquetong Rd. , New Hope, PA",-74.9455582,40.3339414,"218 aquetong rd, new hope, pa 18938, usa","Geocoded",NA,NA
"(4 bars- current 'in' spot) 1 mi. W on U.S. 202","408 York Rd. ","New Hope","PA","(YC),(D),(*)","Bars/Clubs",1978,NA,"408 York Rd. , New Hope, PA",-74.970359,40.361603,"408 york rd, new hope, pa 18938, usa","Geocoded",NA,NA
"('Drags')","206 Quince St. ","Philadelphia","PA","(S)","Bars/Clubs",1979,NA,"206 Quince St. , Philadelphia, PA",-75.1599648,39.9483647,"206 quince st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(Drags)","206 Quince St. ","Philadelphia","PA","(S)","Bars/Clubs",1980,NA,"206 Quince St. , Philadelphia, PA",-75.1599648,39.9483647,"206 quince st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce St. ","Philadelphia","PA","(*)","Bars/Clubs",1965,NA,"1412 Spruce St. , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce St. ","Philadelphia","PA","(*)","Bars/Clubs",1966,NA,"1412 Spruce St. , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(*)","Bars/Clubs",1968,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(YC),(*)","Bars/Clubs",1969,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(*)","Bars/Clubs",1970,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(HIP),(*)","Bars/Clubs",1971,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(YC),(HIP),(*)","Bars/Clubs",1972,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(YC),(D),(*)","Bars/Clubs",1973,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce","Philadelphia","PA","(YC),(D),(*)","Bars/Clubs",1974,NA,"1412 Spruce, Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(D),(*)","Bars/Clubs",1975,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(HIP),(YC),(D),(*)","Bars/Clubs",1976,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1412 Spruce ","Philadelphia","PA","(HIP),(YC),(D),(*)","Bars/Clubs",1977,NA,"1412 Spruce , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(3 floors- Disco- D top floor) ","1412 Spruce St. ","Philadelphia","PA","(HIP),(YC),(PT),(*)","Bars/Clubs",1978,NA,"1412 Spruce St. , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(3 floors- Disco- D)","1412 Spruce St. ","Philadelphia","PA","(HIP),(YC),(PT),(*),(D)","Bars/Clubs",1979,NA,"1412 Spruce St. , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(3 floors- Disco- D)","1412 Spruce St. ","Philadelphia","PA","(HIP),(YC),(PT),(*)","Bars/Clubs",1980,NA,"1412 Spruce St. , Philadelphia, PA",-75.1655226,39.9470756,"1412 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(Disco)","1213 N. 52nd St. ","Philadelphia","PA","(P),(B),(D),(*)","Bars/Clubs",1979,NA,"1213 N. 52nd St. , Philadelphia, PA",-75.2256747,39.9718635,"1213 n 52nd st, philadelphia, pa 19131, usa","Geocoded",NA,NA
"(disco)","1213 N. 52nd St. ","Philadelphia","PA","(P),(B),(D)","Bars/Clubs",1980,NA,"1213 N. 52nd St. , Philadelphia, PA",-75.2256747,39.9718635,"1213 n 52nd st, philadelphia, pa 19131, usa","Geocoded",NA,NA
"","514 S. Hancock St. ","Philadelphia","PA","","Bars/Clubs",1979,NA,"514 S. Hancock St. , Philadelphia, PA",-75.1448368,39.9416689,"514 s hancock st, philadelphia, pa 19147, usa","Geocoded",NA,NA
"","5710 Germantown","Philadelphia","PA","","Bars/Clubs",1974,NA,"5710 Germantown, Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown","Philadelphia","PA","","Bars/Clubs",1965,NA,"5710 Germantown, Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown","Philadelphia","PA","","Bars/Clubs",1966,NA,"5710 Germantown, Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown ","Philadelphia","PA","","Bars/Clubs",1968,NA,"5710 Germantown , Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
