"ID","Title","description","streetaddress","state","amenityfeatures","Type","city","unclearaddress","Year","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
145,"U. of Arizona","Econ. Bldg-1st floor T-Room","","AZ","Cruisy Area","Cruising Areas,Organizations","Tucson","checked",1979,"","","4/20/2020 9:17pm","4/21/2020 10:13am",", AZ","-110.950109","32.231885","unclear_coded_by_hand","Found"
68,"U. of Arizona","Econ. Bldg-1st floor T-Room","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1980,"","","4/20/2020 12:47am","4/20/2020 9:00pm",", AZ","-110.950109","32.231885","unclear_coded_by_hand","Found"
157,"U. of N. Arizona","Basement T-Room","","AZ","Cruisy Area","Cruising Areas,Organizations","Flagstaff","checked",1978,"","","4/20/2020 9:18pm","4/20/2020 10:51pm",", AZ","-111.653968","35.18044","unclear_coded_by_hand","Found"
80,"U. of N. Arizona","Basement T-Room","","AZ","Cruisy Area","Cruising Areas,Organizations","Flagstaff","checked",1979,"","","4/20/2020 12:47am","4/20/2020 9:39pm",", AZ","-111.653968","35.18044","unclear_coded_by_hand","Found"
258,"Union 76 Truck Stop","","","AZ","Cruisy Area","Cruising Areas","Toltec","checked",1977,"","","4/20/2020 10:23pm","4/20/2020 11:30pm",", AZ","-111.617776","32.773731","unclear_coded_by_hand","General Coordinates Used"
200,"Union 76 Truck Stop","","","AZ","Cruisy Area","Cruising Areas","Toltec","checked",1978,"","","4/20/2020 10:23pm","4/20/2020 10:50pm",", AZ","-111.617776","32.773731","unclear_coded_by_hand","General Coordinates Used"
121,"Union 76 Truck Stop","","","AZ","Cruisy Area","Cruising Areas","Toltec","checked",1979,"","","4/20/2020 9:17pm","4/20/2020 9:39pm",", AZ","-111.617776","32.773731","unclear_coded_by_hand","General Coordinates Used"
47,"Union 76 Truck Stop","","","AZ","Cruisy Area","Cruising Areas","Toltec","checked",1980,"","","4/20/2020 12:47am","4/20/2020 9:00pm",", AZ","-111.617776","32.773731","unclear_coded_by_hand","General Coordinates Used"
274,"University of Arizona","Economics Bldg-1st floor T-Room","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1977,"","","4/20/2020 10:23pm","4/20/2020 11:53pm",", AZ","-110.950109","32.231885","unclear_coded_by_hand","Found"
187,"Unlimited","","2320 N. 32nd at Oak","AZ","(G),(*)","Restaurant","Phoenix","checked",1978,"","","4/20/2020 9:18pm","4/20/2020 10:50pm","2320 N. 32nd at Oak, AZ","-112.013194","33.473851","unclear_coded_by_hand","Found"
108,"Unlimited","","2320 N. 32nd at Oak","AZ","(G),(R),(*)","Restaurant","Phoenix","checked",1979,"","","4/20/2020 9:17pm","4/20/2020 9:39pm","2320 N. 32nd at Oak, AZ","-112.013194","33.473851","unclear_coded_by_hand","Found"
194,"Walden's Book Store","","Camelview Plaza Mall","AZ","","Book Store","Scottsdale","checked",1978,"","","4/20/2020 10:23pm","4/20/2020 10:50pm","Camelview Plaza Mall, AZ","-111.929319","33.502792","unclear_coded_by_hand","Found"
