"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1980,"approximate",", ID",-112.043772,43.496607,"unclear_coded_by_hand","Found",NA
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1974,"","On Hatwai (North-South Hwy.) 3 mi N.E. of town, ID",-117.001189,46.400409,"unclear_coded_by_hand","General Coordinates Used",NA
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1975,"","On Hatwai (North-South Hwy.) 3 mi N.E. of town, ID",-117.001189,46.400409,"unclear_coded_by_hand","General Coordinates Used",NA
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1976,"","On Hatwai (North-South Hwy.) 3 mi N.E. of town, ID",-117.001189,46.400409,"unclear_coded_by_hand","General Coordinates Used",NA
"Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1977,"","On Hatwai (North-South Hwy.) 3 mi N.E. of town, ID",-117.001189,46.400409,"unclear_coded_by_hand","General Coordinates Used",NA
"Starlight Lounge","Bonneville Hotel","'C' Street","Idaho Falls","ID","(M)","Bars/Clubs,Hotels",1975,"","'C' Street, ID",-112.039465,43.49467,"unclear_coded_by_hand","Found",NA
"Starlight Lounge","Bonneville Hotel","'C' Street","Idaho Falls","ID","(M)","Bars/Clubs,Hotels",1976,"","'C' Street, ID",-112.039465,43.49467,"unclear_coded_by_hand","Found",NA
"Starlight Lounge","Bonneville Hotel","'C' Street","Idaho Falls","ID","(M)","Bars/Clubs,Hotels",1977,"","'C' Street, ID",-112.039465,43.49467,"unclear_coded_by_hand","Found",NA
"Starlight Lounge","Bonneville Hotel","'C' Street","Idaho Falls","ID","(M)","Bars/Clubs,Hotels",1978,"","'C' Street, ID",-112.039465,43.49467,"unclear_coded_by_hand","Found",NA
"Starlight Lounge","Bonneville Hotel","'C' Street","Idaho Falls","ID","(M)","Bars/Clubs,Hotels",1979,"","'C' Street, ID",-112.039465,43.49467,"unclear_coded_by_hand","Found",NA
"Starlight Lounge","Bonneville Hotel","'C' Street","Idaho Falls","ID","(M)","Bars/Clubs,Hotels",1980,"","'C' Street, ID",-112.039465,43.49467,"unclear_coded_by_hand","Found",NA
"Tautfus Park Zoo","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1976,"",", ID",-112.04211,43.472089,"unclear_coded_by_hand","Found",NA
"Tautfus Park Zoo","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1977,"",", ID",-112.04211,43.472089,"unclear_coded_by_hand","Found",NA
"Tautfus Park Zoo","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1978,"",", ID",-112.04211,43.472089,"unclear_coded_by_hand","Found",NA
"Tautfus Park Zoo","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1979,"",", ID",-112.04211,43.472089,"unclear_coded_by_hand","Found",NA
"Tautfus Park Zoo","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1980,"",", ID",-112.04211,43.472089,"unclear_coded_by_hand","Found",NA
"The Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1973,"","On Hatwai (North-South Hwy.) 3 mi N.E. of town, ID",-117.001189,46.400409,"unclear_coded_by_hand","General Coordinates Used",NA
"U. of Idaho - Classroom Center T-Room","","","Moscow","ID","Cruisy Areas","Crusing Areas",1978,"",", ID",-117.012608,46.728812,"unclear_coded_by_hand","Found",NA
"U. of Idaho - Classroom Center T-Room","","","Moscow","ID","Cruisy Areas","Crusing Areas",1979,"",", ID",-117.012608,46.728812,"unclear_coded_by_hand","Found",NA
"U. of Idaho - Classroom Center T-Room","","","Moscow","ID","Cruisy Areas","Crusing Areas",1980,"",", ID",-117.012608,46.728812,"unclear_coded_by_hand","Found",NA
"Wagon Wheel","","About 1 mi. S. on Main St.","Pocatello","ID","(M)","Bars/Clubs",1976,"","About 1 mi. S. on Main St., ID",-112.450619,42.862104,"unclear_coded_by_hand","Found",NA
"Wagon Wheel","","About 1 mi. south on Main Street","Pocatello","ID","(M)","Bars/Clubs",1977,"","About 1 mi. south on Main Street, ID",-112.450619,42.862104,"unclear_coded_by_hand","Found",NA
"WEEDS","Ida-Ha Hotel (downstairs)","10th & Main Sts.","Boise","ID","","Bars/Clubs,Hotels",1965,"","10th & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
