"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"","813 S. 1st St.","Milwaukee","(D),(PT),(*)","Bars/Clubs",1978,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Cruisy)","13 Washington Ave","Oshkosh","(*)","Book Store,Cruising Areas",1978,"","13 Washington Ave, Oshkosh, ",-88.5373579,44.0175618,"13 washington ave, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"(Some G) ","2139 Racine","Racine","(D),(*),(G)","Bars/Clubs",1978,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"(Larry & Dave's) (Some G)","2201 Mead","Racine","(G),(D)","Bars/Clubs",1978,"","2201 Mead, Racine, ",-87.7828523,42.7261309,"racine, wi, usa","Geocoded",NA,NA,NA
"","1812 Broadway","Superior","(M),(RT)","Bars/Clubs",1978,"","1812 Broadway, Superior, ",-92.1040796,46.7207737,"superior, wi, usa","Geocoded",NA,NA,NA
"","318 Tower Ave","Superior","(*)","Bars/Clubs",1978,"","318 Tower Ave, Superior, ",-92.1035382,46.7344866,"318 tower ave, superior, wi 54880, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M),(OC)","Bars/Clubs,Hotels",1977,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"(Some G)","323 W. College Avenue","Appleton","(D),(G),(*)","Bars/Clubs",1977,"","323 W. College Avenue, Appleton, ",-88.4092011,44.261541,"323 w college ave, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"(Some G)","1101 W. Main","Green Bay","(G)","Bars/Clubs",1977,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"(Some G)","209 Pine St.","Green Bay","(YC),(G),(D),(*)","Bars/Clubs",1977,"","209 Pine St., Green Bay, ",-88.0147992,44.5162465,"209 pine st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","3504 60th St.","Kenosha","","Baths",1977,"","3504 60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1977,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"(Some G)","120 3rd Sr.","La Crosse","(M),(G)","Bars/Clubs",1977,"","120 3rd Sr., La Crosse, ",-91.2531372,43.8122994,"120 3rd st s, la crosse, wi 54601, usa","Geocoded",NA,NA,NA
"","636 W. Washington","Madison","(R),(C),(*),(AH)","Restaurant",1977,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
" (Late only)","116 N. Fairchild","Madison","(M),(OC),(RT)","Bars/Clubs",1977,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","116 King St.","Madison","(*)","Book Store",1977,"","116 King St., Madison, ",-89.3808789,43.0748356,"116 king st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Some G) (also C-AH-looks promising)","500 S. 5th Virginia","Milwaukee","(D),(G),(B),(PT),(C),(AH)","Bars/Clubs",1977,"","500 S. 5th Virginia, Milwaukee, ",-87.9167021,43.026061,"500 s 5th st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"( Such ""action"" left is on the top floor)","616 N. 2nd St.","Milwaukee","(M),(RT),(H)","Hotels",1977,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1977,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Many G)","3743 W. Vliet","Milwaukee","(D),(G),(*)","Bars/Clubs",1977,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"","231 S. 2nd St.","Milwaukee","(OC),(RT),(D)","Bars/Clubs",1977,"","231 S. 2nd St., Milwaukee, ",-87.9130049,43.0286235,"231-233 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
" (rear entrance)","704 A. W. Wisconsin Ave.","Milwaukee","(*),(P)","Baths",1977,"","704 A. W. Wisconsin Ave., Milwaukee, ",-87.9207032,43.0390592,"704 w wisconsin ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"(2 floors)","808 E. Center St.","Milwaukee","(D),(PT),(*)","Bars/Clubs",1977,"","808 E. Center St., Milwaukee, ",-87.9011827,43.0676339,"808 e center st, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"(closes early except WE)","707 E. Knapp","Milwaukee","","Baths",1977,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Milwaukee's ""super bar"" with several rooms) (Disco) (some B)","158 N. Broadway","Milwaukee","(HIP),(*),(YC),(D),(B)","Bars/Clubs",1977,"","158 N. Broadway, Milwaukee, ",-87.9066247,43.0317884,"158 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","157 S. 1st St.","Milwaukee","(G),(D),(R),(PT),(*)","Restaurant,Bars/Clubs",1977,"","157 S. 1st St., Milwaukee, ",-87.9113572,43.0297315,"157 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","601 N. 5th St","Milwaukee","","Book Store",1977,"","601 N. 5th St, Milwaukee, ",-87.9175073,43.037422,"601 n 5th st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","1800 North Arlington Place","Milwaukee","","Bars/Clubs",1977,"","1800 North Arlington Place, Milwaukee, ",-87.8947242,43.0545322,"1800 n arlington pl, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","(OC),(RT),(B),(D),(SM)","Bars/Clubs",1977,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Some G)","219 S. 2nd Street","Milwaukee","(D),(G)","Bars/Clubs",1977,"","219 S. 2nd Street, Milwaukee, ",-87.9127551,43.0289135,"219 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","1187 N. 68th St.","Milwaukee","(M),(OC),(WE)","Bars/Clubs",1977,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(D)","Bars/Clubs",1977,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","418 E. Wells St.","Milwaukee","(*),(D)","Bars/Clubs",1977,"","418 E. Wells St., Milwaukee, ",-87.9060209,43.0414743,"418 e wells st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","266 E. Erie St.","Milwaukee","(*),(SM),(W),(D),(PT),(YC)","Bars/Clubs",1977,"","266 E. Erie St., Milwaukee, ",-87.9075636,43.0312555,"266 e erie st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","(D),(PT),(*)","Bars/Clubs",1977,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","13 Washington Ave","Oshkosh","(*)","Book Store",1977,"","13 Washington Ave, Oshkosh, ",-88.5373579,44.0175618,"13 washington ave, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"(Some G)","2201 Mead","Racine","(D),(G),(*)","Bars/Clubs",1977,"","2201 Mead, Racine, ",-87.7828523,42.7261309,"racine, wi, usa","Geocoded",NA,NA,NA
"(Some G) ","2139 Racine","Racine","(D),(*),(G)","Bars/Clubs",1977,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"","1812 Broadway","Superior","(M),(RT)","Bars/Clubs",1977,"","1812 Broadway, Superior, ",-92.1040796,46.7207737,"superior, wi, usa","Geocoded",NA,NA,NA
"","318 Tower Ave","Superior","(*)","Bars/Clubs",1977,"","318 Tower Ave, Superior, ",-92.1035382,46.7344866,"318 tower ave, superior, wi 54880, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1976,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1976,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","3504 60th St.","Kenosha","","Baths",1976,"","3504 60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1976,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"(Some G) betw Main and Pearl","120 3rd Sr.","La Crosse","(M),(G)","Bars/Clubs",1976,"","120 3rd Sr., La Crosse, ",-91.2531372,43.8122994,"120 3rd st s, la crosse, wi 54601, usa","Geocoded",NA,NA,NA
" (Late only)","116 N. Fairchild","Madison","(M),(OC),(RT)","Bars/Clubs",1976,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"( Such ""action"" left is on the top floor)","616 N. 2nd St.","Milwaukee","(M),(RT),(H)","Hotels",1976,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1976,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(some G)","3743 W. Vliet","Milwaukee","(M),(D),(G)","Bars/Clubs",1976,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"('teenie boppers') (could be a winner)","231 S. 2nd St.","Milwaukee","(D)","Bars/Clubs",1976,"","231 S. 2nd St., Milwaukee, ",-87.9130049,43.0286235,"231-233 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Baths) (get I.D. cards at River Queen)","255 E. St. Paul","Milwaukee","","Baths",1976,"","255 E. St. Paul, Milwaukee, ",-87.9076146,43.0348739,"255 e st paul ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
" (rear entrance)","704 A. W. Wisconsin Ave.","Milwaukee","(*)","Baths",1976,"","704 A. W. Wisconsin Ave., Milwaukee, ",-87.9207032,43.0390592,"704 w wisconsin ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"(some B)","158 N. Broadway","Milwaukee","(YC),(D),(HIP),(B),(*)","Bars/Clubs",1976,"","158 N. Broadway, Milwaukee, ",-87.9066247,43.0317884,"158 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","707 E. Knapp","Milwaukee","","Baths",1976,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(some G)","219 S. 2nd St.","Milwaukee","(M),(G),(D)","Bars/Clubs",1976,"","219 S. 2nd St., Milwaukee, ",-87.9127551,43.0289135,"219 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","157 S. 1st St.","Milwaukee","(G),(D),(R),(PT),(*)","Restaurant,Bars/Clubs",1976,"","157 S. 1st St., Milwaukee, ",-87.9113572,43.0297315,"157 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","2024 W. Highland Ave","Milwaukee","","Church",1976,"","2024 W. Highland Ave, Milwaukee, ",-87.938643,43.04469,"2024 w highland ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"","1800 North Arlington Place","Milwaukee","","Bars/Clubs",1976,"","1800 North Arlington Place, Milwaukee, ",-87.8947242,43.0545322,"1800 n arlington pl, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","(OC),(RT),(B),(D),(SM)","Bars/Clubs",1976,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","1618 W. Wells St.","Milwaukee","","Book Store",1976,"","1618 W. Wells St., Milwaukee, ",-87.9334026,43.0402743,"1618 w wells st, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"(Unisex)","402 N. Water St.","Milwaukee","(HIP),(YC),(D),(*)","Bars/Clubs",1976,"","402 N. Water St., Milwaukee, ",-87.9080788,43.0352342,"402 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1187 N. 68th St.","Milwaukee","(M),(OC),(WE)","Bars/Clubs",1976,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(D)","Bars/Clubs",1976,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","418 E. Wells St.","Milwaukee","(*),(D)","Bars/Clubs",1976,"","418 E. Wells St., Milwaukee, ",-87.9060209,43.0414743,"418 e wells st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(some W-SM)","266 E. Erie St.","Milwaukee","(*),(SM),(W),(D),(PT),(YC)","Bars/Clubs",1976,"","266 E. Erie St., Milwaukee, ",-87.9075636,43.0312555,"266 e erie st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","(D),(*)","Bars/Clubs",1976,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","","Hotels,Bars/Clubs",1976,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"","2201 Mead","Racine","","Bars/Clubs",1976,"","2201 Mead, Racine, ",-87.7828523,42.7261309,"racine, wi, usa","Geocoded",NA,NA,NA
"(Some G) ","2139 Racine","Racine","(D),(*),(G)","Bars/Clubs",1976,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"","1812 Broadway","Superior","(M)","Bars/Clubs",1976,"","1812 Broadway, Superior, ",-92.1040796,46.7207737,"superior, wi, usa","Geocoded",NA,NA,NA
"","318 Tower Ave","Superior","(*)","Bars/Clubs",1976,"","318 Tower Ave, Superior, ",-92.1035382,46.7344866,"318 tower ave, superior, wi 54880, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1975,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1975,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","3504 60th St.","Kenosha","","Baths",1975,"","3504 60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1975,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
" (Late at night)","116 N. Fairchild","Madison","(*)","Bars/Clubs",1975,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","302 E. Wilson","Madison","(M),(G),(RT)","Bars/Clubs",1975,"","302 E. Wilson, Madison, ",-89.3784358,43.0749191,"302 e wilson st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(For years there have been rumors of the Antler's demise, but it is still there. Action is on the top floor)","616 N. 2nd St.","Milwaukee","(M),(RT),(H)","Hotels",1975,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1975,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","3743 W. Vliet","Milwaukee","(D),(G)","Bars/Clubs",1975,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"","183 S. 2nd St.","Milwaukee","(M),(G),(D)","Bars/Clubs",1975,"","183 S. 2nd St., Milwaukee, ",-87.912992,43.029908,"183 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","158 N. Broadway","Milwaukee","(YC),(D),(*)","Bars/Clubs",1975,"","158 N. Broadway, Milwaukee, ",-87.9066247,43.0317884,"158 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","707 E. Knapp","Milwaukee","(*)","Baths",1975,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","157 S. 1st St.","Milwaukee","(R),(D),(*)","Restaurant,Bars/Clubs",1975,"","157 S. 1st St., Milwaukee, ",-87.9113572,43.0297315,"157 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","625 E. St. Paul","Milwaukee","(R),(D),(HIP),(YC)","Restaurant,Bars/Clubs",1975,"","625 E. St. Paul, Milwaukee, ",-87.9027157,43.0351306,"625 e st paul ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","158 N. Broadway","Milwaukee","(D),(S),(B),(*)","Bars/Clubs",1975,"","158 N. Broadway, Milwaukee, ",-87.9066247,43.0317884,"158 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","2024 W. Highland Ave","Milwaukee","","Church",1975,"","2024 W. Highland Ave, Milwaukee, ",-87.938643,43.04469,"2024 w highland ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","(RT),(D)","Bars/Clubs",1975,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","1618 W. Wells St.","Milwaukee","","Book Store",1975,"","1618 W. Wells St., Milwaukee, ",-87.9334026,43.0402743,"1618 w wells st, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"(Unisex)","402 N. Water St.","Milwaukee","(HIP),(YC),(M),(D),(*)","Bars/Clubs",1975,"","402 N. Water St., Milwaukee, ",-87.9080788,43.0352342,"402 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(weekends only)","1187 N. 68th St.","Milwaukee","(M)","Bars/Clubs",1975,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(D)","Bars/Clubs",1975,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","418 E. Wells St.","Milwaukee","(*),(D)","Bars/Clubs",1975,"","418 E. Wells St., Milwaukee, ",-87.9060209,43.0414743,"418 e wells st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(some SM)","266 E. Erie St.","Milwaukee","(W),(YC),(SM),(D),(*)","Bars/Clubs",1975,"","266 E. Erie St., Milwaukee, ",-87.9075636,43.0312555,"266 e erie st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","(D),(*)","Bars/Clubs",1975,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","(M)","Hotels,Bars/Clubs",1975,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"(Some G) ","2139 Racine","Racine","(D),(*),(G)","Bars/Clubs",1975,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"","1812 Broadway","Superior","(M)","Bars/Clubs",1975,"","1812 Broadway, Superior, ",-92.1040796,46.7207737,"superior, wi, usa","Geocoded",NA,NA,NA
"","1809 N. 3rd St.","Superior","(M),(RT)","Bars/Clubs",1975,"","1809 N. 3rd St., Superior, ",-92.1042983,46.7354173,"1809 n 3rd st, superior, wi 54880, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1974,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1974,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","314 N. Adams","Green Bay","(M)","Bars/Clubs",1974,"","314 N. Adams, Green Bay, ",-88.0129162,44.515855,"314 n adams st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","1031 W. Main","Green Bay","","Bars/Clubs",1974,"","1031 W. Main, Green Bay, ",-88.0132958,44.5133188,"green bay, wi, usa","Geocoded",NA,NA,NA
"","3504 60th St.","Kenosha","","Baths",1974,"","3504 60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1974,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"","529 N. Lake","Madison","(M),(YC)","Bars/Clubs",1974,"","529 N. Lake, Madison, ",-89.3970644,43.0756224,"529 n lake st, madison, wi 53703, usa","Geocoded",NA,NA,NA
" (not till after cocktail hour)","116 N. Fairchild","Madison","(*)","Bars/Clubs",1974,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","302 E. Wilson","Madison","(M),(G),(RT)","Bars/Clubs",1974,"","302 E. Wilson, Madison, ",-89.3784358,43.0749191,"302 e wilson st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(top floors)","616 N. 2nd St.","Milwaukee","(RT),(H)","Hotels",1974,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","3743 W. Vliet","Milwaukee","(D)","Bars/Clubs",1974,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"","181 S. 2nd St.","Milwaukee","(G),(D),(*)","Bars/Clubs",1974,"","181 S. 2nd St., Milwaukee, ",-87.9128037,43.0299569,"181 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","157 S. 1st St.","Milwaukee","(D),(*)","Bars/Clubs",1974,"","157 S. 1st St., Milwaukee, ",-87.9113572,43.0297315,"157 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(closes 10 pm)","707 E. Knapp","Milwaukee","(*)","Baths",1974,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1187 N. 68th St.","Milwaukee","(M)","Bars/Clubs",1974,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"","2024 W. Highland Ave","Milwaukee","M.C.C.","Church",1974,"","2024 W. Highland Ave, Milwaukee, ",-87.938643,43.04469,"2024 w highland ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"","546 N. 5th","Milwaukee","(D),(*)","Bars/Clubs",1974,"","546 N. 5th, Milwaukee, ",-87.9172068,43.0368595,"546 n 5th st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","(RT)","Bars/Clubs",1974,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(B),(D)","Bars/Clubs",1974,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","730 N. 2nd St.","Milwaukee","","Book Store",1974,"","730 N. 2nd St., Milwaukee, ",-87.9130353,43.0394637,"730 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","1618 W. Wells St.","Milwaukee","","Book Store",1974,"","1618 W. Wells St., Milwaukee, ",-87.9334026,43.0402743,"1618 w wells st, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"","183 S. 2nd St.","Milwaukee","(S),(D)","Bars/Clubs",1974,"","183 S. 2nd St., Milwaukee, ",-87.912992,43.029908,"183 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","173 S. 2nd St","Milwaukee","(R),(C),(AH)","Restaurant,Hotels",1974,"","173 S. 2nd St, Milwaukee, ",-87.912989,43.030158,"173 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(D)","Bars/Clubs",1974,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","418 E. Wells St.","Milwaukee","(*),(D)","Bars/Clubs",1974,"","418 E. Wells St., Milwaukee, ",-87.9060209,43.0414743,"418 e wells st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","266 E. Erie St.","Milwaukee","(D),(SM),(*)","Bars/Clubs",1974,"","266 E. Erie St., Milwaukee, ",-87.9075636,43.0312555,"266 e erie st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","(M)","Hotels,Bars/Clubs",1974,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"(Some G) ","2139 Racine","Racine","(D),(*),(G)","Bars/Clubs",1974,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
