"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"(Some SM)","753 N. Plankinton","Milwaukee","(SM)","Book Store",1980,"the sm is throwing me off","753 N. Plankinton, Milwaukee, ",-87.912392,43.0397223,"753 n plankinton ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Sun. Brunch)","3743 W. Vliet","Milwaukee","(L),(D),(R)","Restaurant",1980,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"(Disco)","231 S. 2nd St.","Milwaukee","(YC),(D),(*)","Bars/Clubs",1980,"","231 S. 2nd St., Milwaukee, ",-87.9130049,43.0286235,"231-233 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Disco)","219 S. 2nd St","Milwaukee","(YC),(D),(*)","Bars/Clubs",1980,"","219 S. 2nd St, Milwaukee, ",-87.9127551,43.0289135,"219 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(use rear entrance)","704 A. W. Wisconsin Ave.","Milwaukee","(*),(P)","Baths",1980,"","704 A. W. Wisconsin Ave., Milwaukee, ",-87.9207032,43.0390592,"704 w wisconsin ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"(2 floors)","808 E. Center St.","Milwaukee","(D),(PT)","Bars/Clubs",1980,"","808 E. Center St., Milwaukee, ",-87.9011827,43.0676339,"808 e center st, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","1568 N. Farwell","Milwaukee","","Organizations",1980,"","1568 N. Farwell, Milwaukee, ",-87.8939001,43.0508204,"1568 n farwell ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Baths)","707 E. Knapp","Milwaukee","(OC)","Baths",1980,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Disco) (Looks promising)","618 N. 27th","Milwaukee","(L),(D)","Bars/Clubs",1980,"","618 N. 27th, Milwaukee, ",-87.9477372,43.0377251,"618 n 27th st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"","2647 N. Stowell","Milwaukee","","Church",1980,"","2647 N. Stowell, Milwaukee, ",-87.8797491,43.0670417,"2647 n stowell ave, milwaukee, wi 53211, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","(OC),(RT),(B)","Bars/Clubs",1980,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","3555 S. Howell","Milwaukee","","Business",1980,"","3555 S. Howell, Milwaukee, ",-87.9088797,42.9800466,"3555 s howell ave, milwaukee, wi 53207, usa","Geocoded",NA,NA,NA
"(Disco) (Baths & bar) (open but hurting after the 'Great Milwaukee bust')","158 N. Broadway","Milwaukee","(P),(D)","Bars/Clubs,Baths",1980,"","158 N. Broadway, Milwaukee, ",-87.9066247,43.0317884,"158 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
