"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Tom's Pizza","","5 Allen St.","Hanover","NH","(M)","Restaurant",1979,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa","Geocoded",NA
"Tony's Cafe","","16 High St.","Lebanon","NH","","Restaurant",1974,NA,"16 High St., Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa","Geocoded",NA
"Tony's Cafe","","16 High St ","Lebanon","NH","(M)","Restaurant",1975,NA,"16 High St , Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa","Geocoded",NA
"Tony's Cafe","","16 High St ","Lebanon","NH","(M)","Restaurant",1976,NA,"16 High St , Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa","Geocoded",NA
"Tony's Cafe","","16 High St ","Lebanon","NH","(M)","Restaurant",1977,NA,"16 High St , Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa","Geocoded",NA
"Tony's Cafe","","16 High St ","Lebanon","NH","(M)","Bars/Clubs",1978,NA,"16 High St , Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa","Geocoded",NA
"Tony's Cafe","","16 High St ","Lebanon","NH","(M)","Restaurant",1979,NA,"16 High St , Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa","Geocoded",NA
"Tony's Cafe","","16 High St.","Lebanon","NH","(M)","Restaurant",1980,NA,"16 High St., Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa","Geocoded",NA
"Tony's Pizza","","5 Allen St.","Hanover","NH","","Restaurant",1974,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa","Geocoded",NA
"Tony's Pizza #5","","5 Allen St.","Hanover","NH","","Restaurant",1973,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa","Geocoded",NA
"Tudor Cafe","","361 Pine St.","Manchester","NH","(*)","Restaurant",1974,NA,"361 Pine St., Manchester, NH",-71.4592863,42.9906413,"361 pine st, manchester, nh 03103, usa","Geocoded",NA
"Tudor Cafe","","361 Pine St.","Manchester","NH","(*)","Restaurant",1975,NA,"361 Pine St., Manchester, NH",-71.4592863,42.9906413,"361 pine st, manchester, nh 03103, usa","Geocoded",NA
