"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Living Room","","Sioux Empire Plaza","Sioux Falls","SD","(M),(*)","Bars/Clubs",1978,NA,"Sioux Empire Plaza, SD",-96.774087,43.509364,"unclear_coded_by_hand","Found",NA
"Living Room","Empire Plaza","41st & I-20","Sioux Falls","SD","(M)","Bars/Clubs",1979,NA,"41st & I-20, SD",-96.774087,43.509364,"unclear_coded_by_hand","Found",NA
"Main & St. Joe Sts. - betwn. 6th & 8th","","","Rapid City","SD","Cruisy Areas","Crusing Areas",1979,NA,", SD",-103.228955,44.080841,"unclear_coded_by_hand","Found",NA
"Main & St. Joe Sts. - betwn. 6th & 8th","","","Rapid City","SD","Cruisy Areas","Crusing Areas",1980,NA,", SD",-103.228955,44.080841,"unclear_coded_by_hand","Found",NA
"Safari Lounge","Staurolite Inn","1 3/4 mi. E. at Jct. 14, I-29","Brookings","SD","(M)","Hotels,Bars/Clubs",1979,NA,"1 3/4 mi. E. at Jct. 14, I-29, SD",-96.76203,44.312356,"unclear_coded_by_hand","Found",NA
"Safari Lounge","Staurolite Inn","1 3/4 mi. E. at Jct. 14, I-29","Brookings","SD","(M)","Hotels,Bars/Clubs",1980,NA,"1 3/4 mi. E. at Jct. 14, I-29, SD",-96.76203,44.312356,"unclear_coded_by_hand","Found",NA
"Sherman Park","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1979,NA,", SD",-96.764121,43.541912,"unclear_coded_by_hand","Found",NA
"Sherman Park","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1980,NA,", SD",-96.764121,43.541912,"unclear_coded_by_hand","Found",NA
"Sioux Empire Gay Coalition","","P.O. Box 220, Sioux Falls, 57101","Sioux Falls","SD","","Organizations",1980,NA,"P.O. Box 220, Sioux Falls, 57101, SD",-96.728333,43.547303,"unclear_coded_by_hand","General Coordinates Used",NA
"Ward Hotel - basememnt T-Room","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1979,NA,", SD",-98.488341,45.463937,"unclear_coded_by_hand","Found",NA
"Ward Hotel - basememnt T-Room","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1980,NA,", SD",-98.488341,45.463937,"unclear_coded_by_hand","Found",NA
