"ID","Title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
137,"Roland's Tavern","(Some G) (Maine's best known bar)","413 A Cumberland Ave.","Portland","ME","(D),(S),(G),(*)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 4:37pm","7/27/2020 11:34am","413 A Cumberland Ave., Portland, ME","-70.2645269","43.6561324","413 cumberland ave, portland, me 04101, usa","Geocoded"
141,"Northeastland Hotel Bar","","436 Main St.","Presque Isle","ME","(M)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 4:38pm","7/27/2020 11:34am","436 Main St., Presque Isle, ME","-68.0151219","46.6805608","436 main st, presque isle, me 04769, usa","Geocoded"
143,"Ray's","","29 Water St.","Augusta","ME","(M)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 4:38pm","7/27/2020 11:34am","29 Water St., Augusta, ME","-69.7732719","44.3201734","29 water st, augusta, me 04330, usa","Geocoded"
144,"Bangor Lounge","","174 Main St.","Bangor","ME","(M)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 4:39pm","7/27/2020 11:34am","174 Main St., Bangor, ME","-68.7724581","44.7984331","174 main st, bangor, me 04401, usa","Geocoded"
145,"Androscoggin Club","(Some G)","100 Lincoln St.","Lewiston","ME","(YC),(G),(*)","Bars/Clubs",NA,NA,1975,NA,"4/20/2020 4:39pm","7/27/2020 11:34am","100 Lincoln St., Lewiston, ME","-70.219427","44.0938793","100 lincoln st, lewiston, me 04240, usa","Geocoded"
152,"Hollywood Cafe","","413 A Cumberland","Portland","ME","(YC),(D),(S),(*)","Bars/Clubs",NA,NA,1975,NA,"4/20/2020 4:43pm","7/27/2020 11:34am","413 A Cumberland, Portland, ME","-70.2645269","43.6561324","413 cumberland ave, portland, me 04101, usa","Geocoded"
153,"Top of the East","Sheraton-Eastland Hotel","157 High St.","Portland","ME","(M)","Bars/Clubs,Hotels",NA,NA,1975,NA,"4/20/2020 4:44pm","7/27/2020 11:34am","157 High St., Portland, ME","-70.2640089","43.6549156","157 high st, portland, me 04101, usa","Geocoded"
155,"Ray's","","29 Water St.","Augusta","ME","(M)","Bars/Clubs",NA,NA,1974,NA,"4/20/2020 4:46pm","7/27/2020 11:34am","29 Water St., Augusta, ME","-69.7732719","44.3201734","29 water st, augusta, me 04330, usa","Geocoded"
156,"Bangor Lounge","","174 Main St.","Bangor","ME","(M)","Bars/Clubs",NA,NA,1974,NA,"4/20/2020 4:47pm","7/27/2020 11:34am","174 Main St., Bangor, ME","-68.7724581","44.7984331","174 main st, bangor, me 04401, usa","Geocoded"
159,"Hollywood Cafe","","133 Free St.","Portland","ME","(M)","Bars/Clubs",NA,NA,1974,NA,"4/20/2020 4:48pm","7/27/2020 11:34am","133 Free St., Portland, ME","-70.2621415","43.6545259","133 free st, portland, me 04101, usa","Geocoded"
160,"Roland's ","","413 A Cumberland","Portland","ME","(YC),(D),(S),(*)","Bars/Clubs",NA,NA,1974,NA,"4/20/2020 4:48pm","7/27/2020 11:34am","413 A Cumberland, Portland, ME","-70.2645269","43.6561324","413 cumberland ave, portland, me 04101, usa","Geocoded"
161,"Top of the East","Sheraton-Eastland Hotel","157 High St.","Portland","ME","(M)","Bars/Clubs,Hotels",NA,NA,1974,NA,"4/20/2020 4:48pm","7/27/2020 11:34am","157 High St., Portland, ME","-70.2640089","43.6549156","157 high st, portland, me 04101, usa","Geocoded"
163,"Ray's","","29 Water St.","Augusta","ME","","Bars/Clubs",NA,NA,1973,NA,"4/20/2020 4:53pm","7/27/2020 11:34am","29 Water St., Augusta, ME","-69.7732719","44.3201734","29 water st, augusta, me 04330, usa","Geocoded"
164,"Bangor Lounge","","174 Main St.","Bangor","ME","","Bars/Clubs",NA,NA,1973,NA,"4/20/2020 4:53pm","7/27/2020 11:34am","174 Main St., Bangor, ME","-68.7724581","44.7984331","174 main st, bangor, me 04401, usa","Geocoded"
167,"Hollywood Cafe","","133 Free St.","Portland","ME","(M)","Bars/Clubs",NA,NA,1973,NA,"4/20/2020 4:54pm","7/27/2020 11:34am","133 Free St., Portland, ME","-70.2621415","43.6545259","133 free st, portland, me 04101, usa","Geocoded"
168,"Roland's ","","413 A Cumberland","Portland","ME","(*)","Bars/Clubs",NA,NA,1973,NA,"4/20/2020 4:54pm","7/27/2020 11:34am","413 A Cumberland, Portland, ME","-70.2645269","43.6561324","413 cumberland ave, portland, me 04101, usa","Geocoded"
169,"Top of the East","Sheraton-Eastland Hotel","157 High St.","Portland","ME","(M)","Bars/Clubs,Hotels",NA,NA,1973,NA,"4/20/2020 4:54pm","7/27/2020 11:34am","157 High St., Portland, ME","-70.2640089","43.6549156","157 high st, portland, me 04101, usa","Geocoded"
