"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","8 W Main St","Danville","IL","(M),(PE)","Bars/Clubs",1966,NA,"8 W Main St, Danville, IL",-87.6304948,40.1241655,"8 w main st, danville, il 61832, usa","Geocoded",NA,NA
"","1380 N 9th St","East St Louis","IL","(M),(RT)","Bars/Clubs",1966,NA,"1380 N 9th St, East St Louis, IL",-90.1358186,38.6362168,"1380 n 9th st, east st louis, il 62201, usa","Geocoded",NA,NA
"","721 St Louis Av","East St Louis","IL","(*)","Bars/Clubs",1966,NA,"721 St Louis Av, East St Louis, IL",-90.1542773,38.6255057,"721 st louis ave, east st louis, il 62201, usa","Geocoded",NA,NA
"","204 N 5th St","East St Louis","IL","","Bars/Clubs",1966,NA,"204 N 5th St, East St Louis, IL",-90.1549606,38.628263,"204 n 5th st, east st louis, il 62201, usa","Geocoded",NA,NA
"(back part)","211 N Chicago","Joliet","IL","(M)","Bars/Clubs",1966,NA,"211 N Chicago, Joliet, IL",-88.0818235,41.5280739,"211 n chicago st, joliet, il 60432, usa","Geocoded",NA,NA
"","557 E Jackson","Joliet","IL","(*),(S)","Bars/Clubs",1966,NA,"557 E Jackson, Joliet, IL",-88.068109,41.531939,"557 e jackson st, joliet, il 60432, usa","Geocoded",NA,NA
"","Hwy 66A","Joliet","IL","","Bars/Clubs",1966,NA,"Hwy 66A, Joliet, IL",-87.9645339,41.4975695,"66 w illinois hwy, new lenox, il 60451, usa","Geocoded",NA,NA
"","205 E Broadway","Monmouth","IL","(*)","Bars/Clubs",1966,NA,"205 E Broadway, Monmouth, IL",-90.6467413,40.9117404,"205 e broadway, monmouth, il 61462, usa","Geocoded",NA,NA
"","117 1st St","Monmouth","IL","(M),(RT)","Bars/Clubs",1966,NA,"117 1st St, Monmouth, IL",-90.6467302,40.9113995,"117 s 1st st, monmouth, il 61462, usa","Geocoded",NA,NA
"","215 Main St","Peoria","IL","(M),(RT)","Bars/Clubs",1966,NA,"215 Main St, Peoria, IL",-89.5891349,40.691257,"215 main st, peoria, il 61602, usa","Geocoded",NA,NA
"","631 W Main","Peoria","IL","(*)","Bars/Clubs",1966,NA,"631 W Main, Peoria, IL",-89.6034941,40.6998488,"631 w main st, peoria, il 61606, usa","Geocoded",NA,NA
"","513 State St E","Rockford","IL","(M)","Bars/Clubs",1966,NA,"513 State St E, Rockford, IL",-89.0871622,42.2672727,"513 e state st, rockford, il 61104, usa","Geocoded",NA,NA
"","314 20th St","Rock Island","IL","(D),(*)","Bars/Clubs",1966,NA,"314 20th St, Rock Island, IL",-90.5718471,41.5098482,"314 20th st, rock island, il 61201, usa","Geocoded",NA,NA
"","1601 2nd Av","Rock Island","IL","(M)","Bars/Clubs",1966,NA,"1601 2nd Av, Rock Island, IL",-90.5776228,41.5108128,"1601 2nd ave, rock island, il 61201, usa","Geocoded",NA,NA
"","212 N 5th St","Springfield","IL","(*)","Bars/Clubs",1966,NA,"212 N 5th St, Springfield, IL",-89.6485431,39.8032587,"212 n 5th st, springfield, il 62701, usa","Geocoded",NA,NA
"","309 E Monroe","Springfield","IL","(M)","Bars/Clubs",1966,NA,"309 E Monroe, Springfield, IL",-89.6514364,39.7997578,"309 e monroe st, springfield, il 62701, usa","Geocoded",NA,NA
"","606 State Line Av","Calumet City","IL","(*)","Bars/Clubs",1968,NA,"606 State Line Av, Calumet City, IL",-87.5254537,41.6181672,"606 state line ave, calumet city, il 60409, usa","Geocoded",NA,NA
"","706 State Line Av","Calumet City","IL","(G)","Bars/Clubs",1968,NA,"706 State Line Av, Calumet City, IL",-87.5254563,41.6151834,"706 state line ave, hammond, il 46320, usa","Geocoded",NA,NA
"","46 10054th St","Calumet City","IL","","Bars/Clubs",1968,NA,"46 10054th St, Calumet City, IL",-87.5294871,41.6155909,"calumet city, il, usa","Geocoded",NA,NA
"","106 N Walnut","Champaign","IL","(M)","Bars/Clubs",1968,NA,"106 N Walnut, Champaign, IL",-88.242292,40.116597,"106 n walnut st, champaign, il 61820, usa","Geocoded",NA,NA
"","2865 N Clark","Chicago","IL","(*)","Bars/Clubs",1968,NA,"2865 N Clark, Chicago, IL",-87.6460955,41.934492,"2865 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"","626 N Clark ","Chicago","IL","(M),(RT)","Bars/Clubs",1968,NA,"626 N Clark , Chicago, IL",-87.6315616,41.8931997,"626 n clark st, chicago, il 60654, usa","Geocoded",NA,NA
"(touristy)","5640 W North","Chicago","IL","(M),(S)","Bars/Clubs",1968,NA,"5640 W North, Chicago, IL",-87.767224,41.90966,"5640 w north ave, chicago, il 60639, usa","Geocoded",NA,NA
"","3100 W Irving Park Rd","Chicago","IL","(*)","Bars/Clubs",1968,NA,"3100 W Irving Park Rd, Chicago, IL",-87.7057537,41.9542554,"3100 irving park rd, chicago, il 60618, usa","Geocoded",NA,NA
"","2546 N Clark St","Chicago","IL","","Bars/Clubs",1968,NA,"2546 N Clark St, Chicago, IL",-87.6427259,41.9289435,"2546 n clark st, chicago, il 60614, usa","Geocoded",NA,NA
"","4600 S Kedzie","Chicago","IL","(M),(S)","Bars/Clubs",1968,NA,"4600 S Kedzie, Chicago, IL",-87.70437,41.809754,"4600 s kedzie ave, chicago, il 60632, usa","Geocoded",NA,NA
"","2265 N. Lincoln","Chicago","IL","(SM),(*)","Bars/Clubs",1968,NA,"2265 N. Lincoln, Chicago, IL",-87.6455291,41.9234339,"2265 n lincoln ave, chicago, il 60614, usa","Geocoded",NA,NA
"","5 W Superior ","Chicago","IL","(*)","Bars/Clubs",1968,NA,"5 W Superior , Chicago, IL",-87.6290819,41.8955432,"5 w superior st, chicago, il 60654, usa","Geocoded",NA,NA
"","1842 N Wells","Chicago","IL","(*)","Bars/Clubs",1968,NA,"1842 N Wells, Chicago, IL",-87.6348708,41.9154511,"1842 n wells st, chicago, il 60614, usa","Geocoded",NA,NA
"","745 Rush St","Chicago","IL","(PE)","Bars/Clubs",1968,NA,"745 Rush St, Chicago, IL",-87.6253325,41.8962636,"745 n rush st, chicago, il 60611, usa","Geocoded",NA,NA
"","1114 W Argyle","Chicago","IL","","Bars/Clubs",1968,NA,"1114 W Argyle, Chicago, IL",-87.6583222,41.9734108,"1114 w argyle st, chicago, il 60640, usa","Geocoded",NA,NA
"","2959 Irving Prk Rd","Chicago","IL","(G)","Bars/Clubs",1968,NA,"2959 Irving Prk Rd, Chicago, IL",-87.7028281,41.9536551,"2959 irving park rd, chicago, il 60618, usa","Geocoded",NA,NA
"","931 N State St","Chicago","IL","(M),(S)","Bars/Clubs",1968,NA,"931 N State St, Chicago, IL",-87.628304,41.8999393,"931 n state st, chicago, il 60610, usa","Geocoded",NA,NA
"","1745 W Howard","Chicago","IL","","Bars/Clubs",1968,NA,"1745 W Howard, Chicago, IL",-87.6981714,42.0195645,"1745 howard st, evanston, il 60202, usa","Geocoded",NA,NA
"","4636 Broadway","Chicago","IL","","Bars/Clubs",1968,NA,"4636 Broadway, Chicago, IL",-87.6581766,41.965964,"4636 n broadway, chicago, il 60640, usa","Geocoded",NA,NA
"","169 W Division","Chicago","IL","","Bars/Clubs",1968,NA,"169 W Division, Chicago, IL",-87.6342975,41.9036424,"169 w division st, chicago, il 60610, usa","Geocoded",NA,NA
"","2836 N Clark St","Chicago","IL","(*)","Bars/Clubs",1968,NA,"2836 N Clark St, Chicago, IL",-87.6460455,41.9336992,"2836 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"(cocktail hour)","800 N Michigan Av","Chicago","IL","(M),(PE)","Bars/Clubs",1968,NA,"800 N Michigan Av, Chicago, IL",-87.6255019,41.8971181,"park tower, 800 n michigan ave, chicago, il 60611, usa","Geocoded",NA,NA
"","24 W Van Buren","Chicago","IL","(RT)","Bars/Clubs",1968,NA,"24 W Van Buren, Chicago, IL",-87.6285822,41.8771122,"24 w van buren st, chicago, il 60605, usa","Geocoded",NA,NA
"","125 E Main St","Danville","IL","(*),(M)","Bars/Clubs",1968,NA,"125 E Main St, Danville, IL",-87.6266887,40.1246675,"125 e main st, danville, il 61832, usa","Geocoded",NA,NA
